Number Countries Reporting Cases last case Event Number of Confirmed Date of report to WHO of	Unnamed: 1	Unnamed: 2	Unnamed: 3
1	France (5), Malaysia (3), Republic of Korea (2), Singapore (3), Spain (1), The United Kingdom (6)	20	10 Feb 2020
2	Germany (14), Spain (1)	15	11 Feb 2020
3	Viet Nam (9)	9	11 Feb 2020
4	Singapore (9)	9	8 Feb 2020
Population (in 10,000s) Confirmed Cases Province/Region/City1	 	 	 
Hubei	5917.0	34874.0	 
Guangdong	11346.0	1241.0	 
Zhejiang	5737.0	1145.0	 
Henan	9605.0	1169.0	 
Hunan	6899.0	968.0	 
Anhui	6324.0	910.0	 
Jiangxi	4648.0	872.0	 
Jiangsu	8051.0	570.0	 
Chongqing	3102.0	518.0	 
Shandong	10047.0	506.0	 
Sichuan	8341.0	451.0	 
Heilongjiang	3773.0	395.0	 
Beijing	2154.0	366.0	 
Shanghai	2424.0	313.0	 
Fujian	3941.0	279.0	 
Hebei	7556.0	265.0	 
Shaanxi	3864.0	229.0	 
Guangxi	4926.0	222.0	 
Yunnan	4830.0	155.0	 
Hainan	934.0	157.0	 
Shanxi	3718.0	126.0	 
Guizhou	3600.0	135.0	 
Liaoning	4359.0	116.0	 
Tianjin	1560.0	112.0	 
Gansu	2637.0	87.0	 
Jilin	2704.0	84.0	 
Inner Mongolia	2534.0	61.0	 
Xinjiang	2487.0	63.0	 
Ningxia	688.0	64.0	 
Hong Kong SAR	745.0	50.0	 
Qinghai	603.0	18.0	 
Taipei and environs	2359.0	18.0	 
Macao SAR	66.0	10.0	 
Xizang	344.0	1.0	 
Total	142823.0	46550.0	 
