Province/ Region/ City	Population (10,000s)	Daily Cumulative	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Cumulative	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14	Unnamed: 15	Unnamed: 16	Unnamed: 17
 	 	Lab- confirmed	Clinically diagnosed	Total cases	Suspected cases	Deaths	Lab- confirmed	Clinically diagnosed	Total cases	Deaths	 	 	 	 	 	 	 
Hubei	5917	1728	3095	4823	1154	116	36 602	15 384	51 986	1318	 	 	 	 	 	 	 
Guangdong	11 346	20	-	20	8	0	1261	-	1261	2	 	 	 	 	 	 	 
Henan	9605	15	-	15	207	1	1184	-	1184	11	 	 	 	 	 	 	 
Zhejiang	5737	10	-	10	22	0	1155	-	1155	0	 	 	 	 	 	 	 
Hunan	6899	20	-	20	53	0	988	-	988	2	 	 	 	 	 	 	 
Anhui	6324	24	-	24	16	1	934	-	934	6	 	 	 	 	 	 	 
Jiangxi	4648	28	-	28	43	0	900	-	900	1	 	 	 	 	 	 	 
Jiangsu	8051	23	-	23	14	0	593	-	593	0	 	 	 	 	 	 	 
Chongqing	3102	11	-	11	138	1	529	-	529	4	 	 	 	 	 	 	 
Shandong	10 047	13	-	13	37	0	519	-	519	2	 	 	 	 	 	 	 
Sichuan	8341	12	-	12	77	0	463	-	463	1	 	 	 	 	 	 	 
Heilongjiang	3773	23	-	23	35	2	418	-	418	11	 	 	 	 	 	 	 
Beijing	2154	6	-	6	54	0	372	-	372	3	 	 	 	 	 	 	 
Shanghai	2424	5	-	5	81	0	318	-	318	1	 	 	 	 	 	 	 
Hebei	7556	18	-	18	12	0	283	-	283	3	 	 	 	 	 	 	 
Fujian	3941	2	-	2	23	0	281	-	281	0	 	 	 	 	 	 	 
Shaanxi	3864	1	-	1	37	0	230	-	230	0	 	 	 	 	 	 	 
Guangxi	4926	4	-	4	79	0	226	-	226	2	 	 	 	 	 	 	 
Yunnan	4830	7	-	7	29	0	162	-	162	0	 	 	 	 	 	 	 
Hainan	934	0	-	0	32	0	157	-	157	4	 	 	 	 	 	 	 
Guizhou	3600	5	-	5	16	0	140	-	140	1	 	 	 	 	 	 	 
Shanxi	3718	0	-	0	24	0	126	-	126	0	 	 	 	 	 	 	 
Tianjin	1560	7	-	7	172	0	119	-	119	3	 	 	 	 	 	 	 
Liaoning	4359	1	-	1	66	0	117	-	117	1	 	 	 	 	 	 	 
Gansu	2637	3	-	3	0	0	90	-	90	2	 	 	 	 	 	 	 
Jilin	2704	2	-	2	10	0	86	-	86	1	 	 	 	 	 	 	 
Ningxia	688	3	-	3	5	0	67	-	67	0	 	 	 	 	 	 	 
Xinjiang	2487	2	-	2	5	0	65	-	65	1	 	 	 	 	 	 	 
Inner Mongolia	2534	2	-	2	1	0	63	-	63	0	 	 	 	 	 	 	 
Hong Kong Sar	745	3	-	3	0	0	53	-	53	1	 	 	 	 	 	 	 
Qinghai	603	0	-	0	0	0	18	-	18	0	 	 	 	 	 	 	 
Taipei and environs	2359	0	-	0	0	0	18	-	18	0	 	 	 	 	 	 	 
Macao Sar	66	0	-	0	0	0	10	-	10	0	 	 	 	 	 	 	 
Xizang	344	0	-	0	0	0	1	-	1	0	 	 	 	 	 	 	 
Totals	142 823	1998	3095	5093	2450	121	48 548	15 384	63 932	1381	 	 	 	 	 	 	 
