Province/ Region/ City	Population (10,000s)	Daily	Unnamed: 3	Unnamed: 4	Unnamed: 5	Cumulative	Unnamed: 7	Unnamed: 8	Unnamed: 9
 	 	Confirmed cases	Suspected cases	Deaths	Confirmed cases	Deaths	 	 	 
Hubei	5917.0	631	1279	115	62662	2144	 	 	 
Guangdong	11346.0	1	1	0	1333	5	 	 	 
Henan	9605.0	2	31	0	1267	19	 	 	 
Zhejiang	5737.0	28	4	1	1203	1	 	 	 
Hunan	6899.0	1	5	0	1011	4	 	 	 
Anhui	6324.0	1	1	0	988	6	 	 	 
Jiangxi	4648.0	0	0	0	934	1	 	 	 
Shandong	10047.0	202	14	0	748	4	 	 	 
Jiangsu	8051.0	0	1	0	631	0	 	 	 
Chongqing	3102.0	7	28	1	567	6	 	 	 
Sichuan	8341.0	5	15	0	525	3	 	 	 
Heilongjiang	3773.0	3	1	0	479	12	 	 	 
Beijing	2154.0	1	41	0	396	4	 	 	 
Shanghai	2424.0	1	62	0	334	2	 	 	 
Hebei	7556.0	1	0	0	308	5	 	 	 
Fujian	3941.0	0	0	0	293	1	 	 	 
Guangxi	4926.0	1	15	0	246	2	 	 	 
Shaanxi	3864.0	0	8	0	245	1	 	 	 
Yunnan	4830.0	2	21	1	174	2	 	 	 
Hainan	934.0	0	16	0	168	4	 	 	 
Guizhou	3600.0	0	3	0	146	2	 	 	 
Shanxi	3718.0	1	5	0	132	0	 	 	 
Tianjin	1560.0	1	37	0	131	3	 	 	 
Liaoning	4359.0	0	20	0	121	1	 	 	 
Jilin	2704.0	0	4	0	91	1	 	 	 
Gansu	2637.0	0	1	0	91	2	 	 	 
Xinjiang	2487.0	0	0	0	76	1	 	 	 
Inner Mongolia	2534.0	0	0	0	75	0	 	 	 
Ningxia	688.0	0	1	0	71	0	 	 	 
Hong Kong SAR	745.0	3	0	0	68	2	 	 	 
Taipei and environs	2359.0	2	0	0	26	1	 	 	 
Qinghai	603.0	0	0	0	18	0	 	 	 
Macao SAR	66.0	0	0	0	10	0	 	 	 
Xizang	344.0	0	0	0	1	0	 	 	 
Total	142823.0	894	1614	118	75569	2239	 	 	 
Country/Territory/Area	Confirmed* cases (new) 204 (100) 93 (8) 85 (1) 22 (0) 17 (2)	Likely place of exposure†	 	 	Total cases with site of transmission under investigation (new) 29 (14) 4 (1) 7 (0) 2 (0) 0 (0)	Total deaths (new) 1 (0) 1 (0) 0 (0) 0 (0) 0 (0)	 	 	 
 	 	China (new)	Outside reporting country and outside China (new)	In reporting country (new)	 	 	 	 	 
Western Pacific Region	 	 	 	 	 	 	 	 	 
Republic of Korea	 	204 (100)	13 (0)	4 (0)	 	 	 	 	 
Japan	 	93 (8)	27 (0)	5 (2)	 	 	 	 	 
Singapore	 	85 (1)	23 (0)	0 (0)	 	 	 	 	 
Malaysia	 	22 (0)	17 (0)	1 (0)	 	 	 	 	 
Australia	 	17 (2)	12 (0)	2 (2)	 	 	 	 	 
Viet Nam	16 (0)	8 (0)	0 (0)	8 (0)	0 (0)	0 (0)	 	 	 
Philippines	3 (0)	3 (0)	0 (0)	0 (0)	0 (0)	1 (0)	 	 	 
Cambodia	1 (0)	1 (0)	0 (0)	0 (0)	0 (0)	0 (0)	 	 	 
South-East Asia Region	 	 	 	 	 	 	 	 	 
Thailand	35 (0)	23 (0)	0 (0)	5 (0)	7 (0)	0 (0)	 	 	 
India	3 (0)	3 (0)	0 (0)	0 (0)	0 (0)	0 (0)	 	 	 
Nepal	1 (0)	1 (0)	0 (0)	0 (0)	0 (0)	0 (0)	 	 	 
Sri Lanka	1 (0)	1 (0)	0 (0)	0 (0)	0 (0)	0 (0)	 	 	 
Region of the Americas	 	 	 	 	 	 	 	 	 
United States of America	15 (0)	13 (0)	0 (0)	2 (0)	0 (0)	0 (0)	 	 	 
Canada	8 (0)	7 (0)	0 (0)	0 (0)	1 (0)	0 (0)	 	 	 
European Region	 	 	 	 	 	 	 	 	 
Germany	16 (0)	2 (0)	0 (0)	14 (0)	0 (0)	0 (0)	 	 	 
France	12 (0)	5 (0)	0 (0)	7 (0)	0 (0)	1 (0)	 	 	 
The United Kingdom	9 (0)	2 (0)	6 (0)	1 (0)	0 (0)	0 (0)	 	 	 
Italy	3 (0)	3 (0)	0 (0)	0 (0)	0 (0)	0 (0)	 	 	 
Russian Federation	2 (0)	2 (0)	0 (0)	0 (0)	0 (0)	0 (0)	 	 	 
Spain	2 (0)	0 (0)	2 (0)	0 (0)	0 (0)	0 (0)	 	 	 
Belgium	1 (0)	1 (0)	0 (0)	0 (0)	0 (0)	0 (0)	 	 	 
Finland	1 (0)	1 (0)	0 (0)	0 (0)	0 (0)	0 (0)	 	 	 
Sweden	1 (0)	1 (0)	0 (0)	0 (0)	0 (0)	0 (0)	 	 	 
Eastern Mediterranean Region	 	 	 	 	 	 	 	 	 
United Arab Emirates	9 (0)	6 (0)	0 (0)	2 (0)	1 (0)	0 (0)	 	 	 
Iran (Islamic Republic of)	5 (3)	0 (0)	0 (0)	5 (3)	0 (0)	2 (0)	 	 	 
Egypt	1 (0)	0 (0)	0 (0)	1 (0)	0 (0)	0 (0)	 	 	 
 	 	 	 	 	 	 	 	 	 
Subtotal for all regions	566 (114)	175 (0)	20 (4)	320 (95)	51 (15)	6 (0)	 	 	 
International conveyance‡ (Diamond Princess)	634 (13)	0 (0)	0 (0)	0 (0)	634 (13)	2 (0)	 	 	 
Grand total	1200 (127)	175 (0)	20 (4)	320 (95)	685 (28)	8 (0)	 	 	 
