Province/ Region/ City	Population (10,000s)	Daily	Unnamed: 3	Unnamed: 4	Unnamed: 5	Cumulative	Unnamed: 7	Unnamed: 8	Unnamed: 9	Lebanon	2 (1)	0 (0)	1 (0)	0 (0).1	1 (1)	0 (0).2
 	 	cases Confirmed	cases Suspected	Deaths	Confirmed cases	Deaths	 	 	 							
Hubei	5917.0	409	403	26	65596	2641	 	 	 							
Guangdong	11346.0	0	0	0	1347	7	 	 	 							
Henan	9605.0	1	2	1	1272	20	 	 	 							
Zhejiang	5737.0	0	0	0	1205	1	 	 	 							
Hunan	6899.0	1	0	0	1017	4	 	 	 							
Anhui	6324.0	0	0	0	989	6	 	 	 							
Jiangxi	4648.0	0	0	0	934	1	 	 	 							
Shandong	10047.0	0	0	0	756	6	 	 	 							
Jiangsu	8051.0	0	0	0	631	0	 	 	 							
Chongqing	3102.0	0	11	0	576	6	 	 	 							
Sichuan	8341.0	3	4	0	534	3	 	 	 							
Heilongjiang	3773.0	0	0	1	480	13	 	 	 							
Beijing	2154.0	10	10	1	410	5	 	 	 							
Shanghai	2424.0	1	33	0	337	3	 	 	 							
Hebei	7556.0	5	0	0	317	6	 	 	 							
Fujian	3941.0	2	0	0	296	1	 	 	 							
Guangxi	4926.0	0	0	0	252	2	 	 	 							
Shaanxi	3864.0	0	0	0	245	1	 	 	 							
Yunnan	4830.0	0	3	0	174	2	 	 	 							
Hainan	934.0	0	4	0	168	5	 	 	 							
Guizhou	3600.0	0	1	0	146	2	 	 	 							
Tianjin	1560.0	0	20	0	135	3	 	 	 							
Shanxi	3718.0	0	1	0	133	0	 	 	 							
Liaoning	4359.0	0	14	0	121	1	 	 	 							
Jilin	2704.0	0	2	0	93	1	 	 	 							
Gansu	2637.0	0	0	0	91	2	 	 	 							
Hong Kong SAR	745.0	6	0	0	91	2	 	 	 							
Xinjiang	2487.0	0	0	0	76	2	 	 	 							
Inner Mongolia	2534.0	0	0	0	75	0	 	 	 							
Ningxia	688.0	1	0	0	72	0	 	 	 							
Taipei and environs	2359.0	0	0	0	32	1	 	 	 							
Qinghai	603.0	0	0	0	18	0	 	 	 							
Macao SAR	66.0	0	0	0	10	0	 	 	 							
Xizang	344.0	0	0	0	1	0	 	 	 							
Total	142823.0	439	508	29	78630	2747	 	 	 							
Country/Territory/Area	Confirmed* cases (new) 1766 (505) 186 (22) 93 (2) 23 (0)	Likely place of exposure†	 	 	Total cases with site of transmission under investigation (new) 1144 (505) 18 (6) 0 (0) 0 (0)	Total deaths (new) 13 (1) 3 (2) 0 (0) 0 (0)	 	 	 							
 	 	China (new)	Outside reporting country and outside China (new)	In reporting country (new)	 	 	 	 	 							
Western Pacific Region	 	 	 	 	 	 	 	 	 							
Republic of Korea	 	1766 (505)	13 (0)	4 (0)	 	 	 	 	 							
Japan	 	186 (22)	28 (0)	11 (3)	 	 	 	 	 							
Singapore	 	93 (2)	24 (0)	0 (0)	 	 	 	 	 							
Australia	 	23 (0)	12 (0)	8 (0)	 	 	 	 	 							
Malaysia	22 (0)	18 (0)	2 (0)	2 (0)	0 (0)	0 (0)	 	 	 							
Viet Nam	16 (0)	8 (0)	0 (0)	8 (0)	0 (0)	0 (0)	 	 	 							
Philippines	3 (0)	3 (0)	0 (0)	0 (0)	0 (0)	1 (0)	 	 	 							
Cambodia	1 (0)	1 (0)	0 (0)	0 (0)	0 (0)	0 (0)	 	 	 							
South-East Asia Region	 	 	 	 	 	 	 	 	 							
Thailand	40 (0)	23 (0)	0 (0)	7 (0)	10 (0)	0 (0)	 	 	 							
India	3 (0)	3 (0)	0 (0)	0 (0)	0 (0)	0 (0)	 	 	 							
Nepal	1 (0)	1 (0)	0 (0)	0 (0)	0 (0)	0 (0)	 	 	 							
Sri Lanka	1 (0)	1 (0)	0 (0)	0 (0)	0 (0)	0 (0)	 	 	 							
Region of the Americas	 	 	 	 	 	 	 	 	 							
United States of America	59 (6)	14 (0)	42 (6)	2 (0)	1 (0)	0 (0)	 	 	 							
Canada	11 (1)	7 (0)	2 (1)	1 (0)	1 (0)	0 (0)	 	 	 							
Brazil	1 (1)	0 (0)	1 (1)	0 (0)	0 (0)	0 (0)	 	 	 							
European Region	 	 	 	 	 	 	 	 	 							
Italy	400 (78)	3 (0)	0 (0)	121 (0)	276 (78)	12 (1)	 	 	 							
Germany	21 (3)	2 (0)	1 (1)	14 (0)	4 (2)	0 (0)	 	 	 							
France	18 (6)	6 (1)	2 (2)	7 (0)	3 (3)	2 (1)	 	 	 							
The United Kingdom	13 (0)	2 (0)	10 (0)	1 (0)	0 (0)	0 (0)	 	 	 							
Spain	12 (10)	0 (0)	10 (8)	1 (1)	1 (1)	0 (0)	 	 	 							
Croatia	3 (1)	0 (0)	2 (1)	1 (0)	0 (0)	0 (0)	 	 	 							
Austria	2 (0)	0 (0)	2 (0)	0 (0)	0 (0)	0 (0)	 	 	 							
Finland	2 (1)	1 (0)	1 (1)	0 (0)	0 (0)	0 (0)	 	 	 							
Israel	2 (0)	0 (0)	2 (0)	0 (0)	0 (0)	0 (0)	 	 	 							
Russian Federation	2 (0)	2 (0)	0 (0)	0 (0)	0 (0)	0 (0)	 	 	 							
Sweden	2 (1)	1 (0)	1 (1)	0 (0)	0 (0)	0 (0)	 	 	 							
Belgium	1 (0)	1 (0)	0 (0)	0 (0)	0 (0)	0 (0)	 	 	 							
Denmark	1 (1)	0 (0)	1 (1)	0 (0)	0 (0)	0 (0)	 	 	 							
Estonia	1 (1)	0 (0)	0 (0)	0 (0)	1 (1)	0 (0)	 	 	 							
Georgia	1 (1)	0 (0)	1 (1)	0 (0)	0 (0)	0 (0)	 	 	 							
Greece	1 (1)	0 (0)	1 (1)	0 (0)	0 (0)	0 (0)	 	 	 							
North Macedonia	1 (1)	0 (0)	1 (1)	0 (0)	0 (0)	0 (0)	 	 	 							
Norway	1 (1)	1 (1)	0 (0)	0 (0)	0 (0)	0 (0)	 	 	 							
Romania	1 (1)	0 (0)	1 (1)	0 (0)	0 (0)	0 (0)	 	 	 							
Switzerland	1 (0)	0 (0)	1 (0)	0 (0)	0 (0)	0 (0)	 	 	 							
Eastern Mediterranean Region	 	 	 	 	 	 	 	 	 							
Iran (Islamic Republic of)	141 (46)	0 (0)	0 (0)	28 (0)	113 (46)	22 (7)	 	 	 							
Kuwait	43 (31)	0 (0)	43 (31)	0 (0)	0 (0)	0 (0)	 	 	 							
Bahrain	33 (7)	0 (0)	33 (7)	0 (0)	0 (0)	0 (0)	 	 	 							
United Arab Emirates	13 (0)	6 (0)	2 (0)	5 (0)	0 (0)	0 (0)	 	 	 							
Iraq	6 (1)	0 (0)	6 (1)	0 (0)	0 (0)	0 (0)	 	 	 							
Oman	4 (0)	0 (0)	4 (0)	0 (0)	0 (0)	0 (0)	 	 	 							
										Pakistan	2 (2)	0 (0)	2 (2)	0 (0)	0 (0)	0 (0)
										Afghanistan	1 (0)	0 (0)	1 (0)	0 (0)	0 (0)	0 (0)
										Egypt	1 (0)	0 (0)	0 (0)	1 (0)	0 (0)	0 (0)
										African Region	 	 	 	 	 	 
										Algeria	1 (0)	0 (0)	1 (0)	0 (0)	0 (0)	0 (0)
										 	 	 	 	 	 	 
										Subtotal for all regions	2959 (732)	181 (2)	200 (71)	1005 (16)	1573 (643)	53 (12)
										International conveyance‡ (Diamond Princess)	705 (14)	0 (0)	0 (0)	0 (0)	0 (0)	4 (1)
										Grand total§	3664 (746)	181 (2)	200 (71)	1005 (16)	1573 (643)	57 (13)
