WHO Region	Date States Parties provided to WHO official reports on additional health measures	Unnamed: 2	Unnamed: 3	Unnamed: 4	Total	Country	Total confirmed* cases (new)	Total deaths (new)	Transmission classification†	Days since last reported case
 	6 Feb	12 Feb	20 Feb	28 Feb	 					
AMRO-PAHO	10	2	0	0	12.0					
AFRO	0	1	0	0	1.0					
EMRO	0	1	0	1	2.0					
EURO	2	1	2	5	10.0					
SEARO	1	0	0	0	1.0					
WPRO	9	3	2	1	15.0					
Total	22	8	4	7	41.0					
 	 	Cumulative	 	 	 					
Deaths	Confirmed cases	Deaths	 	 	 					
41	65914	2682	 	 	 					
0	1348	7	 	 	 					
0	1272	20	 	 	 					
0	1205	1	 	 	 					
0	1017	4	 	 	 					
0	990	6	 	 	 					
0	935	1	 	 	 					
0	756	6	 	 	 					
0	631	0	 	 	 					
0	576	6	 	 	 					
0	538	3	 	 	 					
0	480	13	 	 	 					
2	410	7	 	 	 					
0	337	3	 	 	 					
0	318	6	 	 	 					
0	296	1	 	 	 					
0	252	2	 	 	 					
0	245	1	 	 	 					
0	174	2	 	 	 					
0	168	5	 	 	 					
0	146	2	 	 	 					
0	136	3	 	 	 					
0	133	0	 	 	 					
0	121	1	 	 	 					
0	93	1	 	 	 					
0	93	2	 	 	 					
0	91	2	 	 	 					
1	76	3	 	 	 					
0	75	0	 	 	 					
0	72	0	 	 	 					
0	34	1	 	 	 					
0	18	0	 	 	 					
0	10	0	 	 	 					
0	1	0	 	 	 					
44	78961	2791	 	 	 					
						Western Pacific Region	 	 	 	 
						Republic of Korea	2337 (571)	13 (0)	Local transmission	0.0
						Japan	210 (24)	4 (1)	Local transmission	0.0
						Singapore	96 (3)	0 (0)	Local transmission	0.0
						Malaysia	24 (2)	0 (0)	Local transmission	0.0
						Australia	23 (0)	0 (0)	Local transmission	3.0
						Viet Nam	16 (0)	0 (0)	Local transmission	15.0
						Philippines	3 (0)	1 (0)	Imported cases only	24.0
						Cambodia	1 (0)	0 (0)	Imported cases only	32.0
						New Zealand	1 (1)	0 (0)	Imported cases only	0.0
						European Region	 	 	 	 
						Italy	650 (250)	17 (5)	Local transmission	0.0
						France	38 (20)	2 (0)	Local transmission	0.0
						Germany	26 (5)	0 (0)	Local transmission	0.0
						Spain	25 (13)	0 (0)	Local transmission	0.0
						The United Kingdom	16 (3)	0 (0)	Local transmission	0.0
						Sweden	7 (5)	0 (0)	Imported cases only	0.0
						Switzerland	6 (5)	0 (0)	Imported cases only	0.0
						Austria	4 (2)	0 (0)	Imported cases only	0.0
						Norway	4 (3)	0 (0)	Imported cases only	0.0
						Greece	3 (2)	0 (0)	Imported cases only	0.0
						Israel	3 (1)	0 (0)	Imported cases only	0.0
						Croatia	3 (0)	0 (0)	Local transmission	0.0
						Finland	2 (0)	0 (0)	Imported cases only	2.0
						Russian Federation	2 (0)	0 (0)	Imported cases only	28.0
						Belarus	1 (1)	0 (0)	Imported cases only	0.0
						Lithuania	1 (1)	0 (0)	Imported cases only	0.0
						Netherlands	1 (1)	0 (0)	Imported cases only	0.0
						North Macedonia	1 (0)	0 (0)	Imported cases only	2.0
						Romania	1 (0)	0 (0)	Imported cases only	1.0
						Belgium	1 (0)	0 (0)	Imported cases only	24.0
						Denmark	1 (0)	0 (0)	Imported cases only	1.0
						Estonia	1 (0)	0 (0)	Imported cases only	1.0
						Georgia	1 (0)	0 (0)	Imported cases only	1.0
						South-East Asia Region	 	 	 	 
						Thailand	40 (0)	0 (0)	Local transmission	2.0
						India	3 (0)	0 (0)	Imported cases only	25.0
						Nepal	1 (0)	0 (0)	Imported cases only	46.0
						Sri Lanka	1 (0)	0 (0)	Imported cases only	32.0
						Eastern Mediterranean Region	 	 	 	 
						Iran (Islamic Republic of)	245 (104)	26 (4)	Local transmission	0.0
						Kuwait	43 (0)	0 (0)	Imported cases only	1.0
						Bahrain	33 (0)	0 (0)	Imported cases only	1.0
						United Arab Emirates	19 (6)	0 (0)	Local transmission	0.0
						Iraq	7 (1)	0 (0)	Imported cases only	0.0
						Oman	6 (2)	0 (0)	Imported cases only	0.0
						Lebanon	2 (0)	0 (0)	Imported cases only	2.0
						Pakistan	2 (0)	0 (0)	Imported cases only	2.0
						Afghanistan	1 (0)	0 (0)	Imported cases only	4.0
						Egypt	1 (0)	0 (0)	Imported cases only	14.0
						Region of the Americas	 	 	 	 
						United States of America	59 (0)	0 (0)	Local transmission	2.0
						Canada	11 (0)	0 (0)	Imported cases only	2.0
						Brazil	1 (0)	0 (0)	Imported cases only	2.0
						African Region	 	 	 	 
						Algeria	1 (0)	0 (0)	Imported cases only	3.0
						Nigeria	1 (1)	0 (0)	Imported cases only	0.0
						Subtotal for all regions	3986 (1027)	63 (10)	 	 
						International conveyance (Diamond Princess) ‡	705 (0)	4 (0)	Local transmission	2.0
						Grand total§	4691 (1027)	67 (10)	 	 
