Province/ Region/ City	Population (10,000s)	Daily	Unnamed: 3	Unnamed: 4	Unnamed: 5	Cumulative	Unnamed: 7	Unnamed: 8	Unnamed: 9	Oman	6 (0)	0 (0)	Imported cases only	2
 	 	Confirmed cases	Suspected cases	Deaths	Confirmed cases	Deaths	 	 	 					
Hubei	5917.0	570	64	34	66907	2761	 	 	 					
Guangdong	11346.0	0	1	0	1349	7	 	 	 					
Henan	9605.0	0	0	1	1272	22	 	 	 					
Zhejiang	5737.0	0	0	0	1205	1	 	 	 					
Hunan	6899.0	0	0	0	1018	4	 	 	 					
Anhui	6324.0	0	0	0	990	6	 	 	 					
Jiangxi	4648.0	0	0	0	935	1	 	 	 					
Shandong	10047.0	0	0	0	756	6	 	 	 					
Jiangsu	8051.0	0	0	0	631	0	 	 	 					
Chongqing	3102.0	0	6	0	576	6	 	 	 					
Sichuan	8341.0	0	1	0	538	3	 	 	 					
Heilongjiang	3773.0	0	0	0	480	13	 	 	 					
Beijing	2154.0	2	18	0	413	8	 	 	 					
Shanghai	2424.0	0	10	0	337	3	 	 	 					
Hebei	7556.0	0	0	0	318	6	 	 	 					
Fujian	3941.0	0	0	0	296	1	 	 	 					
Guangxi	4926.0	0	0	0	252	2	 	 	 					
Shaanxi	3864.0	0	0	0	245	1	 	 	 					
Yunnan	4830.0	0	0	0	174	2	 	 	 					
Hainan	934.0	0	3	0	168	5	 	 	 					
Guizhou	3600.0	0	0	0	146	2	 	 	 					
Tianjin	1560.0	0	11	0	136	3	 	 	 					
Shanxi	3718.0	0	0	0	133	0	 	 	 					
Liaoning	4359.0	1	11	0	122	1	 	 	 					
Hong Kong SAR	745.0	1	0	0	95	2	 	 	 					
Jilin	2704.0	0	6	0	93	1	 	 	 					
Gansu	2637.0	0	0	0	91	2	 	 	 					
Xinjiang	2487.0	0	0	0	76	3	 	 	 					
Inner Mongolia	2534.0	0	0	0	75	0	 	 	 					
Ningxia	688.0	0	1	0	73	0	 	 	 					
Taipei and environs	2359.0	5	0	0	39	1	 	 	 					
Qinghai	603.0	0	0	0	18	0	 	 	 					
Macao SAR	66.0	0	0	0	10	0	 	 	 					
Xizang	344.0	0	0	0	1	0	 	 	 					
Total	142823.0	579	132	35	79968	2873	 	 	 					
Country	Total confirmed* cases (new)	Total deaths (new)	Transmission classification†	Days since last reported case	 	 	 	 	 					
Western Pacific Region	 	 	 	 	 	 	 	 	 					
Republic of Korea	3736 (586)	18 (1)	Local transmission	0	 	 	 	 	 					
Japan	239 (9)	5 (0)	Local transmission	0	 	 	 	 	 					
Singapore	102 (4)	0 (0)	Local transmission	0	 	 	 	 	 					
Australia	25 (1)	0 (0)	Local transmission	0	 	 	 	 	 					
Malaysia	24 (0)	0 (0)	Local transmission	2	 	 	 	 	 					
Viet Nam	16 (0)	0 (0)	Local transmission	17	 	 	 	 	 					
Philippines	3 (0)	1 (0)	Imported cases only	26	 	 	 	 	 					
Cambodia	1 (0)	0 (0)	Imported cases only	34	 	 	 	 	 					
New Zealand	1 (0)	0 (0)	Imported cases only	2	 	 	 	 	 					
European Region	 	 	 	 	 	 	 	 	 					
Italy	1128 (240)	29 (8)	Local transmission	0	 	 	 	 	 					
France	100 (43)	2 (0)	Local transmission	0	 	 	 	 	 					
Germany	57 (0)	0 (0)	Local transmission	1	 	 	 	 	 					
Spain	45 (13)	0 (0)	Local transmission	0	 	 	 	 	 					
The United Kingdom	23 (3)	0 (0)	Local transmission	0	 	 	 	 	 					
Switzerland	18 (8)	0 (0)	Imported cases only	0	 	 	 	 	 					
Norway	15 (9)	0 (0)	Local transmission	0	 	 	 	 	 					
Sweden	13 (1)	0 (0)	Imported cases only	0	 	 	 	 	 					
Austria	10 (5)	0 (0)	Imported cases only	0	 	 	 	 	 					
Croatia	7 (2)	0 (0)	Local transmission	0	 	 	 	 	 					
Israel	7 (2)	0 (0)	Imported cases only	0	 	 	 	 	 					
Netherlands	7 (5)	0 (0)	Local transmission	0	 	 	 	 	 					
Azerbaijan	3 (3)	0 (0)	Imported cases only	0	 	 	 	 	 					
Denmark	3 (1)	0 (0)	Imported cases only	0	 	 	 	 	 					
Georgia	3 (1)	0 (0)	Imported cases only	0	 	 	 	 	 					
Greece	3 (0)	0 (0)	Imported cases only	2	 	 	 	 	 					
Romania	3 (0)	0 (0)	Imported cases only	1	 	 	 	 	 					
Finland	2 (0)	0 (0)	Imported cases only	4	 	 	 	 	 					
Russian Federation	2 (0)	0 (0)	Imported cases only	30	 	 	 	 	 					
Belarus	1 (0)	0 (0)	Imported cases only	2	 	 	 	 	 					
Belgium	1 (0)	0 (0)	Imported cases only	26	 	 	 	 	 					
Estonia	1 (0)	0 (0)	Imported cases only	3	 	 	 	 	 					
Ireland	1 (1)	0 (0)	Imported cases only	0	 	 	 	 	 					
Lithuania	1 (0)	0 (0)	Imported cases only	2	 	 	 	 	 					
Monaco	1 (1)	0 (0)	Under investigation	0	 	 	 	 	 					
North Macedonia	1 (0)	0 (0)	Imported cases only	4	 	 	 	 	 					
San Marino	1 (0)	0 (0)	Local transmission	1	 	 	 	 	 					
South-East Asia Region	 	 	 	 	 	 	 	 	 					
Thailand	42 (0)	0 (0)	Local transmission	1	 	 	 	 	 					
India	3 (0)	0 (0)	Imported cases only	27	 	 	 	 	 					
Nepal	1 (0)	0 (0)	Imported cases only	48	 	 	 	 	 					
Sri Lanka	1 (0)	0 (0)	Imported cases only	34	 	 	 	 	 					
Eastern Mediterranean Region	 	 	 	 	 	 	 	 	 					
Iran (Islamic Republic of)	593 (205)	43 (9)	Local transmission	0	 	 	 	 	 					
Kuwait	45 (0)	0 (0)	Imported cases only	1	 	 	 	 	 					
Bahrain	40 (2)	0 (0)	Imported cases only	0	 	 	 	 	 					
United Arab Emirates	19 (0)	0 (0)	Local transmission	1	 	 	 	 	 					
Iraq	13 (5)	0 (0)	Imported cases only	0	 	 	 	 	 					
										Pakistan	4 (2)	0 (0)	Imported cases only	0.0
										Lebanon	2 (0)	0 (0)	Imported cases only	4.0
										Afghanistan	1 (0)	0 (0)	Imported cases only	6.0
										Egypt	1 (0)	0 (0)	Imported cases only	16.0
										Qatar	1 (1)	0 (0)	Imported cases only	0.0
										Region of the Americas	 	 	 	 
										United States of America	62 (0)	0 (0)	Local transmission	1.0
										Canada	19 (5)	0 (0)	Local transmission	0.0
										Brazil	2 (1)	0 (0)	Imported cases only	0.0
										Mexico	2 (0)	0 (0)	Imported cases only	1.0
										Ecuador	1 (1)	0 (0)	Imported cases only	0.0
										African Region	 	 	 	 
										Algeria	1 (0)	0 (0)	Imported cases only	5.0
										Nigeria	1 (0)	0 (0)	Imported cases only	2.0
										Subtotal for all regions	6464 (1160)	98 (18)	 	 
										International conveyance (Diamond Princess) ‡	705 (0)	6 (0)	Local transmission	4.0
										Grand total§	7169 (1160)	104 (18)	 	 
