Province/ Region/ City	Population (10,000s)	In last 24 hours	Unnamed: 3	Unnamed: 4	Unnamed: 5	Cumulative	Unnamed: 7	Unnamed: 8	Unnamed: 9	Eastern Mediterranean Region	Unnamed: 1	Unnamed: 2	Unnamed: 6
 	 	Confirmed cases	Suspected cases	Deaths	Confirmed cases	Deaths	 	 	 				
Hubei	5917.0	196	80	42	67103	2803	 	 	 				
Guangdong	11346.0	1	0	0	1350	7	 	 	 				
Henan	9605.0	0	0	0	1272	22	 	 	 				
Zhejiang	5737.0	1	4	0	1206	1	 	 	 				
Hunan	6899.0	0	0	0	1018	4	 	 	 				
Anhui	6324.0	0	0	0	990	6	 	 	 				
Jiangxi	4648.0	0	0	0	935	1	 	 	 				
Shandong	10047.0	2	0	0	758	6	 	 	 				
Jiangsu	8051.0	0	0	0	631	0	 	 	 				
Chongqing	3102.0	0	1	0	576	6	 	 	 				
Sichuan	8341.0	0	2	0	538	3	 	 	 				
Heilongjiang	3773.0	0	0	0	480	13	 	 	 				
Beijing	2154.0	1	12	0	414	8	 	 	 				
Shanghai	2424.0	0	11	0	337	3	 	 	 				
Hebei	7556.0	0	0	0	318	6	 	 	 				
Fujian	3941.0	0	0	0	296	1	 	 	 				
Guangxi	4926.0	0	0	0	252	2	 	 	 				
Shaanxi	3864.0	0	0	0	245	1	 	 	 				
Yunnan	4830.0	0	3	0	174	2	 	 	 				
Hainan	934.0	0	1	0	168	5	 	 	 				
Guizhou	3600.0	0	0	0	146	2	 	 	 				
Tianjin	1560.0	0	9	0	136	3	 	 	 				
Shanxi	3718.0	0	0	0	133	0	 	 	 				
Liaoning	4359.0	0	16	0	122	1	 	 	 				
Hong Kong SAR	745.0	3	0	0	98	2	 	 	 				
Jilin	2704.0	0	2	0	93	1	 	 	 				
Gansu	2637.0	0	0	0	91	2	 	 	 				
Xinjiang	2487.0	0	0	0	76	3	 	 	 				
Inner Mongolia	2534.0	0	0	0	75	0	 	 	 				
Ningxia	688.0	1	0	0	74	0	 	 	 				
Taipei and environs	2359.0	1	0	0	40	1	 	 	 				
Qinghai	603.0	0	0	0	18	0	 	 	 				
Macao SAR	66.0	0	0	0	10	0	 	 	 				
Xizang	344.0	0	0	0	1	0	 	 	 				
Total	142823.0	206	141	42	80174	2915	 	 	 				
Country	confirmed* cases Total	Total confirmed new cases	Total deaths	Total new deaths	Transmission classification†	Days since last reported case	 	 	 				
Western Pacific Region	 	 	 	 	 	 	 	 	 				
Republic of Korea	4212	476	22	4	Local transmission	0	 	 	 				
Japan	254	15	6	1	Local transmission	0	 	 	 				
Singapore	106	4	0	0	Local transmission	0	 	 	 				
Australia	27	2	1	1	Local transmission	0	 	 	 				
Malaysia	24	0	0	0	Local transmission	3	 	 	 				
Viet Nam	16	0	0	0	Local transmission	18	 	 	 				
Philippines	3	0	1	0	Imported cases only	27	 	 	 				
Cambodia	1	0	0	0	Imported cases only	35	 	 	 				
New Zealand	1	0	0	0	Imported cases only	3	 	 	 				
European Region	 	 	 	 	 	 	 	 	 				
Italy	1689	561	35	6	Local transmission	0	 	 	 				
Germany	129	72	0	0	Local transmission	0	 	 	 				
France	100	0	2	0	Local transmission	1	 	 	 				
Spain	45	0	0	0	Local transmission	1	 	 	 				
the United Kingdom	36	13	0	0	Local transmission	0	 	 	 				
Switzerland	24	6	0	0	Local transmission	0	 	 	 				
Norway	19	4	0	0	Local transmission	0	 	 	 				
Sweden	14	1	0	0	Local transmission	0	 	 	 				
Netherlands	13	6	0	0	Local transmission	0	 	 	 				
Austria	10	0	0	0	Imported cases only	1	 	 	 				
Croatia	7	0	0	0	Local transmission	1	 	 	 				
Greece	7	4	0	0	Local transmission	0	 	 	 				
Israel	7	0	0	0	Local transmission	1	 	 	 				
Finland	6	4	0	0	Local transmission	0	 	 	 				
Denmark	4	1	0	0	Local transmission	0	 	 	 				
Azerbaijan	3	0	0	0	Imported cases only	1	 	 	 				
Czechia	3	3	0	0	Imported cases only	0	 	 	 				
Georgia	3	0	0	0	Imported cases only	1	 	 	 				
Romania	3	0	0	0	Imported cases only	2	 	 	 				
Iceland	2	2	0	0	Imported cases only	0	 	 	 				
Russian Federation	2	0	0	0	Imported cases only	31	 	 	 				
Armenia	1	1	0	0	Imported cases only	0	 	 	 				
Belarus	1	0	0	0	Imported cases only	3	 	 	 				
Belgium	1	0	0	0	Imported cases only	27	 	 	 				
Estonia	1	0	0	0	Imported cases only	4	 	 	 				
Ireland	1	0	0	0	Imported cases only	1	 	 	 				
Lithuania	1	0	0	0	Imported cases only	3	 	 	 				
Luxembourg	1	1	0	0	Imported cases only	0	 	 	 				
Monaco	1	0	0	0	Under investigation	1	 	 	 				
North Macedonia	1	0	0	0	Imported cases only	5	 	 	 				
San Marino	1	0	0	0	Local transmission	2	 	 	 				
South-East Asia Region	 	 	 	 	 	 	 	 	 				
Thailand	42	0	1	1	Local transmission	2	 	 	 				
India	3	0	0	0	Imported cases only	28	 	 	 				
Indonesia	2	2	0	0	Local transmission	0	 	 	 				
Nepal	1	0	0	0	Imported cases only	38**	 	 	 				
Sri Lanka	1	0	0	0	Imported cases only	35	 	 	 				
			54.0	11.0	Local transmission					Iran (Islamic Republic of)	978	385.0	0.0
			0.0	0.0	Imported cases only					Kuwait	56	11.0	0.0
			0.0	0.0	Imported cases only					Bahrain	47	7.0	0.0
			0.0	0.0	Local transmission					United Arab Emirates	21	2.0	0.0
			0.0	0.0	Imported cases only					Iraq	19	6.0	0.0
			0.0	0.0	Imported cases only					Lebanon	10§§	1.0	0.0
			0.0	0.0	Imported cases only					Oman	6	0.0	3.0
			0.0	0.0	Imported cases only					Pakistan	4	0.0	1.0
			0.0	0.0	Imported cases only					Qatar	3	2.0	0.0
			0.0	0.0	Imported cases only					Egypt	2	1.0	0.0
			0.0	0.0	Imported cases only					Afghanistan	1	0.0	7.0
			 	 	 					Region of the Americas	 	 	 
			0.0	0.0	Local transmission					the United States	62	2.0	0.0
			0.0	0.0	Local transmission					Canada	19	0.0	1.0
			0.0	0.0	Imported cases only					Mexico	5	3.0	0.0
			0.0	0.0	Imported cases only					Brazil	2	0.0	1.0
			0.0	0.0	Imported cases only					Dominican Republic	1	1.0	0.0
			0.0	0.0	Imported cases only					Ecuador	1	0.0	1.0
			 	 	 					African Region	 	 	 
			0.0	0.0	Imported cases only					Algeria	1	0.0	6.0
			0.0	0.0	Imported cases only					Nigeria	1	0.0	3.0
			122.0	24.0	 					Subtotal for all regions	8068	1599.0	 
			6.0	0.0	Local transmission					International conveyance (Diamond Princess) ‡	706	1.0	0.0
			128.0	24.0	 					Grand total§	8774	1600.0	 
