Province/ Region/ City	Population (10,000s)	In last 24 hours	Unnamed: 3	Unnamed: 4	Unnamed: 5	Cumulative	Unnamed: 7	Unnamed: 8	Unnamed: 9	North Macedonia	1	0	0.1	0.2	Imported cases only	7
 	 	Confirmed cases	Suspected cases	Deaths	Confirmed cases	Deaths	 	 	 							
Hubei	5917.0	134	67	31	67466	2902	 	 	 							
Guangdong	11346.0	0	0	0	1350	7	 	 	 							
Henan	9605.0	0	0	0	1272	22	 	 	 							
Zhejiang	5737.0	2	1	0	1215	1	 	 	 							
Hunan	6899.0	0	0	0	1018	4	 	 	 							
Anhui	6324.0	0	0	0	990	6	 	 	 							
Jiangxi	4648.0	0	0	0	935	1	 	 	 							
Shandong	10047.0	0	0	0	758	6	 	 	 							
Jiangsu	8051.0	0	0	0	631	0	 	 	 							
Chongqing	3102.0	0	2	0	576	6	 	 	 							
Sichuan	8341.0	1	0	0	539	3	 	 	 							
Heilongjiang	3773.0	1	0	0	481	13	 	 	 							
Beijing	2154.0	1	10	0	418	8	 	 	 							
Shanghai	2424.0	0	17	0	338	3	 	 	 							
Hebei	7556.0	0	0	0	318	6	 	 	 							
Fujian	3941.0	0	0	0	296	1	 	 	 							
Guangxi	4926.0	0	0	0	252	2	 	 	 							
Shaanxi	3864.0	0	0	0	245	1	 	 	 							
Yunnan	4830.0	0	2	0	174	2	 	 	 							
Hainan	934.0	0	1	0	168	5	 	 	 							
Guizhou	3600.0	0	0	0	146	2	 	 	 							
Tianjin	1560.0	0	11	0	136	3	 	 	 							
Shanxi	3718.0	0	0	0	133	0	 	 	 							
Liaoning	4359.0	0	32	0	125	1	 	 	 							
Hong Kong SAR	745.0	4	0	0	104	2	 	 	 							
Jilin	2704.0	0	0	0	93	1	 	 	 							
Gansu	2637.0	0	0	0	91	2	 	 	 							
Xinjiang	2487.0	0	0	0	76	3	 	 	 							
Ningxia	688.0	0	0	0	75	0	 	 	 							
Inner Mongolia	2534.0	0	0	0	75	1	 	 	 							
Taipei and environs	2359.0	0	0	0	42	1	 	 	 							
Qinghai	603.0	0	0	0	18	0	 	 	 							
Macao SAR	66.0	0	0	0	10	0	 	 	 							
Xizang	344.0	0	0	0	1	0	 	 	 							
Total	142823.0	143	143	31	80565	3015	 	 	 							
Reporting Country/ Territory/Area	confirmed* cases Total	Total confirmed new cases	Total deaths	Total new deaths	Transmission classification†	Days since last reported case	 	 	 							
Western Pacific Region	 	 	 	 	 	 	 	 	 							
Republic of Korea	5766	438	35	3	Local transmission	0	 	 	 							
Japan	317	33	6	0	Local transmission	0	 	 	 							
Singapore	110	0	0	0	Local transmission	1	 	 	 							
Australia	57	14	2	2	Local transmission	0	 	 	 							
Malaysia	50	0	0	0	Local transmission	1	 	 	 							
Viet Nam	16	0	0	0	Local transmission	21	 	 	 							
Philippines	3	0	1	0	Imported cases only	29	 	 	 							
New Zealand	2	0	0	0	Imported cases only	2	 	 	 							
Cambodia	1	0	0	0	Imported cases only	37	 	 	 							
European Region	 	 	 	 	 	 	 	 	 							
Italy	3089	587	107	27	Local transmission	0	 	 	 							
France^^	282	73	4	0	Local transmission	0	 	 	 							
Germany	262	66	0	0	Local transmission	0	 	 	 							
Spain	198	47	1	1	Local transmission	0	 	 	 							
the United Kingdom^^	89	38	0	0	Local transmission	0	 	 	 							
Switzerland^^	56	20	0	0	Local transmission	0	 	 	 							
Norway	56	23	0	0	Local transmission	0	 	 	 							
Netherlands	38	10	0	0	Local transmission	0	 	 	 							
Austria	37	13	0	0	Imported cases only	0	 	 	 							
Sweden	35	11	0	0	Local transmission	0	 	 	 							
Iceland	26	10	0	0	Imported cases only	0	 	 	 							
Belgium	23	15	0	0	Local transmission	0	 	 	 							
San Marino	16	8	0	0	Local transmission	0	 	 	 							
Israel	15	3	0	0	Local transmission	0	 	 	 							
Denmark	10	2	0	0	Local transmission	0	 	 	 							
Croatia	9	0	0	0	Local transmission	1	 	 	 							
Greece	9	2	0	0	Local transmission	0	 	 	 							
Finland	7	0	0	0	Local transmission	2	 	 	 							
Portugal	7	5	0	0	Local transmission	0	 	 	 							
Belarus	6	5	0	0	Local transmission	0	 	 	 							
Czechia	5	0	0	0	Imported cases only	1	 	 	 							
Romania	4	0	0	0	Local transmission	1	 	 	 							
Azerbaijan	3	0	0	0	Imported cases only	4	 	 	 							
Georgia	3	0	0	0	Imported cases only	4	 	 	 							
Russian Federation	3	0	0	0	Imported cases only	2	 	 	 							
