Province/ Region/ City	Population (10,000s)	In last 24 hours	Unnamed: 3	Unnamed: 4	Unnamed: 5	Cumulative	Unnamed: 7	Unnamed: 8	Unnamed: 9	Monaco	1	0	0.1	0.2	Under investigation	5
 	 	Confirmed cases	Suspected cases	Deaths	Confirmed cases	Deaths	 	 	 							
Hubei	5917.0	126	43	29	67592	2931	 	 	 							
Guangdong	11346.0	1	0	0	1351	7	 	 	 							
Henan	9605.0	0	0	0	1272	22	 	 	 							
Zhejiang	5737.0	0	1	0	1215	1	 	 	 							
Hunan	6899.0	0	0	0	1018	4	 	 	 							
Anhui	6324.0	0	0	0	990	6	 	 	 							
Jiangxi	4648.0	0	0	0	935	1	 	 	 							
Shandong	10047.0	0	0	0	758	6	 	 	 							
Jiangsu	8051.0	0	0	0	631	0	 	 	 							
Chongqing	3102.0	0	2	0	576	6	 	 	 							
Sichuan	8341.0	0	2	0	539	3	 	 	 							
Heilongjiang	3773.0	0	0	0	481	13	 	 	 							
Beijing	2154.0	4	3	0	422	8	 	 	 							
Shanghai	2424.0	1	22	0	339	3	 	 	 							
Hebei	7556.0	0	0	0	318	6	 	 	 							
Fujian	3941.0	0	0	0	296	1	 	 	 							
Guangxi	4926.0	0	0	0	252	2	 	 	 							
Shaanxi	3864.0	0	0	0	245	1	 	 	 							
Yunnan	4830.0	0	2	0	174	2	 	 	 							
Hainan	934.0	0	0	1	168	6	 	 	 							
Guizhou	3600.0	0	2	0	146	2	 	 	 							
Tianjin	1560.0	0	9	0	136	3	 	 	 							
Shanxi	3718.0	0	0	0	133	0	 	 	 							
Liaoning	4359.0	0	13	0	125	1	 	 	 							
Hong Kong SAR	745.0	0	0	0	104	2	 	 	 							
Gansu	2637.0	11	0	0	102	2	 	 	 							
Jilin	2704.0	0	3	0	93	1	 	 	 							
Xinjiang	2487.0	0	0	0	76	3	 	 	 							
Inner Mongolia	2534.0	0	0	0	75	1	 	 	 							
Ningxia	688.0	0	0	0	75	0	 	 	 							
Taipei and environs	2359.0	3	0	0	45	1	 	 	 							
Qinghai	603.0	0	0	0	18	0	 	 	 							
Macao SAR	66.0	0	0	0	10	0	 	 	 							
Xizang	344.0	0	0	0	1	0	 	 	 							
Total	142823.0	146	102	30	80711	3045	 	 	 							
Reporting Country/ Territory/Area†	Total confirmed‡ cases	Total confirmed new cases	Total deaths	Total new deaths	Transmission classification§	Days since last reported case	 	 	 							
Western Pacific Region	 	 	 	 	 	 	 	 	 							
Republic of Korea	6284	518	42	7	Local transmission	0	 	 	 							
Japan	349	32	6	0	Local transmission	0	 	 	 							
Singapore	117	7	0	0	Local transmission	0	 	 	 							
Australia	57	0	2	0	Local transmission	1	 	 	 							
Malaysia	55	5	0	0	Local transmission	0	 	 	 							
Viet Nam	16	0	0	0	Local transmission	22	 	 	 							
Philippines	5	2	1	0	Local transmission	0	 	 	 							
New Zealand	4	2	0	0	Local transmission	0	 	 	 							
Cambodia	1	0	0	0	Imported cases only	38	 	 	 							
European Region	 	 	 	 	 	 	 	 	 							
Italy	3858	769	148	41	Local transmission	0	 	 	 							
Germany	534	272	0	0	Local transmission	0	 	 	 							
France	420	138	6	2	Local transmission	0	 	 	 							
Spain	257	59	3	2	Local transmission	0	 	 	 							
The United Kingdom	118	29	0	0	Local transmission	0	 	 	 							
Norway	86	30	0	0	Local transmission	0	 	 	 							
Switzerland	86	30	1	1	Local transmission	0	 	 	 							
Netherlands	82	44	0	0	Local transmission	0	 	 	 							
Sweden	61	26	0	0	Local transmission	0	 	 	 							
Belgium	50	27	0	0	Local transmission	1	 	 	 							
Austria	47	10	0	0	Imported cases only	0	 	 	 							
Greece	32	23	0	0	Local transmission	1	 	 	 							
Iceland	26	0	0	0	Imported cases only	1	 	 	 							
San Marino	21	5	0	0	Local transmission	0	 	 	 							
Denmark	18	8	0	0	Local transmission	1	 	 	 							
Israel	15	0	0	0	Local transmission	1	 	 	 							
Ireland	14	12	0	0	Local transmission	0	 	 	 							
Czechia	12	7	0	0	Local transmission	0	 	 	 							
Finland	12	5	0	0	Local transmission	0	 	 	 							
Croatia	10	1	0	0	Local transmission	0	 	 	 							
Georgia	9	6	0	0	Imported cases only	0	 	 	 							
Portugal	9	0	0	0	Local transmission	1	 	 	 							
Belarus	6	0	0	0	Local transmission	1	 	 	 							
Romania	6	2	0	0	Local transmission	0	 	 	 							
Slovenia	6	5	0	0	Local transmission	0	 	 	 							
Russian Federation	4	1	0	0	Imported cases only	0	 	 	 							
Azerbaijan	3	0	0	0	Imported cases only	5	 	 	 							
Estonia	3	1	0	0	Imported cases only	0	 	 	 							
Bosnia and Herzegovina	2	0	0	0	Local transmission	1	 	 	 							
Hungary	2	0	0	0	Imported cases only	1	 	 	 							
Andorra	1	0	0	0	Imported cases only	3	 	 	 							
Armenia	1	0	0	0	Imported cases only	4	 	 	 							
Latvia	1	0	0	0	Imported cases only	3	 	 	 							
Liechtenstein	1	0	0	0	Imported cases only	0	 	 	 							
Lithuania	1	0	0	0	Imported cases only	7	 	 	 							
Luxembourg	1	0	0	0	Imported cases only	4	 	 	 							
										North Macedonia	1.0	0.0	0.0	0.0	Imported cases only	8.0
										Poland	1.0	0.0	0.0	0.0	Imported cases only	2.0
										Serbia	1.0	1.0	0.0	0.0	Under investigation	0.0
										Ukraine	1.0	0.0	0.0	0.0	Imported cases only	2.0
										Territories**	 	 	 	 	 	 
										Gibraltar	1.0	0.0	0.0	0.0	Under investigation	2.0
										South-East Asia Region	 	 	 	 	 	 
										Thailand	47.0	0.0	1.0	0.0	Local transmission	1.0
										India	30.0	1.0	0.0	0.0	Local transmission	0.0
										Indonesia	2.0	0.0	0.0	0.0	Local transmission	4.0
										Bhutan	1.0	1.0	0.0	0.0	Imported cases only	0.0
										Nepal	1.0	0.0	0.0	0.0	Imported cases only	42.0
										Sri Lanka	1.0	0.0	0.0	0.0	Imported cases only	39.0
										Eastern Mediterranean Region	 	 	 	 	 	 
										Iran (Islamic Republic of)	3513.0	591.0	107.0	15.0	Local transmission	0.0
										Kuwait	58.0	0.0	0.0	0.0	Imported cases only	1.0
										Bahrain	49.0	0.0	0.0	0.0	Imported cases only	3.0
										Iraq	36.0	0.0	2.0	0.0	Imported cases only	1.0
										United Arab Emirates	27.0	0.0	0.0	0.0	Local transmission	2.0
										Lebanon	16.0	3.0	0.0	0.0	Local transmission	0.0
										Oman	16.0	1.0	0.0	0.0	Imported cases only	0.0
										Qatar	8.0	0.0	0.0	0.0	Imported cases only	2.0
										Saudi Arabia	8.0	6.0	0.0	0.0	Imported cases only	0.0
										Pakistan	5.0	0.0	0.0	0.0	Imported cases only	3.0
										Egypt	3.0	1.0	0.0	0.0	Imported cases only	0.0
										Morocco	2.0	0.0	0.0	0.0	Imported cases only	1.0
										Afghanistan	1.0	0.0	0.0	0.0	Imported cases only	11.0
										Jordan	1.0	0.0	0.0	0.0	Imported cases only	3.0
										Tunisia	1.0	0.0	0.0	0.0	Imported cases only	3.0
										Territories**	 	 	 	 	 	 
										Occupied Palestinian Territory	7.0	0.0	0.0	0.0	Imported cases only	1.0
										Region of the Americas	 	 	 	 	 	 
										United States of America	148.0	19.0	10.0	1.0	Local transmission	0.0
										Canada	45.0	15.0	0.0	0.0	Local transmission	0.0
										Ecuador	13.0	6.0	0.0	0.0	Local transmission	0.0
										Brazil	7.0	4.0	0.0	0.0	Imported cases only	0.0
										Mexico	5.0	0.0	0.0	0.0	Imported cases only	4.0
										Argentina	1.0	0.0	0.0	0.0	Imported cases only	2.0
										Chile	1.0	0.0	0.0	0.0	Imported cases only	2.0
										Dominican Republic	1.0	0.0	0.0	0.0	Imported cases only	4.0
										Territories**	 	 	 	 	 	 
										Saint Martin	2.0	0.0	0.0	0.0	Under investigation	3.0
										Saint Barthélemy	1.0	0.0	0.0	0.0	Under investigation	3.0
										African Region	 	 	 	 	 	 
										Algeria	12.0	0.0	0.0	0.0	Local transmission	1.0
										Senegal	4.0	0.0	0.0	0.0	Imported cases only	1.0
										Cameroon	1.0	1.0	0.0	0.0	Imported cases only	0.0
										Nigeria	1.0	0.0	0.0	0.0	Imported cases only	7.0
										South Africa	1	1	0	0	Imported cases only	0.0
										Subtotal for all regions	16785	2727	329	69	 	 
										International conveyance (Diamond Princess)	696	0	6	0	Local transmission	0.0
										Grand total	17481	2727	335	69	 	 
