Province/ Region/ City	Population (10,000s)	In last 24 hours	Unnamed: 3	Unnamed: 4	Unnamed: 5	Cumulative	Unnamed: 7	Unnamed: 8	Unnamed: 9	Herzegovina	Unnamed: 1	Unnamed: 2	Unnamed: 6
 	 	Confirmed cases	Suspected cases	Deaths	Confirmed cases	Deaths	 	 	 				
Hubei	5917.0	36	28	21	67743	3007	 	 	 				
Guangdong	11346.0	0	0	1	1352	8	 	 	 				
Henan	9605.0	0	0	0	1272	22	 	 	 				
Zhejiang	5737.0	0	0	0	1215	1	 	 	 				
Hunan	6899.0	0	0	0	1018	4	 	 	 				
Anhui	6324.0	0	0	0	990	6	 	 	 				
Jiangxi	4648.0	0	0	0	935	1	 	 	 				
Shandong	10047.0	0	0	0	758	6	 	 	 				
Jiangsu	8051.0	0	0	0	631	0	 	 	 				
Chongqing	3102.0	0	0	0	576	6	 	 	 				
Sichuan	8341.0	0	0	0	539	3	 	 	 				
Heilongjiang	3773.0	0	1	0	481	13	 	 	 				
Beijing	2154.0	0	8	0	428	8	 	 	 				
Shanghai	2424.0	0	10	0	342	3	 	 	 				
Hebei	7556.0	0	0	0	318	6	 	 	 				
Fujian	3941.0	0	0	0	296	1	 	 	 				
Guangxi	4926.0	0	0	0	252	2	 	 	 				
Shaanxi	3864.0	0	0	0	245	1	 	 	 				
Yunnan	4830.0	0	0	0	174	2	 	 	 				
Hainan	934.0	0	0	0	168	6	 	 	 				
Guizhou	3600.0	0	0	0	146	2	 	 	 				
Tianjin	1560.0	0	10	0	136	3	 	 	 				
Shanxi	3718.0	0	0	0	133	0	 	 	 				
Liaoning	4359.0	0	2	0	125	1	 	 	 				
Gansu	2637.0	4	0	0	124	2	 	 	 				
Hong Kong SAR	745.0	5	0	1	114	3	 	 	 				
Jilin	2704.0	0	1	0	93	1	 	 	 				
Xinjiang	2487.0	0	0	0	76	3	 	 	 				
Inner Mongolia	2534.0	0	0	0	75	1	 	 	 				
Ningxia	688.0	0	0	0	75	0	 	 	 				
Taipei and environs	2359.0	0	0	0	45	1	 	 	 				
Qinghai	603.0	0	0	0	18	0	 	 	 				
Macao SAR	66.0	0	0	0	10	0	 	 	 				
Xizang	344.0	0	0	0	1	0	 	 	 				
Total	142823.0	45	60	23	80904	3123	 	 	 				
Reporting Country/ Territory/Area†	Total confirmed‡ cases	Total confirmed new cases	Total deaths	Total new deaths	Transmission classification§	Days since last reported case	 	 	 				
Western Pacific Region	 	 	 	 	 	 	 	 	 				
Republic of Korea	7382	248	51	1	Local transmission	0	 	 	 				
Japan	488	33	7	1	Local transmission	0	 	 	 				
Singapore	150	12	0	0	Local transmission	0	 	 	 				
Malaysia	93	0	0	0	Local transmission	1	 	 	 				
Australia	77	3	3	0	Local transmission	0	 	 	 				
Viet Nam	30	9	0	0	Local transmission	0	 	 	 				
Philippines	10	4	1	0	Local transmission	0	 	 	 				
New Zealand	5	0	0	0	Local transmission	2	 	 	 				
Cambodia	2	0	0	0	Local transmission	1	 	 	 				
European Region	 	 	 	 	 	 	 	 	 				
Italy	7375	1492	366	132	Local transmission	0	 	 	 				
France	1116	410	19	9	Local transmission	0	 	 	 				
Germany	1112	317	0	0	Local transmission	0	 	 	 				
Spain	589	159	10	5	Local transmission	0	 	 	 				
Switzerland	332	68	2	0	Local transmission	0	 	 	 				
The United Kingdom	277	67	2	0	Local transmission	0	 	 	 				
Netherlands	265	77	3	2	Local transmission	0	 	 	 				
Sweden	203	42	0	0	Local transmission	0	 	 	 				
Belgium	200	31	0	0	Local transmission	0	 	 	 				
Norway	169	22	0	0	Local transmission	0	 	 	 				
Austria	112	10	0	0	Local transmission	0	 	 	 				
Greece	73	7	0	0	Local transmission	0	 	 	 				
Iceland	55	10	0	0	Local transmission	0	 	 	 				
Israel	39	14	0	0	Local transmission	0	 	 	 				
San Marino	37	10	1	0	Local transmission	0	 	 	 				
Denmark	36	5	0	0	Local transmission	0	 	 	 				
Czechia	32	6	0	0	Local transmission	0	 	 	 				
Finland	30	11	0	0	Local transmission	0	 	 	 				
Portugal	30	9	0	0	Local transmission	0	 	 	 				
Ireland	21	2	0	0	Local transmission	0	 	 	 				
Slovenia	16	4	0	0	Local transmission	0	 	 	 				
Romania	15	2	0	0	Local transmission	0	 	 	 				
Georgia	13	1	0	0	Imported cases only	0	 	 	 				
Croatia	11	0	0	0	Local transmission	2	 	 	 				
Poland	11	5	0	0	Imported cases only	0	 	 	 				
Estonia	10	0	0	0	Imported cases only	2	 	 	 				
Azerbaijan	9	0	0	0	Imported cases only	2	 	 	 				
Hungary	9	2	0	0	Local transmission	0	 	 	 				
Russian Federation	7	0	0	0	Imported cases only	2	 	 	 				
Belarus	6	0	0	0	Local transmission	4	 	 	 				
Slovakia	5	2	0	0	Local transmission	0	 	 	 				
Bulgaria	4	2	0	0	Local transmission	0	 	 	 				
Latvia	3	2	0	0	Imported cases only	0	 	 	 				
Malta	3	0	0	0	Imported cases only	1	 	 	 				
North Macedonia	3	0	0	0	Imported cases only	2	 	 	 				
Albania	2	2	0	0	Imported cases only	0	 	 	 				
Bosnia and	2	0	0	0	Local transmission	4	 	 	 				
			0.0	0.0	Imported cases only					Luxembourg	2.0	0.0	2.0
			0.0	0.0	Imported cases only					Andorra	1.0	0.0	6.0
			0.0	0.0	Imported cases only					Armenia	1.0	0.0	7.0
			0.0	0.0	Under investigation					Holy See	1.0	0.0	3.0
			0.0	0.0	Imported cases only					Liechtenstein	1.0	0.0	3.0
			0.0	0.0	Imported cases only					Lithuania	1.0	0.0	10.0
			0.0	0.0	Under investigation					Monaco	1.0	0.0	8.0
			0.0	0.0	Imported cases only					Republic of Moldova	1.0	0.0	1.0
			0.0	0.0	Under investigation					Serbia	1.0	0.0	3.0
			0.0	0.0	Imported cases only					Ukraine	1.0	0.0	5.0
			 	 	 					Territories**	 	 	 
			0.0	0.0	Imported cases only					Faroe Islands	2.0	1.0	0.0
			0.0	0.0	Under investigation					Gibraltar	1.0	0.0	5.0
			 	 	 					South-East Asia Region	 	 	 
			1.0	0.0	Local transmission					Thailand	50.0	0.0	1.0
			0.0	0.0	Local transmission					India	43.0	9.0	0.0
			0.0	0.0	Local transmission					Indonesia	6.0	2.0	0.0
			0.0	0.0	Local transmission					Maldives	4.0	2.0	0.0
			0.0	0.0	Local transmission					Bangladesh	3.0	3.0	0.0
			0.0	0.0	Imported cases only					Bhutan	1.0	0.0	3.0
			0.0	0.0	Imported cases only					Nepal	1.0	0.0	45.0
			0.0	0.0	Imported cases only					Sri Lanka	1.0	0.0	42.0
			 	 	 					Eastern Mediterranean Region	 	 	 
			194.0	49.0	Local transmission					Iran (Islamic Republic of)	6566.0	743.0	0.0
			0.0	0.0	Local transmission					Bahrain	79.0	23.0	0.0
			0.0	0.0	Imported cases only					Kuwait	64.0	2.0	0.0
