Unnamed: 0	Announcement posted on the WHO Event Information Site (EIS)	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	TOTAL	Reporting Country/ Territory/Area†	Total confirmed‡ cases	Total confirmed new cases	Total deaths	Total new deaths	Transmission classification§	Days since last reported case	Ecuador	15	0	0.1	0.2	Local transmission	1
WHO Region	6 February	12 February	21 February	28 February	5 March	 														
African Region	-	1	-	-	-	1.0														
Region of the Americas	10	2	-	-	1* 5* updates	13.0														
Eastern Mediterranean Region	-	1	-	1* 1* update	1*	3.0														
European Region	2	1	2	5 (3*) 1* update	2*	12.0														
South-East Asia Region	1	 	 	 	 	1.0														
Western Pacific Region	9	3	2	1* 6* updates	- 8* updates	15.0														
TOTAL	22	8	4	7	4	45.0														
 	 	 	Cumulative	 	 	 														
Suspected cases	Deaths	cases Confirmed	Deaths	 	 	 														
13	17	67760	3024	 	 	 														
0	0	1353	8	 	 	 														
0	0	1272	22	 	 	 														
0	0	1215	1	 	 	 														
0	0	1018	4	 	 	 														
0	0	990	6	 	 	 														
0	0	935	1	 	 	 														
0	0	758	6	 	 	 														
0	0	631	0	 	 	 														
0	0	576	6	 	 	 														
0	0	539	3	 	 	 														
0	0	481	13	 	 	 														
9	0	429	8	 	 	 														
12	0	342	3	 	 	 														
0	0	318	6	 	 	 														
0	0	296	1	 	 	 														
0	0	252	2	 	 	 														
0	0	245	1	 	 	 														
0	0	174	2	 	 	 														
0	0	168	6	 	 	 														
1	0	146	2	 	 	 														
1	0	136	3	 	 	 														
0	0	133	0	 	 	 														
0	0	125	1	 	 	 														
0	0	124	2	 	 	 														
0	0	115	3	 	 	 														
0	0	93	1	 	 	 														
0	0	76	3	 	 	 														
0	0	75	0	 	 	 														
0	0	75	1	 	 	 														
0	0	45	1	 	 	 														
0	0	18	0	 	 	 														
0	0	10	0	 	 	 														
0	0	1	0	 	 	 														
36	17	80924	3140	 	 	 														
							Western Pacific Region	 	 	 	 	 	 							
							Republic of Korea	7513.0	131.0	54.0	3.0	Local transmission	0.0							
							Japan	514.0	26.0	9.0	2.0	Local transmission	0.0							
							Singapore	160.0	10.0	0.0	0.0	Local transmission	0.0							
							Malaysia	117.0	24.0	0.0	0.0	Local transmission	0.0							
							Australia	92.0	15.0	3.0	0.0	Local transmission	0.0							
							Philippines	33.0	23.0	1.0	0.0	Local transmission	0.0							
							Viet Nam	31.0	1.0	0.0	0.0	Local transmission	0.0							
							New Zealand	5.0	0.0	0.0	0.0	Local transmission	3.0							
							Cambodia	2.0	0.0	0.0	0.0	Local transmission	2.0							
							Brunei Darussalam	1.0	1.0	0.0	0.0	Imported cases only	0.0							
							Mongolia	1.0	1.0	0.0	0.0	Imported cases only	0.0							
							European Region	 	 	 	 	 	 							
							Italy	9172.0	1797.0	463.0	97.0	Local transmission	0.0							
							France	1402.0	286.0	30.0	11.0	Local transmission	0.0							
							Germany	1139.0	27.0	2.0	2.0	Local transmission	0.0							
							Spain	1024.0	435.0	28.0	18.0	Local transmission	0.0							
							Switzerland	332.0	0.0	2.0	0.0	Local transmission	1.0							
							The United Kingdom	323.0	46.0	3.0	1.0	Local transmission	0.0							
							Netherlands	321.0	56.0	3.0	0.0	Local transmission	0.0							
							Sweden	248.0	45.0	0.0	0.0	Local transmission	0.0							
							Belgium	239.0	39.0	0.0	0.0	Local transmission	0.0							
							Norway	192.0	23.0	0.0	0.0	Local transmission	0.0							
							Austria	131.0	19.0	0.0	0.0	Local transmission	0.0							
							Denmark	90.0	54.0	0.0	0.0	Local transmission	0.0							
							Greece	73.0	0.0	0.0	0.0	Local transmission	1.0							
							Iceland	55.0	0.0	0.0	0.0	Local transmission	2.0							
							San Marino	49.0	12.0	2.0	1.0	Local transmission	0.0							
							Finland	40.0	10.0	0.0	0.0	Local transmission	0.0							
							Israel	39.0	0.0	0.0	0.0	Local transmission	1.0							
							Czechia	38.0	6.0	0.0	0.0	Local transmission	0.0							
							Portugal	30.0	0.0	0.0	0.0	Local transmission	1.0							
							Ireland	24.0	3.0	0.0	0.0	Local transmission	0.0							
							Slovenia	23.0	7.0	0.0	0.0	Local transmission	0.0							
							Poland	16.0	5.0	0.0	0.0	Local transmission	0.0							
							Georgia	15.0	2.0	0.0	0.0	Imported cases only	0.0							
