Province/ Region/ City	Population (10,000s)	In last 24 hours	Unnamed: 3	Unnamed: 4	Unnamed: 5	Cumulative	Unnamed: 7	Unnamed: 8	Unnamed: 9	Slovakia	7	0	0.1	0.2	Local transmission	1
 	 	Confirmed cases	Suspected cases	Deaths	Confirmed cases	Deaths	 	 	 							
Hubei	5917.0	13	6	22	67773	3046	 	 	 							
Guangdong	11346.0	0	1	0	1353	8	 	 	 							
Henan	9605.0	0	0	0	1272	22	 	 	 							
Zhejiang	5737.0	0	0	0	1215	1	 	 	 							
Hunan	6899.0	0	0	0	1018	4	 	 	 							
Anhui	6324.0	0	0	0	990	6	 	 	 							
Jiangxi	4648.0	0	0	0	935	1	 	 	 							
Shandong	10047.0	1	0	0	759	6	 	 	 							
Jiangsu	8051.0	0	0	0	631	0	 	 	 							
Chongqing	3102.0	0	0	0	576	6	 	 	 							
Sichuan	8341.0	0	0	0	539	3	 	 	 							
Heilongjiang	3773.0	1	0	0	482	13	 	 	 							
Beijing	2154.0	6	2	0	435	8	 	 	 							
Shanghai	2424.0	2	18	0	344	3	 	 	 							
Hebei	7556.0	0	0	0	318	6	 	 	 							
Fujian	3941.0	0	0	0	296	1	 	 	 							
Guangxi	4926.0	0	0	0	252	2	 	 	 							
Shaanxi	3864.0	0	0	0	245	1	 	 	 							
Yunnan	4830.0	0	1	0	174	2	 	 	 							
Hainan	934.0	0	0	0	168	6	 	 	 							
Guizhou	3600.0	0	0	0	146	2	 	 	 							
Tianjin	1560.0	0	2	0	136	3	 	 	 							
Shanxi	3718.0	0	0	0	133	0	 	 	 							
Liaoning	4359.0	0	1	0	125	1	 	 	 							
Gansu	2637.0	1	0	0	125	2	 	 	 							
Hong Kong SAR	745.0	5	0	0	120	3	 	 	 							
Jilin	2704.0	0	0	0	93	1	 	 	 							
Xinjiang	2487.0	0	0	0	76	3	 	 	 							
Ningxia	688.0	0	0	0	75	0	 	 	 							
Inner Mongolia	2534.0	0	0	0	75	1	 	 	 							
Taipei and environs	2359.0	2	0	0	47	1	 	 	 							
Qinghai	603.0	0	0	0	18	0	 	 	 							
Macao SAR	66.0	0	0	0	10	0	 	 	 							
Xizang	344.0	0	0	0	1	0	 	 	 							
Total	142823.0	31	31	22	80955	3162	 	 	 							
Reporting Country/ Territory/Area†	Total confirmed‡ cases	Total confirmed new cases	Total deaths	Total new deaths	Transmission classification§	Days since last reported case	 	 	 							
Western Pacific Region	 	 	 	 	 	 	 	 	 							
Republic of Korea	7755	242	60	6	Local transmission	0	 	 	 							
Japan	568	54	12	3	Local transmission	0	 	 	 							
Singapore	166	6	0	0	Local transmission	0	 	 	 							
Malaysia	129	12	0	0	Local transmission	0	 	 	 							
Australia	112	20	3	0	Local transmission	0	 	 	 							
Philippines	49	16	1	0	Local transmission	0	 	 	 							
Viet Nam	35	4	0	0	Local transmission	0	 	 	 							
New Zealand	5	0	0	0	Local transmission	4	 	 	 							
Cambodia	3	1	0	0	Local transmission	0	 	 	 							
Brunei Darussalam	1	0	0	0	Imported cases only	1	 	 	 							
Mongolia	1	0	0	0	Imported cases only	1	 	 	 							
European Region	 	 	 	 	 	 	 	 	 							
Italy	10149	977	631	168	Local transmission	0	 	 	 							
