Province/ Region/ City	Population (10,000s)	In last 24 hours	Unnamed: 3	Unnamed: 4	Unnamed: 5	Cumulative	Unnamed: 7	Unnamed: 8	Unnamed: 9	Slovakia	10	3	0	0.1	Local transmission	0.2
 	 	Confirmed cases	Suspected cases	Deaths	Confirmed cases	Deaths	 	 	 							
Hubei	5917.0	8	2	10	67781	3056	 	 	 							
Guangdong	11346.0	3	1	0	1356	8	 	 	 							
Henan	9605.0	1	0	0	1273	22	 	 	 							
Zhejiang	5737.0	0	0	0	1215	1	 	 	 							
Hunan	6899.0	0	0	0	1018	4	 	 	 							
Anhui	6324.0	0	0	0	990	6	 	 	 							
Jiangxi	4648.0	0	0	0	935	1	 	 	 							
Shandong	10047.0	1	0	0	760	6	 	 	 							
Jiangsu	8051.0	0	0	0	631	0	 	 	 							
Chongqing	3102.0	0	0	0	576	6	 	 	 							
Sichuan	8341.0	0	0	0	539	3	 	 	 							
Heilongjiang	3773.0	0	0	0	482	13	 	 	 							
Beijing	2154.0	0	5	0	435	8	 	 	 							
Shanghai	2424.0	0	19	0	344	3	 	 	 							
Hebei	7556.0	0	0	0	318	6	 	 	 							
Fujian	3941.0	0	0	0	296	1	 	 	 							
Guangxi	4926.0	0	0	0	252	2	 	 	 							
Shaanxi	3864.0	0	0	1	245	2	 	 	 							
Yunnan	4830.0	0	1	0	174	2	 	 	 							
Hainan	934.0	0	1	0	168	6	 	 	 							
Guizhou	3600.0	0	0	0	146	2	 	 	 							
Tianjin	1560.0	0	4	0	136	3	 	 	 							
Shanxi	3718.0	0	0	0	133	0	 	 	 							
Hong Kong SAR	745.0	9	0	0	129	3	 	 	 							
Gansu	2637.0	2	0	0	127	2	 	 	 							
Liaoning	4359.0	0	0	0	125	1	 	 	 							
Jilin	2704.0	0	0	0	93	1	 	 	 							
Xinjiang	2487.0	0	0	0	76	3	 	 	 							
Ningxia	688.0	0	0	0	75	0	 	 	 							
Inner Mongolia	2534.0	0	0	0	75	1	 	 	 							
Taipei and environs	2359.0	2	0	0	49	1	 	 	 							
Qinghai	603.0	0	0	0	18	0	 	 	 							
Macao SAR	66.0	0	0	0	10	0	 	 	 							
Xizang	344.0	0	0	0	1	0	 	 	 							
Total	142823.0	26	33	11	80981	3173	 	 	 							
Reporting Country/ Territory/Area†	Total confirmed ‡ cases	Total confirmed new cases	Total deaths	Total new deaths	Transmission classification§	Days since last reported case	 	 	 							
Western Pacific Region	 	 	 	 	 	 	 	 	 							
Republic of Korea	7869	114	66	6	Local transmission	0	 	 	 							
Japan	620	52	15	3	Local transmission	0	 	 	 							
Singapore	178	12	0	0	Local transmission	0	 	 	 							
Malaysia	129	0	0	0	Local transmission	1	 	 	 							
Australia	122	10	3	0	Local transmission	0	 	 	 							
Philippines	52	3	2	1	Local transmission	0	 	 	 							
Viet Nam	39	4	0	0	Local transmission	0	 	 	 							
Brunei Darussalam	12	11	0	0	Local transmission	0	 	 	 							
New Zealand	5	0	0	0	Local transmission	5	 	 	 							
Cambodia	3	0	0	0	Local transmission	1	 	 	 							
Mongolia	1	0	0	0	Imported cases only	2	 	 	 							
Territories**	 	 	 	 	 	 	 	 	 							
French Polynesia	1	1	0	0	Imported cases only	0	 	 	 							
European Region	 	 	 	 	 	 	 	 	 							
Italy	12462	2313	827	196	Local transmission	0	 	 	 							
France	2269	495	48	15	Local transmission	0	 	 	 							
Spain	2140	501	48	12	Local transmission	0	 	 	 							
Germany	1567	271	3	1	Local transmission	0	 	 	 							
Switzerland	645	154	4	1	Local transmission	0	 	 	 							
Denmark	615	353	0	0	Local transmission	0	 	 	 							
Netherlands	503	121	5	1	Local transmission	0	 	 	 							
Sweden	461	135	0	0	Local transmission	0	 	 	 							
The United Kingdom	460	87	6	0	Local transmission	0	 	 	 							
Belgium	314	47	0	0	Local transmission	0	 	 	 							
Austria	302	120	0	0	Local transmission	0	 	 	 							
Norway	489	212	0	0	Local transmission	0	 	 	 							
Greece	98	9	1	1	Local transmission	0	 	 	 							
Czechia	94	33	0	0	Local transmission	0	 	 	 							
Israel	75	0	0	0	Local transmission	1	 	 	 							
San Marino	63	0	2	0	Local transmission	1	 	 	 							
Iceland	61	0	0	0	Local transmission	2	 	 	 							
Slovenia	57	26	0	0	Local transmission	0	 	 	 							
Romania	48	23	0	0	Local transmission	0	 	 	 							
Poland	44	22	0	0	Local transmission	0	 	 	 							
Ireland	43	9	1	1	Local transmission	0	 	 	 							
Portugal	41	0	0	0	Local transmission	1	 	 	 							
Finland	40	0	0	0	Local transmission	2	 	 	 							
Georgia	23	0	0	0	Imported cases only	1	 	 	 							
Russian Federation	20	13	0	0	Imported cases only	0	 	 	 							
Serbia	19	7	0	0	Local transmission	0	 	 	 							
Luxembourg	17	12	0	0	Local transmission	0	 	 	 							
Croatia	16	0	0	0	Local transmission	1	 	 	 							
Latvia	16	8	0	0	Imported cases only	0	 	 	 							
Estonia	13	0	0	0	Imported cases only	1	 	 	 							
Hungary	13	0	0	0	Local transmission	1	 	 	 							
Belarus	12	3	0	0	Local transmission	0	 	 	 							
Albania	10	0	0	0	Local transmission	1	 	 	 							
										Azerbaijan	9.0	0.0	0.0	0.0	Imported cases only	5.0
										Bulgaria	7.0	1.0	1.0	1.0	Local transmission	0.0
										North Macedonia	7.0	0.0	0.0	0.0	Local transmission	2.0
										Cyprus	6.0	4.0	0.0	0.0	Imported cases only	0.0
										Malta	6.0	2.0	0.0	0.0	Imported cases only	0.0
										Bosnia and Herzegovina	4.0	0.0	0.0	0.0	Local transmission	1.0
										Republic of Moldova	4.0	1.0	0.0	0.0	Imported cases only	0.0
										Lithuania	3.0	2.0	0.0	0.0	Imported cases only	0.0
										Andorra	1.0	0.0	0.0	0.0	Imported cases only	9.0
										Armenia	1.0	0.0	0.0	0.0	Imported cases only	10.0
										Holy See	1.0	0.0	0.0	0.0	Under investigation	6.0
										Liechtenstein	1.0	0.0	0.0	0.0	Imported cases only	6.0
										Monaco	1.0	0.0	0.0	0.0	Under investigation	11.0
										Turkey	1.0	1.0	0.0	0.0	Imported cases only	0.0
										Ukraine	1.0	0.0	0.0	0.0	Imported cases only	8.0
										Territories**	 	 	 	 	 	 
										Faroe Islands	2.0	0.0	0.0	0.0	Imported cases only	3.0
										Gibraltar	1.0	0.0	0.0	0.0	Under investigation	8.0
										Guernsey	1.0	0.0	0.0	0.0	Imported cases only	2.0
										South-East Asia Region	 	 	 	 	 	 
										India	73.0	13.0	0.0	0.0	Local transmission	0.0
										Thailand	70.0	11.0	1.0	0.0	Local transmission	0.0
										Indonesia	34.0	7.0	1.0	0.0	Local transmission	0.0
										Maldives	8.0	0.0	0.0	0.0	Local transmission	1.0
										Bangladesh	3.0	0.0	0.0	0.0	Local transmission	3.0
										Sri Lanka	2.0	1.0	0.0	0.0	Imported cases only	0.0
										Bhutan	1.0	0.0	0.0	0.0	Imported cases only	6.0
										Nepal	1.0	0.0	0.0	0.0	Imported cases only	48.0
										Eastern Mediterranean Region	 	 	 	 	 	 
										Iran (Islamic Republic of)	9000.0	958.0	354.0	63.0	Local transmission	0.0
										Qatar	262.0	238.0	0.0	0.0	Local transmission	0.0
										Bahrain	189.0	79.0	0.0	0.0	Local transmission	0.0
										Kuwait	80.0	11.0	0.0	0.0	Local transmission	0.0
										United Arab Emirates	74.0	0.0	0.0	0.0	Local transmission	1.0
										Iraq	70.0	9.0	7.0	1.0	Local transmission	0.0
										Egypt	67.0	8.0	1.0	0.0	Local transmission	0.0
										Lebanon	66.0	25.0	3.0	2.0	Local transmission	0.0
										Saudi Arabia	21.0	1.0	0.0	0.0	Local transmission	0.0
										Pakistan	19.0	3.0	0.0	0.0	Imported cases only	0.0
										Oman	18.0	0.0	0.0	0.0	Imported cases only	2.0
										Afghanistan	7.0	3.0	0.0	0.0	Imported cases only	0.0
										Tunisia	6.0	0.0	0.0	0.0	Local transmission	1.0
										Morocco	5.0	2.0	1.0	0.0	Local transmission	0.0
										Jordan	1.0	0.0	0.0	0.0	Imported cases only	9.0
										Territories**	 	 	 	 	 	 
										occupied Palestinian territory	30.0	0.0	0.0	0.0	Local transmission	1.0
										Region of the Americas	 	 	 	 	 	 
										United States of America	987.0	291.0	29.0	4.0	Local transmission	0.0
										Canada	93.0	0.0	1.0	0.0	Local transmission	1.0
										Brazil	52.0	18.0	0.0	0.0	Local transmission	0.0
										Chile	23.0	6.0	0.0	0.0	Local transmission	0.0
										Argentina	19.0	2.0	1.0	0.0	Imported cases only	0.0
										Ecuador	17.0	2.0	0.0	0.0	Local transmission	0.0
										Peru	17.0	6.0	0.0	0.0	Local transmission	0.0
										Costa Rica	13.0	0.0	0.0	0.0	Local transmission	1.0
										Mexico	11.0	4.0	0.0	0.0	Imported cases only	0.0
										Panama	10.0	2.0	1.0	0.0	Local transmission	0.0
										Colombia	9.0	6.0	0.0	0.0	Imported cases only	0.0
										Dominican Republic	5.0	0.0	0.0	0.0	Imported cases only	2.0
										Paraguay	5.0	0.0	0.0	0.0	Local transmission	1.0
										Bolivia (Plurinational State of)	2.0	0.0	0.0	0.0	Imported cases only	1.0
										Honduras	2.0	2.0	0.0	0.0	Imported cases only	0.0
										Jamaica	1.0	0.0	0.0	0.0	Imported cases only	1.0
										Territories**	 	 	 	 	 	 
										French Guiana	5.0	0.0	0.0	0.0	Imported cases only	4.0
										Martinique	3.0	0.0	0.0	0.0	Imported cases only	1.0
										Saint Martin	2.0	0.0	0.0	0.0	Under investigation	9.0
										Saint Barthelemy	1.0	0.0	0.0	0.0	Under investigation	9.0
										African Region	 	 	 	 	 	 
										Algeria	25.0	5.0	1.0	1.0	Local transmission	0.0
										South Africa	13.0	6.0	0.0	0.0	Imported cases only	0.0
										Senegal	4.0	0.0	0.0	0.0	Imported cases only	7.0
										Burkina Faso	2.0	0.0	0.0	0.0	Imported cases only	1.0
										Cameroon	2.0	0.0	0.0	0.0	Local transmission	5.0
										Nigeria	2.0	0.0	0.0	0.0	Imported cases only	3.0
										Côte d’Ivoire	1.0	1.0	0.0	0.0	Imported cases only	0.0
										Democratic Republic of the Congo	1.0	0.0	0.0	0.0	Imported cases only	1.0
										Togo	1.0	0.0	0.0	0.0	Imported cases only	5.0
										Subtotal for all regions	43583.0	6915.0	1433.0	310.0	 	 
										International conveyance (Diamond Princess)	696.0	0.0	7.0	0.0	Local transmission	4.0
										Grand total	44279.0	6915.0	1440.0	310.0	 	 
