Province/ Region/ City	Population (10,000s)	In last 24 hours	Unnamed: 3	Unnamed: 4	Unnamed: 5	Cumulative	Unnamed: 7	Unnamed: 8	Unnamed: 9	Belarus	12	0	0.1	0.2	Local transmission	1
 	 	Confirmed cases	Suspected cases	Deaths	Confirmed cases	Deaths	 	 	 							
Hubei	5917.0	5	1	6	67786	3062	 	 	 							
Guangdong	11346.0	0	0	0	1356	8	 	 	 							
Henan	9605.0	0	0	0	1273	22	 	 	 							
Zhejiang	5737.0	0	0	0	1215	1	 	 	 							
Hunan	6899.0	0	0	0	1018	4	 	 	 							
Anhui	6324.0	0	0	0	990	6	 	 	 							
Jiangxi	4648.0	0	0	0	935	1	 	 	 							
Shandong	10047.0	0	0	1	760	7	 	 	 							
Jiangsu	8051.0	0	0	0	631	0	 	 	 							
Chongqing	3102.0	0	0	0	576	6	 	 	 							
Sichuan	8341.0	0	0	0	539	3	 	 	 							
Heilongjiang	3773.0	0	0	0	482	13	 	 	 							
Beijing	2154.0	1	9	0	436	8	 	 	 							
Shanghai	2424.0	2	23	0	346	3	 	 	 							
Hebei	7556.0	0	0	0	318	6	 	 	 							
Fujian	3941.0	0	0	0	296	1	 	 	 							
Guangxi	4926.0	0	0	0	252	2	 	 	 							
Shaanxi	3864.0	0	0	0	245	2	 	 	 							
Yunnan	4830.0	0	0	0	174	2	 	 	 							
Hainan	934.0	0	0	0	168	6	 	 	 							
Guizhou	3600.0	0	0	0	146	2	 	 	 							
Tianjin	1560.0	0	0	0	136	3	 	 	 							
Shanxi	3718.0	0	0	0	133	0	 	 	 							
Hong Kong SAR	745.0	2	0	0	131	3	 	 	 							
Gansu	2637.0	0	0	0	127	2	 	 	 							
Liaoning	4359.0	0	0	0	125	1	 	 	 							
Jilin	2704.0	0	0	0	93	1	 	 	 							
Xinjiang	2487.0	0	0	0	76	3	 	 	 							
Ningxia	688.0	0	0	0	75	0	 	 	 							
Inner Mongolia	2534.0	0	0	0	75	1	 	 	 							
Taipei and environs	2359.0	1	0	0	49	1	 	 	 							
Qinghai	603.0	0	0	0	18	0	 	 	 							
Macao SAR	66.0	0	0	0	10	0	 	 	 							
Xizang	344.0	0	0	0	1	0	 	 	 							
Total	142823.0	11	33	7	80991	3180	 	 	 							
Reporting Country/ Territory/Area†	Total confirmed ‡ cases	Total confirmed new cases	Total deaths	Total new deaths	Transmission classification§	Days since last reported case	 	 	 							
Western Pacific Region	 	 	 	 	 	 	 	 	 							
Republic of Korea	7979	110	66	0	Local transmission	0	 	 	 							
Japan	675	55	19	4	Local transmission	0	 	 	 							
Singapore	187	9	0	0	Local transmission	0	 	 	 							
Australia	140	18	3	0	Local transmission	0	 	 	 							
Malaysia	129	0	0	0	Local transmission	2	 	 	 							
Philippines	52	0	2	0	Local transmission	1	 	 	 							
Viet Nam	39	0	0	0	Local transmission	1	 	 	 							
Brunei Darussalam	12	0	0	0	Imported cases only	1	 	 	 							
Cambodia	5	2	0	0	Local transmission	0	 	 	 							
New Zealand	5	0	0	0	Local transmission	6	 	 	 							
Mongolia	1	0	0	0	Imported cases only	3	 	 	 							
Territories**	 	 	 	 	 	 	 	 	 							
French Polynesia	1	0	0	0	Imported cases only	1	 	 	 							
European Region	 	 	 	 	 	 	 	 	 							
Italy	15113	2651	1016	189	Local transmission	0	 	 	 							
Spain	2965	825	84	36	Local transmission	0	 	 	 							
France	2860	591	61	13	Local transmission	0	 	 	 							
Germany	2369	802	6	3	Local transmission	0	 	 	 							
Switzerland	858	213	6	2	Local transmission	0	 	 	 							
Denmark	674	59	0	0	Local transmission	0	 	 	 							
Sweden	620	159	0	0	Local transmission	0	 	 	 							
Netherlands	614	111	5	0	Local transmission	0	 	 	 							
The United Kingdom	594	134	8	2	Local transmission	0	 	 	 							
Austria	361	59	1	1	Local transmission	0	 	 	 							
Belgium	314	0	0	0	Local transmission	1	 	 	 							
Norway	489	0	0	0	Local transmission	1	 	 	 							
Czechia	116	22	0	0	Local transmission	0	 	 	 							
Finland	109	69	0	0	Local transmission	0	 	 	 							
Greece	98	0	1	0	Local transmission	1	 	 	 							
Israel	75	0	0	0	Local transmission	2	 	 	 							
Ireland	70	27	1	0	Local transmission	0	 	 	 							
San Marino	63	0	2	0	Local transmission	2	 	 	 							
Iceland	61	0	0	0	Local transmission	3	 	 	 							
Slovenia	57	0	0	0	Local transmission	1	 	 	 							
Poland	49	5	1	1	Local transmission	0	 	 	 							
Romania	48	0	0	0	Local transmission	1	 	 	 							
Portugal	41	0	0	0	Local transmission	2	 	 	 							
Russian Federation	34	14	0	0	Imported cases only	0	 	 	 							
Georgia	25	2	0	0	Imported cases only	0	 	 	 							
Albania	23	13	0	0	Imported cases only	0	 	 	 							
Slovakia	21	11	0	0	Local transmission	0	 	 	 							
Serbia	19	0	0	0	Under investigation	1	 	 	 							
Luxembourg	17	0	0	0	Imported cases only	1	 	 	 							
Croatia	16	0	0	0	Local transmission	2	 	 	 							
Hungary	16	3	0	0	Local transmission	0	 	 	 							
Latvia	16	0	0	0	Imported cases only	1	 	 	 							
Estonia	13	0	0	0	Imported cases only	2	 	 	 							
										Azerbaijan	11.0	2.0	0.0	0.0	Imported cases only	0.0
										Malta	9.0	3.0	0.0	0.0	Imported cases only	0.0
										Bulgaria	7.0	0.0	1.0	0.0	Local transmission	1.0
										North Macedonia	7.0	0.0	0.0	0.0	Local transmission	3.0
										Cyprus	6.0	0.0	0.0	0.0	Imported cases only	1.0
										Bosnia and Herzegovina	4.0	0.0	0.0	0.0	Local transmission	2.0
										Liechtenstein	4.0	3.0	0.0	0.0	Imported cases only	0.0
										Republic of Moldova	4.0	0.0	0.0	0.0	Imported cases only	1.0
										Lithuania	3.0	0.0	0.0	0.0	Imported cases only	1.0
										Ukraine	3.0	2.0	0.0	0.0	Imported cases only	0.0
										Andorra	1.0	0.0	0.0	0.0	Imported cases only	10.0
										Armenia	1.0	0.0	0.0	0.0	Imported cases only	11.0
										Holy See	1.0	0.0	0.0	0.0	Under investigation	7.0
										Monaco	1.0	0.0	0.0	0.0	Under investigation	12.0
										Turkey	1.0	0.0	0.0	0.0	Imported cases only	1.0
										Territories**	 	 	 	 	 	 
										Faroe Islands	2.0	0.0	0.0	0.0	Imported cases only	4.0
										Gibraltar	1.0	0.0	0.0	0.0	Under investigation	9.0
										Guernsey	1.0	0.0	0.0	0.0	Imported cases only	3.0
										Jersey	2.0	2.0	0.0	0.0	Imported cases only	0.0
										South-East Asia Region	 	 	 	 	 	 
										Thailand	75.0	5.0	1.0	0.0	Local transmission	0.0
										India	74.0	1.0	1.0	1.0	Local transmission	0.0
										Indonesia	34.0	0.0	1.0	0.0	Local transmission	1.0
										Maldives	8.0	0.0	0.0	0.0	Local transmission	2.0
										Bangladesh	3.0	0.0	0.0	0.0	Local transmission	4.0
										Sri Lanka	3.0	1.0	0.0	0.0	Imported cases only	0.0
										Bhutan	1.0	0.0	0.0	0.0	Imported cases only	7.0
										Nepal	1.0	0.0	0.0	0.0	Imported cases only	49.0
										Territories**	 	 	 	 	 	 
										Réunion	3.0	3.0	0.0	0.0	Imported cases only	0.0
										Eastern Mediterranean Region	 	 	 	 	 	 
										Iran (Islamic Republic of)	10075.0	1075.0	429.0	75.0	Local transmission	0.0
										Qatar	262.0	0.0	0.0	0.0	Imported cases only	1.0
										Bahrain	195.0	6.0	0.0	0.0	Local transmission	0.0
										United Arab Emirates	85.0	11.0	0.0	0.0	Local transmission	0.0
										Kuwait	80.0	0.0	0.0	0.0	Imported cases only	1.0
										Iraq	70.0	0.0	7.0	0.0	Local transmission	1.0
										Egypt	67.0	0.0	1.0	0.0	Local transmission	1.0
										Lebanon	66.0	0.0	3.0	0.0	Local transmission	1.0
										Saudi Arabia	21.0	0.0	0.0	0.0	Imported cases only	1.0
										Pakistan	20.0	1.0	0.0	0.0	Local transmission	0.0
										Oman	18.0	0.0	0.0	0.0	Imported cases only	3.0
										Afghanistan	7.0	0.0	0.0	0.0	Imported cases only	1.0
										Tunisia	7.0	1.0	0.0	0.0	Imported cases only	0.0
										Morocco	6.0	1.0	1.0	0.0	Imported cases only	0.0
										Jordan	1.0	0.0	0.0	0.0	Imported cases only	10.0
										Territories**	 	 	 	 	 	 
										occupied Palestinian territory	31.0	1.0	0.0	0.0	Local transmission	0.0
										Region of the Americas	 	 	 	 	 	 
										United States of America	1264.0	277.0	36.0	7.0	Local transmission	0.0
										Canada	138.0	45.0	1.0	0.0	Local transmission	0.0
										Brazil	77.0	25.0	0.0	0.0	Local transmission	0.0
										Chile	33.0	10.0	0.0	0.0	Local transmission	0.0
										Argentina	31.0	12.0	1.0	0.0	Imported cases only	0.0
										Costa Rica	22.0	9.0	0.0	0.0	Local transmission	0.0
										Peru	22.0	5.0	0.0	0.0	Local transmission	0.0
										Ecuador	17.0	0.0	0.0	0.0	Local transmission	1.0
										Panama	14.0	4.0	1.0	0.0	Imported cases only	0.0
										Mexico	12.0	1.0	0.0	0.0	Imported cases only	0.0
										Colombia	9.0	0.0	0.0	0.0	Imported cases only	1.0
										Dominican Republic	5.0	0.0	0.0	0.0	Imported cases only	3.0
