Province/ Region/ City	Population (10,000s)	In last 24 hours	Unnamed: 3	Unnamed: 4	Unnamed: 5	Cumulative	Unnamed: 7	Unnamed: 8	Unnamed: 9	Cyprus	14	8	0	0.1	Imported cases only	0.2	(Diamond Princess)	Unnamed: 1	Unnamed: 2	Unnamed: 6
 	 	Confirmed cases	Suspected cases	Deaths	Confirmed cases	Deaths	 	 	 											
Hubei	5917.0	4	0	13	67790	3075	 	 	 											
Guangdong	11346.0	0	0	0	1356	8	 	 	 											
Henan	9605.0	0	0	0	1273	22	 	 	 											
Zhejiang	5737.0	0	0	0	1227	1	 	 	 											
Hunan	6899.0	0	0	0	1018	4	 	 	 											
Anhui	6324.0	0	0	0	990	6	 	 	 											
Jiangxi	4648.0	0	0	0	935	1	 	 	 											
Shandong	10047.0	0	0	0	760	7	 	 	 											
Jiangsu	8051.0	0	0	0	631	0	 	 	 											
Chongqing	3102.0	0	0	0	576	6	 	 	 											
Sichuan	8341.0	0	0	0	539	3	 	 	 											
Heilongjiang	3773.0	0	0	0	482	13	 	 	 											
Beijing	2154.0	1	5	0	437	8	 	 	 											
Shanghai	2424.0	4	11	0	350	3	 	 	 											
Hebei	7556.0	0	0	0	318	6	 	 	 											
Fujian	3941.0	0	0	0	296	1	 	 	 											
Guangxi	4926.0	0	0	0	252	2	 	 	 											
Shaanxi	3864.0	0	0	0	245	2	 	 	 											
Yunnan	4830.0	0	0	0	174	2	 	 	 											
Hainan	934.0	0	0	0	168	6	 	 	 											
Guizhou	3600.0	0	0	0	146	2	 	 	 											
Hong Kong SAR	745.0	6	0	1	137	4	 	 	 											
Tianjin	1560.0	0	1	0	136	3	 	 	 											
Shanxi	3718.0	0	0	0	133	0	 	 	 											
Gansu	2637.0	2	0	0	129	2	 	 	 											
Liaoning	4359.0	0	0	0	125	1	 	 	 											
Jilin	2704.0	0	0	0	93	1	 	 	 											
Xinjiang	2487.0	0	0	0	76	3	 	 	 											
Ningxia	688.0	0	0	0	75	0	 	 	 											
Inner Mongolia	2534.0	0	0	0	75	1	 	 	 											
Taipei and environs	2359.0	1	0	0	50	1	 	 	 											
Qinghai	603.0	0	0	0	18	0	 	 	 											
Macao SAR	66.0	0	0	0	10	0	 	 	 											
Xizang	344.0	0	0	0	1	0	 	 	 											
