Province/ Region/ City	Population (10,000s)	In last 24 hours	Unnamed: 3	Unnamed: 4	Unnamed: 5	Cumulative	Unnamed: 7	Unnamed: 8	Unnamed: 9	Belarus	21	0	0.1	0.2	Local transmission	1	Kenya	Imported cases only	1.1
 	 	Confirmed cases	Suspected cases	Deaths	Confirmed cases	Deaths	 	 	 										
Hubei	5917.0	4	1	10	67794	3085	 	 	 										
Guangdong	11346.0	1	1	0	1357	8	 	 	 										
Henan	9605.0	0	0	0	1273	22	 	 	 										
Zhejiang	5737.0	4	2	0	1231	1	 	 	 										
Hunan	6899.0	0	0	0	1018	4	 	 	 										
Anhui	6324.0	0	0	0	990	6	 	 	 										
Jiangxi	4648.0	0	0	0	935	1	 	 	 										
Shandong	10047.0	0	0	0	760	7	 	 	 										
Jiangsu	8051.0	0	1	0	631	0	 	 	 										
Chongqing	3102.0	0	0	0	576	6	 	 	 										
Sichuan	8341.0	0	0	0	539	3	 	 	 										
Heilongjiang	3773.0	0	0	0	482	13	 	 	 										
Beijing	2154.0	5	9	0	442	8	 	 	 										
Shanghai	2424.0	3	24	0	353	3	 	 	 										
Hebei	7556.0	0	0	0	318	6	 	 	 										
Fujian	3941.0	0	0	0	296	1	 	 	 										
Guangxi	4926.0	0	0	0	252	2	 	 	 										
Shaanxi	3864.0	0	0	0	245	2	 	 	 										
Yunnan	4830.0	0	0	0	174	2	 	 	 										
Hainan	934.0	0	0	0	168	6	 	 	 										
Guizhou	3600.0	0	0	0	146	2	 	 	 										
Hong Kong SAR	745.0	4	0	0	141	4	 	 	 										
Tianjin	1560.0	0	1	0	136	3	 	 	 										
Shanxi	3718.0	0	0	0	133	0	 	 	 										
Gansu	2637.0	3	0	0	132	2	 	 	 										
Liaoning	4359.0	0	0	0	125	1	 	 	 										
Jilin	2704.0	0	0	0	93	1	 	 	 										
Xinjiang	2487.0	0	0	0	76	3	 	 	 										
Ningxia	688.0	0	0	0	75	0	 	 	 										
Inner Mongolia	2534.0	0	0	0	75	1	 	 	 										
Taipei and environs	2359.0	3	0	0	53	1	 	 	 										
Qinghai	603.0	0	0	0	18	0	 	 	 										
Macao SAR	66.0	0	0	0	10	0	 	 	 										
Xizang	344.0	0	0	0	1	0	 	 	 										
Total	142823.0	27	39	10	81048	3204	 	 	 										
Reporting Country/ Territory/Area†	Total confirmed ‡ cases	Total confirmed new cases1	Total deaths	Total new deaths1	Transmission classification§	Days since last reported case	 	 	 										
Western Pacific Region	 	 	 	 	 	 	 	 	 										
Republic of Korea	8162	76	75	3	Local transmission	0	 	 	 										
Japan	780	64	22	1	Local transmission	0	 	 	 										
Australia	249	52	3	0	Local transmission	0	 	 	 										
Malaysia	238	41	0	0	Local transmission	0	 	 	 										
Singapore	212	12	0	0	Local transmission	0	 	 	 										
Philippines	111	47	6	4	Local transmission	0	 	 	 										
Viet Nam	53	5	0	0	Local transmission	0	 	 	 										
Brunei Darussalam	40	15	0	0	Local transmission	0	 	 	 										
Cambodia	7	0	0	0	Local transmission	1	 	 	 										
New Zealand	6	0	0	0	Local transmission	1	 	 	 										
Mongolia	1	0	0	0	Imported cases only	5	 	 	 										
Territories**	 	 	 	 	 	 	 	 	 										
French Polynesia	3	2	0	0	Imported cases only	0	 	 	 										
European Region	 	 	 	 	 	 	 	 	 										
Italy	21157	3497	1441	173	Local transmission	0	 	 	 										
Spain	5753	1522	136	16	Local transmission	0	 	 	 										
France	4469	829	91	12	Local transmission	0	 	 	 										
Germany	3795	733	8	2	Local transmission	0	 	 	 										
Switzerland	1359	234	11	5	Local transmission	0	 	 	 										
The United Kingdom	1144	342	21	11	Local transmission	0	 	 	 										
Netherlands	959	155	12	2	Local transmission	0	 	 	 										
Sweden	924	149	0	0	Local transmission	0	 	 	 										
Norway	907	157	1	0	Local transmission	0	 	 	 										
Denmark	827	26	0	0	Local transmission	0	 	 	 										
Austria	800	296	1	0	Local transmission	0	 	 	 										
Belgium	689	90	0	0	Local transmission	0	 	 	 										
Greece	228	130	2	1	Local transmission	0	 	 	 										
Czechia	214	64	0	0	Local transmission	0	 	 	 										
Finland	210	101	0	0	Local transmission	0	 	 	 										
Israel	178	78	0	0	Local transmission	0	 	 	 										
Slovenia	141	0	0	0	Local transmission	1	 	 	 										
Iceland	138	77	0	0	Local transmission	0	 	 	 										
Ireland	129	39	2	1	Local transmission	0	 	 	 										
Romania	123	59	0	0	Local transmission	0	 	 	 										
Portugal	112	0	0	0	Local transmission	1	 	 	 										
Poland	111	47	3	2	Local transmission	0	 	 	 										
San Marino	92	26	5	3	Local transmission	0	 	 	 										
Estonia	79	0	0	0	Local transmission	1	 	 	 										
Slovakia	44	14	0	0	Local transmission	0	 	 	 										
Bulgaria	43	36	2	1	Local transmission	0	 	 	 										
Serbia	41	10	0	0	Local transmission	0	 	 	 										
Albania	38	5	1	0	Local transmission	0	 	 	 										
Luxembourg	38	0	1	0	Local transmission	1	 	 	 										
Croatia	37	10	0	0	Local transmission	0	 	 	 										
Russian Federation	34	0	0	0	Imported cases only	2	 	 	 										
Hungary	32	13	0	0	Local transmission	0	 	 	 										
Georgia	30	5	0	0	Imported cases only	0	 	 	 										
Latvia	30	14	0	0	Imported cases only	0	 	 	 										
										Cyprus	21.0	7.0	0.0	0.0	Imported cases only	0.0			
										Azerbaijan	19.0	8.0	0.0	0.0	Imported cases only	0.0			
										Bosnia and Herzegovina	18.0	7.0	0.0	0.0	Local transmission	0.0			
										North Macedonia	13.0	4.0	0.0	0.0	Local transmission	0.0			
										Malta	12.0	0.0	0.0	0.0	Imported cases only	2.0			
										Republic of Moldova	12.0	4.0	0.0	0.0	Imported cases only	0.0			
										Lithuania	9.0	3.0	0.0	0.0	Imported cases only	0.0			
										Armenia	8.0	0.0	0.0	0.0	Local transmission	1.0			
										Kazakhstan	6.0	6.0	0.0	0.0	Imported cases only	0.0			
										Turkey	5.0	0.0	0.0	0.0	Imported cases only	1.0			
										Liechtenstein	4.0	0.0	0.0	0.0	Imported cases only	2.0			
										Ukraine	3.0	0.0	1.0	0.0	Local transmission	1.0			
										Andorra	2.0	0.0	0.0	0.0	Imported cases only	1.0			
										Monaco	2.0	0.0	0.0	0.0	Under investigation	1.0			
										Holy See	1.0	0.0	0.0	0.0	Under investigation	9.0			
										Territories**	 	 	 	 	 	 			
										Faroe Islands	9.0	6.0	0.0	0.0	Imported cases only	0.0			
										Gibraltar	1.0	0.0	0.0	0.0	Under investigation	11.0			
										Guernsey	1.0	0.0	0.0	0.0	Imported cases only	5.0			
										Jersey	2.0	0.0	0.0	0.0	Imported cases only	2.0			
										South-East Asia Region	 	 	 	 	 	 			
										Indonesia	117.0	48.0	4.0	1.0	Local transmission	0.0			
										India	107.0	25.0	2.0	0.0	Local transmission	0.0			
										Thailand	75.0	0.0	1.0	0.0	Local transmission	2.0			
										Sri Lanka	11.0	5.0	0.0	0.0	Local transmission	0.0			
										Maldives	10.0	1.0	0.0	0.0	Local transmission	0.0			
										Bangladesh	3.0	0.0	0.0	0.0	Local transmission	6.0			
										Bhutan	1.0	0.0	0.0	0.0	Imported cases only	9.0			
										Nepal	1.0	0.0	0.0	0.0	Imported cases only	51.0			
										Eastern Mediterranean Region	 	 	 	 	 	 			
										Iran (Islamic Republic of)	12729.0	1365.0	608.0	94.0	Local transmission	0.0			
										Qatar	337.0	75.0	0.0	0.0	Local transmission	0.0			
										Bahrain	211.0	1.0	0.0	0.0	Local transmission	0.0			
										Kuwait	112.0	12.0	0.0	0.0	Local transmission	0.0			
										Saudi Arabia	103.0	41.0	0.0	0.0	Local transmission	0.0			
										Egypt	93.0	0.0	2.0	0.0	Local transmission	1.0			
										Iraq	93.0	0.0	9.0	0.0	Local transmission	1.0			
										Lebanon	93.0	16.0	3.0	0.0	Local transmission	0.0			
										United Arab Emirates	85.0	0.0	0.0	0.0	Local transmission	2.0			
										Pakistan	28.0	7.0	0.0	0.0	Imported cases only	0.0			
										Oman	20.0	1.0	0.0	0.0	Imported cases only	0.0			
										Morocco	18.0	11.0	1.0	0.0	Local transmission	0.0			
										Tunisia	16.0	0.0	0.0	0.0	Local transmission	1.0			
										Afghanistan	10.0	3.0	0.0	0.0	Imported cases only	0.0			
										Jordan	1.0	0.0	0.0	0.0	Imported cases only	12.0			
										Sudan	1.0	0.0	0.0	0.0	Imported cases only	1.0			
										Territories**	 	 	 	 	 	 			
										occupied Palestinian territory	38.0	3.0	0.0	0.0	Local transmission	1.0			
										Region of the Americas	 	 	 	 	 	 			
										United States of	1678.0	0.0	41.0	0.0	Local transmission	1.0			
										America	 	 	 	 	 	 			
										Canada	244.0	68.0	1.0	0.0	Local transmission	0.0			
