Reporting Country/ Territory/Area†	Total confirmed ‡ cases	Total confirmed new cases1	Total deaths	Total new deaths1	Transmission classification§	Days since last reported case	occupied Palestinian territory	38	0	0.1	0.2	Local transmission	2
Western Pacific Region	 	 	 	 	 	 							
China	81077.0	29.0	3218.0	14.0	Local Transmission	0.0							
Republic of Korea	8236.0	74.0	75.0	0.0	Local transmission	0.0							
Japan	814.0	34.0	24.0	2.0	Local transmission	0.0							
Malaysia	553.0	315.0	0.0	0.0	Local transmission	0.0							
Australia	298.0	0.0	5.0	0.0	Local transmission	1.0							
Singapore	243.0	31.0	0.0	0.0	Local transmission	0.0							
Philippines	140.0	0.0	12.0	0.0	Local transmission	1.0							
Viet Nam	57.0	4.0	0.0	0.0	Local transmission	0.0							
Brunei Darussalam	50.0	10.0	0.0	0.0	Local transmission	0.0							
Cambodia	12.0	0.0	0.0	0.0	Local transmission	1.0							
New Zealand	6.0	0.0	0.0	0.0	Local transmission	2.0							
Mongolia	1.0	0.0	0.0	0.0	Imported cases only	6.0							
Territories**	 	 	 	 	 	 							
French Polynesia	3.0	0.0	0.0	0.0	Imported cases only	1.0							
European Region	 	 	 	 	 	 							
Italy	24747.0	3590.0	1809.0	368.0	Local transmission	0.0							
Spain	7753.0	2000.0	288.0	152.0	Local transmission	0.0							
France	5380.0	911.0	127.0	36.0	Local transmission	0.0							
Germany	4838.0	1043.0	12.0	4.0	Local transmission	0.0							
Switzerland	2200.0	841.0	13.0	2.0	Local transmission	0.0							
The United Kingdom	1395.0	251.0	35.0	14.0	Local transmission	0.0							
Netherlands	1135.0	176.0	20.0	8.0	Local transmission	0.0							
Belgium	1085.0	396.0	5.0	5.0	Local transmission	0.0							
Norway	1077.0	170.0	1.0	0.0	Local transmission	0.0							
Sweden	992.0	68.0	3.0	3.0	Local transmission	0.0							
Austria	959.0	159.0	1.0	0.0	Local transmission	0.0							
Denmark	898.0	71.0	1.0	1.0	Local transmission	0.0							
Greece	331.0	103.0	4.0	2.0	Local transmission	0.0							
Czechia	298.0	84.0	0.0	0.0	Local transmission	0.0							
Finland	267.0	57.0	0.0	0.0	Local transmission	0.0							
Portugal	245.0	133.0	0.0	0.0	Local transmission	0.0							
Slovenia	219.0	78.0	0.0	0.0	Local transmission	0.0							
Estonia	205.0	126.0	0.0	0.0	Local transmission	0.0							
Israel	200.0	22.0	0.0	0.0	Local transmission	0.0							
Ireland	169.0	40.0	2.0	0.0	Local transmission	0.0							
Romania	158.0	35.0	0.0	0.0	Local transmission	0.0							
Poland	150.0	39.0	3.0	0.0	Local transmission	0.0							
Iceland	138.0	0.0	0.0	0.0	Local transmission	1.0							
San Marino	92.0	0.0	5.0	0.0	Local transmission	1.0							
Russian Federation	63.0	29.0	0.0	0.0	Imported cases only	0.0							
Slovakia	61.0	17.0	0.0	0.0	Local transmission	0.0							
Bulgaria	51.0	8.0	2.0	0.0	Local transmission	0.0							
Croatia	49.0	12.0	0.0	0.0	Local transmission	0.0							
Albania	42.0	4.0	1.0	0.0	Local transmission	0.0							
Serbia††	46.0	0.0	0.0	0.0	Local transmission	1.0							
Hungary	39.0	7.0	1.0	1.0	Local transmission	0.0							
Luxembourg	38.0	0.0	1.0	0.0	Local transmission	2.0							
Belarus	36.0	15.0	0.0	0.0	Local transmission	0.0							
Cyprus	33.0	12.0	0.0	0.0	Imported cases only	0.0							
Georgia	33.0	3.0	0.0	0.0	Imported cases only	0.0							
Latvia	31.0	1.0	0.0	0.0	Imported cases only	0.0							
Armenia	26.0	18.0	0.0	0.0	Local transmission	0.0							
Republic of Moldova	23.0	11.0	0.0	0.0	Imported cases only	0.0							
Malta	21.0	9.0	0.0	0.0	Imported cases only	0.0							
Azerbaijan	19.0	0.0	0.0	0.0	Imported cases only	1.0							
Bosnia and Herzegovina	18.0	0.0	0.0	0.0	Local transmission	1.0							
Lithuania	14.0	5.0	0.0	0.0	Imported cases only	0.0							
North Macedonia	13.0	0.0	0.0	0.0	Local transmission	1.0							
Monaco	9.0	7.0	0.0	0.0	Under investigation	0.0							
Liechtenstein	7.0	3.0	0.0	0.0	Imported cases only	0.0							
Kazakhstan	6.0	0.0	0.0	0.0	Imported cases only	1.0							
Turkey	5.0	0.0	0.0	0.0	Imported cases only	2.0							
Uzbekistan	4.0	4.0	0.0	0.0	Under investigation	0.0							
Ukraine	3.0	0.0	1.0	0.0	Local transmission	2.0							
Andorra	2.0	0.0	0.0	0.0	Imported cases only	2.0							
Holy See	1.0	0.0	0.0	0.0	Under investigation	10.0							
Territories**	 	 	 	 	 	 							
Faroe Islands	11.0	2.0	0.0	0.0	Imported cases only	0.0							
Jersey	2.0	0.0	0.0	0.0	Imported cases only	3.0							
Gibraltar	1.0	0.0	0.0	0.0	Under investigation	12.0							
Guernsey	1.0	0.0	0.0	0.0	Imported cases only	6.0							
South-East Asia Region	 	 	 	 	 	 							
Indonesia	117.0	0.0	4.0	0.0	Local transmission	1.0							
India	114.0	7.0	2.0	0.0	Local transmission	0.0							
Thailand	114.0	39.0	1.0	0.0	Local transmission	0.0							
Sri Lanka	19.0	8.0	0.0	0.0	Local transmission	0.0							
Maldives	13.0	3.0	0.0	0.0	Local transmission	0.0							
Bangladesh	5.0	2.0	0.0	0.0	Local transmission	0.0							
Bhutan	1.0	0.0	0.0	0.0	Imported cases only	10.0							
Nepal	1.0	0.0	0.0	0.0	Imported cases only	52.0							
Eastern Mediterranean Region	 	 	 	 	 	 							
Iran (Islamic Republic of)	14991.0	2262.0	853.0	245.0	Local transmission	0.0							
Qatar	401.0	64.0	0.0	0.0	Local transmission	0.0							
Bahrain	221.0	10.0	1.0	1.0	Local transmission	0.0							
Egypt	126.0	33.0	2.0	0.0	Local transmission	0.0							
Iraq	124.0	31.0	9.0	0.0	Local transmission	0.0							
Kuwait	112.0	0.0	0.0	0.0	Local transmission	1.0							
Saudi Arabia	103.0	0.0	0.0	0.0	Local transmission	1.0							
Lebanon	99.0	6.0	3.0	0.0	Local transmission	0.0							
United Arab Emirates	98.0	13.0	0.0	0.0	Local transmission	0.0							
Pakistan	52.0	24.0	0.0	0.0	Imported cases only	0.0							
Morocco	28.0	10.0	1.0	0.0	Local transmission	0.0							
Oman	22.0	2.0	0.0	0.0	Imported cases only	0.0							
Tunisia	18.0	2.0	0.0	0.0	Local transmission	0.0							
Afghanistan	16.0	6.0	0.0	0.0	Imported cases only	0.0							
Jordan	6.0	5.0	0.0	0.0	Imported cases only	0.0							
Sudan	1.0	0.0	1.0	1.0	Imported cases only	1.0							
Territories**	 	 	 	 	 	 							
							Region of the Americas	 	 	 	 	 	 
							United States of America	1678.0	0.0	41.0	0.0	Local transmission	2.0
							Canada	304.0	60.0	1.0	0.0	Local transmission	0.0
							Brazil	200.0	79.0	0.0	0.0	Local transmission	0.0
							Chile	75.0	14.0	0.0	0.0	Local transmission	0.0
							Peru	71.0	28.0	0.0	0.0	Local transmission	0.0
							Argentina	56.0	11.0	2.0	0.0	Local transmission	0.0
							Mexico	53.0	12.0	0.0	0.0	Imported cases only	0.0
							Panama	43.0	16.0	1.0	0.0	Local transmission	0.0
							Ecuador	37.0	14.0	2.0	2.0	Local transmission	0.0
							Colombia	24.0	0.0	0.0	0.0	Local transmission	1.0
							Costa Rica	23.0	0.0	0.0	0.0	Local transmission	2.0
							Bolivia (Plurinational State of)	11.0	8.0	0.0	0.0	Imported cases only	0.0
							Jamaica	10.0	2.0	0.0	0.0	Local transmission	0.0
							Paraguay	8.0	2.0	0.0	0.0	Local transmission	0.0
							Dominican Republic	5.0	0.0	0.0	0.0	Imported cases only	6.0
							Cuba	4.0	0.0	0.0	0.0	Imported cases only	2.0
							Guyana	4.0	3.0	1.0	0.0	Local transmission	0.0
							Uruguay	4.0	4.0	0.0	0.0	Imported cases only	0.0
							Honduras	2.0	0.0	0.0	0.0	Imported cases only	4.0
							Trinidad and Tobago	2.0	1.0	0.0	0.0	Imported cases only	0.0
							Venezuela (Bolivarian Republic of)	2.0	0.0	0.0	0.0	Imported cases only	2.0
							Antigua and Barbuda	1.0	0.0	0.0	0.0	Imported cases only	2.0
							Guatemala	1.0	0.0	1.0	0.0	Imported cases only	1.0
							Saint Lucia	1.0	0.0	0.0	0.0	Imported cases only	1.0
							Saint Vincent and the Grenadines	1.0	0.0	0.0	0.0	Imported cases only	3.0
							Suriname	1.0	0.0	0.0	0.0	Imported cases only	1.0
							Territories**	 	 	 	 	 	 
							Martinique	15.0	5.0	0.0	0.0	Imported cases only	0.0
							French Guiana	7.0	0.0	0.0	0.0	Imported cases only	2.0
							Guadeloupe	6.0	3.0	0.0	0.0	Imported cases only	0.0
							Puerto Rico	3.0	0.0	0.0	0.0	Imported cases only	2.0
							Saint Barthelemy	3.0	2.0	0.0	0.0	Under investigation	0.0
