Reporting Country/ Territory/Area†	Total confirmed ‡ cases	Total confirmed new cases1	Total deaths	Total new deaths1	Transmission classification§	Days since last reported case	Somalia	1	1.1	0	0.1	Imported cases only	0.2
Western Pacific Region	 	 	 	 	 	 							
China	81116.0	39.0	3231.0	13.0	Local transmission	0.0							
Republic of Korea	8320.0	84.0	81.0	6.0	Local transmission	0.0							
Japan	829.0	15.0	28.0	4.0	Local transmission	0.0							
Malaysia	553.0	0.0	0.0	0.0	Local transmission	1.0							
Australia	375.0	77.0	5.0	0.0	Local transmission	0.0							
Singapore	243.0	0.0	0.0	0.0	Local transmission	1.0							
Philippines	187.0	47.0	12.0	0.0	Local transmission	0.0							
Viet Nam	61.0	4.0	0.0	0.0	Local transmission	0.0							
Brunei Darussalam	50.0	0.0	0.0	0.0	Local transmission	1.0							
Cambodia	24.0	12.0	0.0	0.0	Local transmission	0.0							
New Zealand	11.0	5.0	0.0	0.0	Local transmission	0.0							
Mongolia	4.0	3.0	0.0	0.0	Imported cases only	0.0							
Territories**	 	 	 	 	 	 							
French Polynesia	3.0	0.0	0.0	0.0	Imported cases only	2.0							
Guam	3.0	3.0	0.0	0.0	Local transmission	0.0							
European Region	 	 	 	 	 	 							
Italy	27980.0	3233.0	2503.0	349.0	Local transmission	0.0							
Spain	9191.0	1438.0	309.0	21.0	Local transmission	0.0							
France	6573.0	1193.0	148.0	21.0	Local transmission	0.0							
Germany	6012.0	1174.0	13.0	1.0	Local transmission	0.0							
Switzerland	2200.0	0.0	14.0	1.0	Local transmission	1.0							
The United Kingdom	1547.0	152.0	55.0	20.0	Local transmission	0.0							
Netherlands	1413.0	278.0	24.0	4.0	Local transmission	0.0							
Norway	1169.0	92.0	3.0	2.0	Local transmission	0.0							
Austria	1132.0	173.0	3.0	2.0	Local transmission	0.0							
Belgium	1085.0	0.0	5.0	0.0	Local transmission	1.0							
Sweden	1059.0	67.0	3.0	0.0	Local transmission	0.0							
Denmark	960.0	62.0	4.0	3.0	Local transmission	0.0							
Czechia	383.0	85.0	0.0	0.0	Local transmission	0.0							
Greece	331.0	0.0	4.0	0.0	Local transmission	1.0							
Portugal	331.0	86.0	0.0	0.0	Local transmission	0.0							
Israel	250.0	50.0	0.0	0.0	Local transmission	0.0							
Finland	272.0	5.0	0.0	0.0	Local transmission	0.0							
Slovenia	253.0	34.0	0.0	0.0	Local transmission	0.0							
Ireland	223.0	54.0	2.0	0.0	Local transmission	0.0							
Estonia	205.0	0.0	0.0	0.0	Local transmission	1.0							
Iceland	199.0	19.0	0.0	0.0	Local transmission	0.0							
Romania	158.0	0.0	0.0	0.0	Local transmission	1.0							
Poland	150.0	0.0	3.0	0.0	Local transmission	1.0							
San Marino	102.0	10.0	9.0	4.0	Local transmission	0.0							
Russian Federation	93.0	30.0	0.0	0.0	Imported cases only	0.0							
Luxembourg	81.0	43.0	1.0	0.0	Local transmission	0.0							
Slovakia	72.0	11.0	0.0	0.0	Local transmission	0.0							
Bulgaria	67.0	16.0	2.0	0.0	Local transmission	0.0							
Serbia††	70.0	24.0	0.0	0.0	Local transmission	0.0							
Croatia	56.0	7.0	0.0	0.0	Local transmission	0.0							
Armenia	52.0	26.0	0.0	0.0	Local transmission	0.0							
Albania	51.0	9.0	1.0	0.0	Local transmission	0.0							
Hungary	50.0	11.0	1.0	0.0	Local transmission	0.0							
Turkey	47.0	42.0	0.0	0.0	Imported cases only	0.0							
Belarus	36.0	0.0	0.0	0.0	Local transmission	1.0							
Latvia	36.0	5.0	0.0	0.0	Imported cases only	0.0							
