Reporting Country/ Territory/Area†	Total confirmed ‡ cases	Total confirmed new cases1	Total deaths	Total new deaths1	Transmission classification§	Days since last reported case	Somalia	1	0	0.1	0.2	Imported cases only	1.1
Western Pacific Region	 	 	 	 	 	 							
China	81116.0	39.0	3231.0	13.0	Local transmission	0.0							
Republic of Korea	8320.0	84.0	81.0	6.0	Local transmission	0.0							
Japan	829.0	15.0	28.0	4.0	Local transmission	0.0							
Malaysia	553.0	0.0	0.0	0.0	Local transmission	1.0							
Australia	414.0	78.0	5.0	0.0	Local transmission	0.0							
Singapore	266.0	23.0	0.0	0.0	Local transmission	0.0							
Philippines	187.0	45.0	12.0	0.0	Local transmission	0.0							
Viet Nam	61.0	4.0	0.0	0.0	Local transmission	0.0							
Brunei Darussalam	54.0	4.0	0.0	0.0	Local transmission	0.0							
Cambodia	24.0	12.0	0.0	0.0	Local transmission	0.0							
New Zealand	11.0	5.0	0.0	0.0	Local transmission	0.0							
Mongolia	4.0	0.0	0.0	0.0	Imported cases only	1.0							
Territories**	 	 	 	 	 	 							
French Polynesia	3.0	0.0	0.0	0.0	Imported cases only	2.0							
Guam	3.0	3.0	0.0	0.0	Local transmission	0.0							
European Region	 	 	 	 	 	 							
Italy	31506.0	3526.0	2503.0	345.0	Local transmission	0.0							
Spain	11178.0	1987.0	491.0	182.0	Local transmission	0.0							
France	7652.0	1079.0	175.0	27.0	Local transmission	0.0							
Germany	7156.0	1144.0	13.0	0.0	Local transmission	0.0							
Switzerland	2650.0	450.0	14.0	5.0	Local transmission	0.0							
The United Kingdom	1954.0	407.0	55.0	5.0	Local transmission	0.0							
Netherlands	1705.0	292.0	43.0	19.0	Local transmission	0.0							
Belgium	1486.0	401.0	14.0	9.0	Local transmission	0.0							
Austria	1332.0	373.0	3.0	2.0	Local transmission	0.0							
Norway	1308.0	139.0	3.0	0.0	Local transmission	0.0							
Sweden	1167.0	108.0	3.0	0.0	Local transmission	0.0							
Denmark	977.0	79.0	4.0	3.0	Local transmission	0.0							
Portugal	448.0	117.0	1.0	1.0	Local transmission	0.0							
Czechia	434.0	136.0	0.0	0.0	Local transmission	0.0							
Greece	387.0	56.0	4.0	0.0	Local transmission	0.0							
Finland	319.0	47.0	0.0	0.0	Local transmission	0.0							
Israel	304.0	0.0	0.0	0.0	Local transmission	1.0							
Ireland	292.0	69.0	2.0	0.0	Local transmission	0.0							
Slovenia	275.0	22.0	1.0	1.0	Local transmission	0.0							
Poland	246.0	96.0	5.0	2.0	Local transmission	0.0							
Estonia	225.0	20.0	0.0	0.0	Local transmission	0.0							
Iceland	225.0	45.0	0.0	0.0	Local transmission	0.0							
Romania	184.0	26.0	0.0	0.0	Local transmission	0.0							
Luxembourg	140.0	59.0	1.0	0.0	Local transmission	0.0							
San Marino	104.0	2.0	11.0	2.0	Local transmission	0.0							
Slovakia	97.0	25.0	0.0	0.0	Local transmission	0.0							
Russian Federation	93.0	0.0	0.0	0.0	Imported cases only	1.0							
Bulgaria	81.0	14.0	2.0	0.0	Local transmission	0.0							
Serbia††	85.0	23.0	0.0	0.0	Local transmission	0.0							
Croatia	65.0	9.0	0.0	0.0	Local transmission	0.0							
Latvia	60.0	24.0	0.0	0.0	Imported cases only	0.0							
Albania	55.0	4.0	1.0	0.0	Local transmission	0.0							
Armenia	52.0	0.0	0.0	0.0	Local transmission	1.0							
Hungary	50.0	11.0	1.0	0.0	Local transmission	0.0							
Turkey	47.0	0.0	0.0	0.0	Imported cases only	1.0							
Malta	38.0	8.0	0.0	0.0	Imported cases only	0.0							
