Objectives Study Protocol	Unnamed: 1	Armenia	84	32	0	0.1	Local transmission	0.2	African Region	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6
The First Few COVID-19 cases and contacts transmission investigation protocol (FFX)	To provide descriptions and/or estimates of the: • • • • clinical presentation of COVID-19 infection and course of associated disease secondary infection rate (SIR) and secondary clinical attack rate of COVID-19 infection among close contacts (overall, and by key factors such as setting, age and sex, for various end-points) serial interval of COVID-19 infection symptomatic proportion of COVID-19 cases (through contact tracing and laboratory testing); and identification of possible routes of transmission													
Households transmission of COVID-19 investigation protocol	• To better understand the extent of transmission within a household by estimating the secondary infection rate for household contacts at an individual level, and factors associated with any variation in the secondary infection risk To characterize secondary cases including the range of clinical presentation, risk factors for infection, and the extent and fraction of asymptomatic infections To characterize serologic response following confirmed COVID-19 infection • •													
Assessment of COVID-19 risk factors among Health workers protocol	• To better understand the extent of human-to-human transmission among health care workers, by estimating the secondary infection rate for health care worker contacts at an individual level To characterize the range of clinical presentation of infection and the risk factors for infection among health care workers To evaluate effectiveness of infection prevention and control measures among health care workers • •													
Surface sampling of COVID-19 for health care professionals	• To assess the extent and persistence of surface contamination with COVID-19 virus To identify environmental surfaces which may play a role in onwards transmission of COVID-19 infection •													
Population based serologic survey	• To estimate age-specific seroprevalence													
Transmission classification§	Days since last reported case													
 	 													
Local transmission	0													
Local transmission	0													
Local transmission	0													
Local transmission	0													
Local transmission	0													
Local transmission	0													
Local transmission	1													
Local transmission	0													
Local transmission	0													
Local transmission	0													
Local transmission	0													
Imported cases only	0													
 	 													
Local transmission	0													
Imported cases only	3													
 	 													
Local transmission	0													
Local transmission	0													
Local transmission	1													
Local transmission	0													
Local transmission	0													
Local transmission	0													
Local transmission	1													
Local transmission	0													
Local transmission	1													
Local transmission	0													
Local transmission	0													
Local transmission	0													
Local transmission	0													
Local transmission	0													
Local transmission	2													
Local transmission	1													
Local transmission	0													
Local transmission	1													
Local transmission	1													
Local transmission	1													
Local transmission	0													
Local transmission	0													
Local transmission	0													
Local transmission	0													
Local transmission	0													
Imported cases only	0													
Local transmission	0													
Local transmission	0													
Local transmission	0													
Local transmission	0													
		Croatia	81.0	16.0	0.0	0.0	Local transmission	0.0						
		Latvia	71.0	11.0	0.0	0.0	Imported cases only	0.0						
		Albania	59.0	2.0	2.0	1.0	Local transmission	0.0						
		Cyprus	58.0	25.0	0.0	0.0	Local transmission	0.0						
		Hungary	58.0	8.0	1.0	0.0	Local transmission	0.0						
		Malta	48.0	10.0	0.0	0.0	Imported cases only	0.0						
		Belarus	46.0	10.0	0.0	0.0	Local transmission	0.0						
		Georgia	38.0	4.0	0.0	0.0	Imported cases only	0.0						
		Bosnia and Herzegovina	36.0	7.0	0.0	0.0	Local transmission	0.0						
		Kazakhstan	36.0	3.0	0.0	0.0	Imported cases only	0.0						
		North Macedonia	36.0	5.0	0.0	0.0	Local transmission	0.0						
		Republic of Moldova	36.0	0.0	0.0	0.0	Local transmission	1.0						
		Azerbaijan	34.0	13.0	1.0	1.0	Imported cases only	0.0						
		Lithuania	26.0	1.0	0.0	0.0	Imported cases only	0.0						
		Liechtenstein	25.0	18.0	0.0	0.0	Imported cases only	0.0						
		Ukraine	16.0	7.0	2.0	0.0	Local transmission	0.0						
		Uzbekistan	16.0	0.0	0.0	0.0	Imported cases only	1.0						
		Monaco	9.0	0.0	0.0	0.0	Under investigation	2.0						
		Kyrgyzstan	3.0	3.0	0.0	0.0	Under investigation	0.0						
		Montenegro	2.0	0.0	0.0	0.0	Imported cases only	1.0						
		Holy See	1.0	0.0	0.0	0.0	Under investigation	12.0						
		Territories**	 	 	 	 	 	 						
		Faroe Islands	58.0	11.0	0.0	0.0	Imported cases only	0.0						
		Andorra	39.0	23.0	0.0	0.0	Imported cases only	0.0						
