Reporting Country/ Territory/Area†	Total confirmed ‡ cases	Total confirmed new cases1	Total deaths	Total new deaths1	Transmission classification§	Days since last reported case	Jordan	56	4	0	0.1	Imported cases only	0.2
Western Pacific Region	 	 	 	 	 	 							
China	81300.0	126.0	3253.0	11.0	Local transmission	0.0							
Republic of Korea	8652.0	239.0	94.0	10.0	Local transmission	0.0							
Japan	950.0	77.0	33.0	4.0	Local transmission	0.0							
Malaysia	900.0	227.0	2.0	0.0	Local transmission	0.0							
Australia	709.0	199.0	6.0	0.0	Local transmission	0.0							
Singapore	345.0	32.0	0.0	0.0	Local transmission	0.0							
Philippines	217.0	30.0	17.0	3.0	Local transmission	0.0							
Viet Nam	85.0	19.0	0.0	0.0	Local transmission	0.0							
Brunei Darussalam	73.0	17.0	0.0	0.0	Local transmission	0.0							
Cambodia	47.0	12.0	0.0	0.0	Local transmission	0.0							
New Zealand	39.0	19.0	0.0	0.0	Local transmission	0.0							
Mongolia	6.0	1.0	0.0	0.0	Imported cases only	0.0							
Fiji	1.0	1.0	0.0	0.0	Imported cases only	0.0							
Territories**	 	 	 	 	 	 							
Guam	12.0	7.0	0.0	0.0	Local transmission	0.0							
French Polynesia	11.0	8.0	0.0	0.0	Imported cases only	0.0							
New Caledonia	2.0	2.0	0.0	0.0	Imported cases only	0.0							
European Region	 	 	 	 	 	 							
Italy	41035.0	5322.0	3407.0	429.0	Local transmission	0.0							
Spain	17147.0	3431.0	767.0	169.0	Local transmission	0.0							
Germany	10999.0	2801.0	20.0	8.0	Local transmission	0.0							
France	10877.0	1834.0	372.0	128.0	Local transmission	0.0							
Switzerland	3863.0	853.0	33.0	12.0	Local transmission	0.0							
The United Kingdom	3277.0	647.0	144.0	41.0	Local transmission	0.0							
Netherlands	2460.0	409.0	76.0	18.0	Local transmission	0.0							
Austria	1843.0	197.0	5.0	1.0	Local transmission	0.0							
Belgium	1795.0	309.0	14.0	0.0	Local transmission	0.0							
Norway	1552.0	129.0	6.0	3.0	Local transmission	0.0							
Sweden	1423.0	144.0	3.0	0.0	Local transmission	0.0							
Denmark	1132.0	88.0	6.0	2.0	Local transmission	0.0							
Portugal	785.0	143.0	3.0	1.0	Local transmission	0.0							
Czechia	694.0	172.0	0.0	0.0	Local transmission	0.0							
Ireland	557.0	265.0	3.0	1.0	Local transmission	0.0							
Israel	529.0	102.0	0.0	0.0	Local transmission	0.0							
Greece	418.0	0.0	5.0	0.0	Local transmission	1.0							
Finland	369.0	10.0	0.0	0.0	Local transmission	0.0							
Luxembourg	345.0	135.0	4.0	2.0	Local transmission	0.0							
Iceland	330.0	80.0	0.0	0.0	Local transmission	0.0							
Poland	325.0	38.0	5.0	0.0	Local transmission	0.0							
Slovenia	319.0	33.0	1.0	0.0	Local transmission	0.0							
Estonia	267.0	9.0	0.0	0.0	Local transmission	0.0							
Romania	260.0	14.0	0.0	0.0	Local transmission	0.0							
Russian Federation	199.0	52.0	0.0	0.0	Imported cases only	0.0							
Turkey	191.0	0.0	2.0	0.0	Local transmission	1.0							
San Marino	126.0	17.0	14.0	0.0	Local transmission	0.0							
Serbia††	123.0	41.0	0.0	0.0	Local transmission	0.0							
Slovakia	123.0	18.0	0.0	0.0	Local transmission	0.0							
Armenia	122.0	38.0	0.0	0.0	Local transmission	0.0							
Bulgaria	94.0	2.0	3.0	1.0	Local transmission	0.0							
Latvia	86.0	15.0	0.0	0.0	Imported cases only	0.0							
Croatia	81.0	0.0	0.0	0.0	Local transmission	1.0							
Hungary	73.0	15.0	1.0	0.0	Local transmission	0.0							
Albania	70.0	11.0	2.0	0.0	Local transmission	0.0							
Cyprus	58.0	0.0	0.0	0.0	Local transmission	1.0							
Malta	53.0	5.0	0.0	0.0	Imported cases only	0.0							
Republic of Moldova	49.0	13.0	0.0	0.0	Local transmission	0.0							
North Macedonia	48.0	17.0	0.0	0.0	Local transmission	0.0							
Belarus	46.0	0.0	0.0	0.0	Local transmission	1.0							
Kazakhstan	46.0	10.0	0.0	0.0	Imported cases only	0.0							
Bosnia and Herzegovina	44.0	8.0	0.0	0.0	Local transmission	0.0							
Georgia	38.0	4.0	0.0	0.0	Imported cases only	0.0							
Lithuania	36.0	10.0	0.0	0.0	Imported cases only	0.0							
Azerbaijan	34.0	0.0	1.0	0.0	Imported cases only	1.0							
Liechtenstein	25.0	0.0	0.0	0.0	Imported cases only	1.0							
Uzbekistan	21.0	5.0	0.0	0.0	Local transmission	0.0							
Ukraine	16.0	0.0	2.0	0.0	Local transmission	1.0							
Montenegro	10.0	8.0	0.0	0.0	Imported cases only	0.0							
Monaco	9.0	0.0	0.0	0.0	Under investigation	3.0							
Kyrgyzstan	3.0	0.0	0.0	0.0	Under investigation	1.0							
Holy See	1.0	0.0	0.0	0.0	Under investigation	13.0							
Territories**	 	 	 	 	 	 							
Andorra	75.0	36.0	0.0	0.0	Imported cases only	0.0							
Faroe Islands	72.0	14.0	0.0	0.0	Imported cases only	0.0							
Gibraltar	10.0	2.0	0.0	0.0	Under investigation	0.0							
Jersey	5.0	0.0	0.0	0.0	Imported cases only	2.0							
Greenland	2.0	0.0	0.0	0.0	Under investigation	1.0							
Guernsey	1.0	0.0	0.0	0.0	Imported cases only	10.0							
South-East Asia Region	 	 	 	 	 	 							
Thailand	322.0	110.0	1.0	0.0	Local transmission	0.0							
Indonesia	309.0	82.0	25.0	6.0	Local transmission	0.0							
India	195.0	44.0	4.0	1.0	Local transmission	0.0							
Sri Lanka	59.0	17.0	0.0	0.0	Local transmission	0.0							
Bangladesh	17.0	7.0	1.0	1.0	Local transmission	0.0							
Maldives	13.0	0.0	0.0	0.0	Local transmission	4.0							
Bhutan	2.0	1.0	0.0	0.0	Imported cases only	0.0							
Nepal	1.0	0.0	0.0	0.0	Imported cases only	56.0							
Eastern Mediterranean Region	 	 	 	 	 	 							
Iran (Islamic Republic of)	18407.0	1046.0	1284.0	149.0	Local transmission	0.0							
Qatar	452.0	10.0	0.0	0.0	Local transmission	0.0							
Pakistan	302.0	61.0	2.0	2.0	Imported cases only	0.0							
Bahrain	269.0	13.0	1.0	0.0	Local transmission	0.0							
Saudi Arabia	238.0	0.0	0.0	0.0	Local transmission	1.0							
Egypt	210.0	14.0	6.0	0.0	Local transmission	0.0							
Iraq	177.0	13.0	12.0	0.0	Local transmission	0.0							
