Reporting Country/ Territory/Area†	Total confirmed ‡ cases	Total confirmed new cases	Total deaths	Total new deaths	Transmission classification§	Days since last reported case	Lebanon	163	14	4	0	Local transmission	0.1	(Diamond Princess)	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6
Western Pacific Region	 	 	 	 	 	 														
China	81416.0	116.0	3261.0	8.0	Local transmission	0.0														
Republic of Korea	8799.0	147.0	102.0	8.0	Local transmission	0.0														
Malaysia	1030.0	130.0	3.0	1.0	Local transmission	0.0														
Japan	996.0	46.0	35.0	2.0	Local transmission	0.0														
Australia	873.0	164.0	7.0	1.0	Local transmission	0.0														
Singapore	385.0	40.0	0.0	0.0	Local transmission	0.0														
Philippines	230.0	13.0	18.0	1.0	Local transmission	0.0														
Viet Nam	91.0	6.0	0.0	0.0	Local transmission	0.0														
Brunei Darussalam	78.0	5.0	0.0	0.0	Local transmission	0.0														
New Zealand	53.0	14.0	0.0	0.0	Local transmission	0.0														
Cambodia	51.0	4.0	0.0	0.0	Local transmission	0.0														
Mongolia	6.0	0.0	0.0	0.0	Imported cases only	1.0														
Fiji	1.0	0.0	0.0	0.0	Imported cases only	1.0														
Papua New Guinea	1.0	1.0	0.0	0.0	Imported cases only	0.0														
Territories**	 	 	 	 	 	 														
Guam	14.0	2.0	0.0	0.0	Local transmission	0.0														
French Polynesia	11.0	0.0	0.0	0.0	Imported cases only	1.0														
New Caledonia	2.0	0.0	0.0	0.0	Imported cases only	1.0														
European Region ^	 	 	 	 	 	 														
Italy	47021.0	5986.0	4032.0	625.0	Local transmission	0.0														
Spain	19980.0	2833.0	1002.0	235.0	Local transmission	0.0														
Germany	18323.0	7324.0	45.0	25.0	Local transmission	0.0														
France	12475.0	1598.0	450.0	78.0	Local transmission	0.0														
Switzerland	4840.0	977.0	43.0	10.0	Local transmission	0.0														
The United Kingdom	3983.0	706.0	177.0	33.0	Local transmission	0.0														
Netherlands	2994.0	534.0	106.0	30.0	Local transmission	0.0														
Austria	2649.0	806.0	6.0	1.0	Local transmission	0.0														
Belgium	2257.0	462.0	37.0	23.0	Local transmission	0.0														
Norway	1742.0	190.0	7.0	1.0	Local transmission	0.0														
Sweden	1623.0	200.0	16.0	13.0	Local transmission	0.0														
Denmark	1255.0	123.0	9.0	3.0	Local transmission	0.0														
Portugal	1020.0	235.0	6.0	3.0	Local transmission	0.0														
Czechia	904.0	210.0	0.0	0.0	Local transmission	0.0														
Israel	712.0	183.0	1.0	1.0	Local transmission	0.0														
Ireland	683.0	126.0	3.0	0.0	Local transmission	0.0														
Turkey	670.0	479.0	9.0	7.0	Local transmission	0.0														
Greece	495.0	77.0	8.0	3.0	Local transmission	0.0														
Luxembourg	484.0	139.0	5.0	1.0	Local transmission	0.0														
Finland	450.0	81.0	0.0	0.0	Local transmission	0.0														
Poland	425.0	100.0	5.0	0.0	Local transmission	0.0														
Iceland	409.0	79.0	1.0	1.0	Local transmission	0.0														
Slovenia	341.0	22.0	1.0	0.0	Local transmission	0.0														
Romania	308.0	48.0	0.0	0.0	Local transmission	0.0														
Estonia	283.0	16.0	0.0	0.0	Local transmission	0.0														
Russian Federation	253.0	54.0	0.0	0.0	Imported cases only	0.0														
San Marino	151.0	25.0	14.0	0.0	Local transmission	0.0														
Slovakia	137.0	14.0	0.0	0.0	Local transmission	0.0														
Armenia	136.0	14.0	0.0	0.0	Local transmission	0.0														
Serbia††	135.0	12.0	1.0	1.0	Local transmission	0.0														
Bulgaria	127.0	33.0	3.0	0.0	Local transmission	0.0														
Croatia	126.0	45.0	0.0	0.0	Local transmission	0.0														
Latvia	111.0	25.0	0.0	0.0	Imported cases only	0.0														
Hungary	85.0	12.0	4.0	3.0	Local transmission	0.0														
Andorra	75.0	0.0	0.0	0.0	Imported cases only	1.0														
Albania	70.0	0.0	2.0	0.0	Local transmission	1.0														
North Macedonia	70.0	22.0	0.0	0.0	Local transmission	0.0														
Lithuania	69.0	33.0	1.0	1.0	Imported cases only	0.0														
Cyprus	67.0	9.0	0.0	0.0	Local transmission	0.0														
Republic of Moldova	66.0	17.0	1.0	1.0	Local transmission	0.0														
Malta	64.0	11.0	0.0	0.0	Imported cases only	0.0														
Belarus	57.0	11.0	0.0	0.0	Local transmission	0.0														
Kazakhstan	53.0	7.0	0.0	0.0	Imported cases only	0.0														
Azerbaijan	44.0	10.0	1.0	0.0	Imported cases only	0.0														
Bosnia and Herzegovina	44.0	0.0	0.0	0.0	Local transmission	1.0														
Georgia	43.0	5.0	0.0	0.0	Imported cases only	0.0														
Liechtenstein	34.0	9.0	0.0	0.0	Imported cases only	0.0														
Uzbekistan	33.0	12.0	0.0	0.0	Local transmission	0.0														
Ukraine	26.0	10.0	3.0	1.0	Local transmission	0.0														
Montenegro	14.0	4.0	0.0	0.0	Imported cases only	0.0														
Monaco	12.0	3.0	0.0	0.0	Under investigation	0.0														
Kyrgyzstan	6.0	3.0	0.0	0.0	Imported cases only	0.0														
Holy See	1.0	0.0	0.0	0.0	Under investigation	14.0														
Territories**	 	 	 	 	 	 														
Faroe Islands	80.0	8.0	0.0	0.0	Imported cases only	0.0														
Jersey	12.0	7.0	0.0	0.0	Imported cases only	0.0														
Gibraltar	10.0	0.0	0.0	0.0	Under investigation	1.0														
Greenland	2.0	0.0	0.0	0.0	Under investigation	2.0														
Guernsey	1.0	0.0	0.0	0.0	Imported cases only	11.0														
Isle of Man	1.0	1.0	0.0	0.0	Imported cases only	0.0														
South-East Asia Region	 	 	 	 	 	 														
Indonesia	369.0	60.0	32.0	7.0	Local transmission	0.0														
Thailand	322.0	0.0	1.0	0.0	Local transmission	1.0														
India	195.0	0.0	4.0	0.0	Local transmission	1.0														
Sri Lanka	59.0	0.0	0.0	0.0	Local transmission	1.0														
Bangladesh	17.0	0.0	1.0	0.0	Local transmission	1.0														
Maldives	13.0	0.0	0.0	0.0	Local transmission	5.0														
Bhutan	2.0	0.0	0.0	0.0	Imported cases only	1.0														
Nepal	1.0	0.0	0.0	0.0	Imported cases only	57.0														
Timor-Leste	1.0	1.0	0.0	0.0	Imported cases only	0.0														
Eastern Mediterranean Region	 	 	 	 	 	 														
Iran (Islamic Republic of)	19644.0	1237.0	1433.0	149.0	Local transmission	0.0														
Pakistan	461.0	159.0	2.0	0.0	Imported cases only	0.0														
Qatar	460.0	8.0	0.0	0.0	Local transmission	0.0														
Bahrain	285.0	16.0	1.0	0.0	Local transmission	0.0														
Saudi Arabia	274.0	36.0	0.0	0.0	Local transmission	0.0														
Egypt	256.0	46.0	7.0	1.0	Local transmission	0.0														
Iraq	193.0	16.0	14.0	2.0	Local transmission	0.0														
							Kuwait	159.0	11.0	0.0	0.0	Local transmission	0.0							
							United Arab Emirates	140.0	0.0	0.0	0.0	Local transmission	1.0							
							Morocco	74.0	13.0	3.0	1.0	Local transmission	0.0							
							Jordan	69.0	13.0	0.0	0.0	Imported cases only	0.0							
							Tunisia	54.0	15.0	1.0	1.0	Local transmission	0.0							
							Oman	48.0	9.0	0.0	0.0	Local transmission	0.0							
							Afghanistan	24.0	2.0	0.0	0.0	Imported cases only	0.0							
							Djibouti	1.0	0.0	0.0	0.0	Under investigation	2.0							
