Reporting Country/ Territory/Area†	Total confirmed ‡ cases	Total confirmed new cases	Total deaths	Total new deaths	Transmission classification§	Days since last reported case	Kuwait	176	17	0	0.1	Local transmission	0.2	regions	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6
Western Pacific Region	 	 	 	 	 	 														
China	81498.0	82.0	3267.0	6.0	Local transmission	0.0														
Republic of Korea	8897.0	98.0	104.0	2.0	Local transmission	0.0														
Malaysia	1183.0	153.0	3.0	0.0	Local transmission	0.0														
Australia	1081.0	208.0	7.0	0.0	Local transmission	0.0														
Japan	1046.0	50.0	36.0	1.0	Local transmission	0.0														
Singapore	432.0	47.0	2.0	2.0	Local transmission	0.0														
Philippines	307.0	77.0	19.0	1.0	Local transmission	0.0														
Viet Nam	94.0	3.0	0.0	0.0	Local transmission	0.0														
Brunei Darussalam	83.0	5.0	0.0	0.0	Local transmission	0.0														
New Zealand	66.0	13.0	0.0	0.0	Local transmission	0.0														
Cambodia	53.0	2.0	0.0	0.0	Local transmission	0.0														
Mongolia	10.0	4.0	0.0	0.0	Imported cases only	0.0														
Fiji	2.0	1.0	0.0	0.0	Local transmission	0.0														
Papua New Guinea	1.0	0.0	0.0	0.0	Imported cases only	1.0														
Territories**	 	 	 	 	 	 														
French Polynesia	15.0	4.0	0.0	0.0	Imported cases only	0.0														
Guam	15.0	1.0	0.0	0.0	Local transmission	0.0														
New Caledonia	4.0	2.0	0.0	0.0	Imported cases only	0.0														
European Region ^	 	 	 	 	 	 														
Italy	53578.0	6557.0	4827.0	795.0	Local transmission	0.0														
Spain	24926.0	4946.0	1326.0	324.0	Local transmission	0.0														
Germany	21463.0	3140.0	67.0	22.0	Local transmission	0.0														
France	14296.0	1821.0	562.0	112.0	Local transmission	0.0														
Switzerland	6077.0	1237.0	56.0	13.0	Local transmission	0.0														
The United Kingdom	5018.0	1035.0	233.0	56.0	Local transmission	0.0														
Netherlands	3631.0	637.0	136.0	30.0	Local transmission	0.0														
Austria	3024.0	375.0	8.0	2.0	Local transmission	0.0														
Belgium	2815.0	558.0	67.0	30.0	Local transmission	0.0														
Norway	1926.0	184.0	7.0	0.0	Local transmission	0.0														
Sweden	1746.0	123.0	20.0	4.0	Local transmission	0.0														
Denmark	1326.0	71.0	13.0	4.0	Local transmission	0.0														
Portugal	1280.0	260.0	12.0	6.0	Local transmission	0.0														
Czechia	995.0	91.0	0.0	0.0	Local transmission	0.0														
