Reporting Country/ Territory/Area†	Total confirmed ‡ cases	Total confirmed new cases	Total deaths	Total new deaths	Transmission classification§	Days since last reported case	Iraq	233	19	20	3	Local transmission	0	Territories**	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6
Western Pacific Region	 	 	 	 	 	 														
China	81601.0	103.0	3276.0	9.0	Local transmission	0.0														
Republic of Korea	8961.0	64.0	111.0	7.0	Local transmission	0.0														
Australia	1396.0	315.0	7.0	0.0	Local transmission	0.0														
Malaysia	1306.0	123.0	10.0	7.0	Local transmission	0.0														
Japan	1089.0	43.0	41.0	5.0	Local transmission	0.0														
Singapore	455.0	23.0	2.0	0.0	Local transmission	0.0														
Philippines	380.0	73.0	25.0	6.0	Local transmission	0.0														
Viet Nam	113.0	19.0	0.0	0.0	Local transmission	0.0														
New Zealand	102.0	36.0	0.0	0.0	Local transmission	0.0														
Brunei Darussalam	88.0	5.0	0.0	0.0	Local transmission	0.0														
Cambodia	84.0	31.0	0.0	0.0	Local transmission	0.0														
Mongolia	10.0	0.0	0.0	0.0	Imported cases only	1.0														
Fiji	2.0	0.0	0.0	0.0	Local transmission	1.0														
Papua New Guinea	1.0	0.0	0.0	0.0	Imported cases only	2.0														
Territories**	 	 	 	 	 	 														
Guam	27.0	12.0	1.0	1.0	Local transmission	0.0														
French Polynesia	17.0	2.0	0.0	0.0	Local transmission	0.0														
New Caledonia	5.0	1.0	0.0	0.0	Imported cases only	0.0														
European Region ^	 	 	 	 	 	 														
Italy	59138.0	5560.0	5476.0	649.0	Local transmission	0.0														
Spain	28572.0	3646.0	1720.0	394.0	Local transmission	0.0														
Germany	24774.0	3311.0	94.0	27.0	Local transmission	0.0														
France	15821.0	1525.0	674.0	112.0	Local transmission	0.0														
Switzerland	6971.0	894.0	60.0	4.0	Local transmission	0.0														
The United Kingdom	5687.0	669.0	281.0	48.0	Local transmission	0.0														
Netherlands	4204.0	573.0	179.0	43.0	Local transmission	0.0														
Austria	3631.0	607.0	16.0	8.0	Local transmission	0.0														
Belgium	3401.0	586.0	75.0	8.0	Local transmission	0.0														
Norway	2132.0	206.0	7.0	0.0	Local transmission	0.0														
Sweden	1906.0	160.0	21.0	1.0	Local transmission	0.0														
Portugal	1600.0	320.0	14.0	2.0	Local transmission	0.0														
Denmark	1395.0	69.0	13.0	0.0	Local transmission	0.0														
Turkey	1236.0	289.0	30.0	9.0	Local transmission	0.0														
Czechia	1165.0	170.0	1.0	1.0	Local transmission	0.0														
Israel	1071.0	188.0	1.0	0.0	Local transmission	0.0														
Ireland	906.0	121.0	4.0	1.0	Local transmission	0.0														
Luxembourg	798.0	128.0	8.0	0.0	Local transmission	0.0														
Poland	634.0	98.0	7.0	2.0	Local transmission	0.0														
Finland	626.0	105.0	1.0	0.0	Local transmission	0.0														
Greece	624.0	94.0	15.0	2.0	Local transmission	0.0														
Iceland	568.0	95.0	1.0	0.0	Local transmission	0.0														
Russian Federation	438.0	132.0	0.0	0.0	Local transmission	0.0														
Romania	433.0	66.0	2.0	2.0	Local transmission	0.0														
Slovenia	414.0	31.0	1.0	0.0	Local transmission	0.0														
Estonia	326.0	20.0	0.0	0.0	Local transmission	0.0														
Croatia	235.0	29.0	0.0	0.0	Local transmission	0.0														
Serbia	188.0	39.0	0.0	0.0	Local transmission	0.0														
Armenia	190.0	30.0	0.0	0.0	Local transmission	0.0														
Bulgaria	185.0	22.0	3.0	0.0	Local transmission	0.0														
Slovakia	185.0	7.0	0.0	0.0	Local transmission	0.0														
Hungary	167.0	36.0	7.0	3.0	Local transmission	0.0														
San Marino	151.0	0.0	20.0	0.0	Local transmission	2.0														
Lithuania	143.0	38.0	1.0	0.0	Local transmission	0.0														
Latvia	139.0	15.0	0.0	0.0	Local transmission	0.0														
Bosnia and Herzegovina	125.0	33.0	1.0	0.0	Local transmission	0.0														
North Macedonia	114.0	29.0	1.0	1.0	Local transmission	0.0														
Andorra	113.0	25.0	0.0	0.0	Local transmission	0.0														
Cyprus	95.0	11.0	0.0	0.0	Local transmission	0.0														
Republic of Moldova	94.0	14.0	1.0	0.0	Local transmission	0.0														
Malta	90.0	17.0	0.0	0.0	Local transmission	0.0														
Albania	89.0	13.0	2.0	0.0	Local transmission	0.0														
Belarus	76.0	0.0	0.0	0.0	Local transmission	1.0														
Azerbaijan	65.0	12.0	1.0	0.0	Local transmission	0.0														
Kazakhstan	60.0	4.0	0.0	0.0	Imported cases only	0.0														
Georgia	54.0	5.0	0.0	0.0	Local transmission	0.0														
Ukraine	47.0	0.0	3.0	0.0	Local transmission	1.0														
Liechtenstein	46.0	10.0	0.0	0.0	Imported cases only	0.0														
Uzbekistan	46.0	13.0	0.0	0.0	Local transmission	0.0														
Monaco	23.0	5.0	0.0	0.0	Local transmission	0.0														
Montenegro	21.0	7.0	0.0	0.0	Imported cases only	0.0														
Kyrgyzstan	14.0	0.0	0.0	0.0	Imported cases only	1.0														
Holy See	1.0	0.0	0.0	0.0	Under investigation	16.0														
Territories**	 	 	 	 	 	 														
Faroe Islands	115.0	23.0	0.0	0.0	Local transmission	0.0														
Kosovo[1]	31.0	7.0	1.0	1.0	Local transmission	0.0														
Guernsey	17.0	16.0	0.0	0.0	Imported cases only	0.0														
Gibraltar	15.0	5.0	0.0	0.0	Under investigation	0.0														
Jersey	15.0	3.0	0.0	0.0	Imported cases only	0.0														
Greenland	2.0	0.0	0.0	0.0	Under investigation	4.0														
Isle of Man	2.0	0.0	0.0	0.0	Imported cases only	1.0														
South-East Asia Region	 	 	 	 	 	 														
Thailand	721.0	310.0	1.0	0.0	Local transmission	0.0														
Indonesia	514.0	64.0	48.0	10.0	Local transmission	0.0														
India	415.0	132.0	7.0	3.0	Local transmission	0.0														
Sri Lanka	82.0	10.0	0.0	0.0	Local transmission	0.0														
Bangladesh	27.0	3.0	2.0	0.0	Local transmission	0.0														
Maldives	13.0	0.0	0.0	0.0	Local transmission	7.0														
Bhutan	2.0	0.0	0.0	0.0	Imported cases only	3.0														
Nepal	1.0	0.0	0.0	0.0	Imported cases only	59.0														
Timor-Leste	1.0	0.0	0.0	0.0	Imported cases only	2.0														
Eastern Mediterranean Region	 	 	 	 	 	 														
Iran (Islamic Republic of)	21638.0	1028.0	1685.0	129.0	Local transmission	0.0														
Pakistan	784.0	289.0	5.0	2.0	Local transmission	0.0														
Saudi Arabia	511.0	119.0	0.0	0.0	Local transmission	0.0														
Qatar	494.0	24.0	0.0	0.0	Local transmission	0.0														
Bahrain	337.0	31.0	2.0	1.0	Local transmission	0.0														
Egypt	327.0	42.0	14.0	6.0	Local transmission	0.0														
