Reporting Country/ Territory/Area†	Total confirmed ‡ cases	Total confirmed new cases	Total deaths	Total new deaths	Transmission classification§	Days since last reported case	Lebanon	267	19	4	0	Local transmission	0.1	Niger	2	1	Imported cases only	0.2
Western Pacific Region	 	 	 	 	 	 												
China	81747.0	146.0	3283.0	7.0	Local transmission	0.0												
Republic of Korea	9037.0	76.0	120.0	9.0	Local transmission	0.0												
Australia	1709.0	313.0	7.0	0.0	Local transmission	0.0												
Malaysia	1518.0	212.0	14.0	4.0	Local transmission	0.0												
Japan	1128.0	39.0	42.0	1.0	Local transmission	0.0												
Singapore	507.0	52.0	2.0	0.0	Local transmission	0.0												
Philippines	462.0	82.0	33.0	8.0	Local transmission	0.0												
Viet Nam	123.0	10.0	0.0	0.0	Local transmission	0.0												
New Zealand	102.0	0.0	0.0	0.0	Local transmission	1.0												
Brunei Darussalam	91.0	3.0	0.0	0.0	Local transmission	0.0												
Cambodia	87.0	3.0	0.0	0.0	Local transmission	0.0												
Mongolia	10.0	0.0	0.0	0.0	Imported cases only	2.0												
Fiji	3.0	1.0	0.0	0.0	Local transmission	0.0												
Papua New Guinea	1.0	0.0	0.0	0.0	Imported cases only	3.0												
Territories**	 	 	 	 	 	 												
Guam	29.0	2.0	1.0	0.0	Local transmission	0.0												
French Polynesia	18.0	1.0	0.0	0.0	Local transmission	0.0												
New Caledonia	8.0	3.0	0.0	0.0	Imported cases only	0.0												
European Region	 	 	 	 	 	 												
Italy	63927.0	4789.0	6077.0	601.0	Local transmission	0.0												
Spain	33089.0	4517.0	2182.0	462.0	Local transmission	0.0												
Germany	29212.0	4438.0	126.0	32.0	Local transmission	0.0												
France	19615.0	3794.0	860.0	186.0	Local transmission	0.0												
Switzerland	8015.0	1044.0	66.0	6.0	Local transmission	0.0												
The United Kingdom	6654.0	967.0	335.0	54.0	Local transmission	0.0												
Netherlands	4749.0	545.0	213.0	34.0	Local transmission	0.0												
Austria	4486.0	855.0	25.0	9.0	Local transmission	0.0												
Belgium	3743.0	342.0	88.0	13.0	Local transmission	0.0												
Norway	2371.0	239.0	8.0	1.0	Local transmission	0.0												
Portugal	2060.0	460.0	23.0	9.0	Local transmission	0.0												
