Reporting Country/ Territory/Area†	Total confirmed ‡ cases	Total confirmed new cases	Total deaths	Total new deaths	Transmission classification§	Days since last reported case	Egypt	402	36	20	1	Local transmission	0	Mozambique	3	2	0.1	Imported cases only	0.2
Western Pacific Region	 	 	 	 	 	 													
China	81848.0	101.0	3287.0	4.0	Local transmission	0.0													
Republic of Korea	9137.0	100.0	126.0	6.0	Local transmission	0.0													
Australia	2252.0	543.0	8.0	1.0	Local transmission	0.0													
Malaysia	1624.0	106.0	16.0	2.0	Local transmission	0.0													
Japan	1193.0	65.0	43.0	1.0	Local transmission	0.0													
Singapore	558.0	51.0	2.0	0.0	Local transmission	0.0													
Philippines	552.0	90.0	35.0	2.0	Local transmission	0.0													
New Zealand	189.0	87.0	0.0	0.0	Local transmission	0.0													
Viet Nam	134.0	11.0	0.0	0.0	Local transmission	0.0													
Brunei Darussalam	104.0	13.0	0.0	0.0	Local transmission	0.0													
Cambodia	91.0	4.0	0.0	0.0	Local transmission	0.0													
Mongolia	10.0	0.0	0.0	0.0	Imported cases only	3.0													
Fiji	4.0	1.0	0.0	0.0	Local transmission	0.0													
Lao People's Democratic Republic	2.0	2.0	0.0	0.0	Under investigation	0.0													
Papua New Guinea	1.0	0.0	0.0	0.0	Imported cases only	4.0													
Territories**	 	 	 	 	 	 													
Guam	32.0	3.0	1.0	0.0	Local transmission	0.0													
French Polynesia	25.0	7.0	0.0	0.0	Local transmission	0.0													
New Caledonia	10.0	2.0	0.0	0.0	Local transmission	0.0													
European Region	 	 	 	 	 	 													
Italy	69176.0	5249.0	6820.0	743.0	Local transmission	0.0													
Spain	39673.0	6584.0	2696.0	514.0	Local transmission	0.0													
Germany	31554.0	2342.0	149.0	23.0	Local transmission	0.0													
France	22025.0	2410.0	1100.0	240.0	Local transmission	0.0													
Switzerland	8789.0	774.0	86.0	20.0	Local transmission	0.0													
The United Kingdom	8081.0	1427.0	422.0	87.0	Local transmission	0.0													
Netherlands	5560.0	811.0	276.0	63.0	Local transmission	0.0													
Austria	5282.0	796.0	30.0	5.0	Local transmission	0.0													
Belgium	4269.0	526.0	122.0	34.0	Local transmission	0.0													
Norway	2566.0	195.0	10.0	2.0	Local transmission	0.0													
Portugal	2362.0	302.0	33.0	10.0	Local transmission	0.0													
Sweden	2272.0	256.0	36.0	11.0	Local transmission	0.0													
Israel	2170.0	932.0	5.0	4.0	Local transmission	0.0													
Turkey	1872.0	343.0	44.0	7.0	Local transmission	0.0													
Denmark	1591.0	131.0	32.0	8.0	Local transmission	0.0													
Czechia	1394.0	158.0	3.0	2.0	Local transmission	0.0													
Ireland	1329.0	204.0	7.0	1.0	Local transmission	0.0													
Luxembourg	1099.0	224.0	8.0	0.0	Local transmission	0.0													
Poland	901.0	152.0	10.0	2.0	Local transmission	0.0													
Finland	792.0	92.0	1.0	0.0	Local transmission	0.0													
Romania	762.0	186.0	11.0	4.0	Local transmission	0.0													
Greece	743.0	48.0	20.0	3.0	Local transmission	0.0													
Russian Federation	658.0	220.0	0.0	0.0	Local transmission	0.0													
Iceland	648.0	60.0	2.0	0.0	Local transmission	0.0													
Slovenia	480.0	38.0	3.0	2.0	Local transmission	0.0													
Croatia	382.0	76.0	1.0	1.0	Local transmission	0.0													
Estonia	369.0	17.0	0.0	0.0	Local transmission	0.0													
Serbia	303.0	54.0	3.0	1.0	Local transmission	0.0													
Armenia	265.0	30.0	0.0	0.0	Local transmission	0.0													
Hungary	226.0	39.0	10.0	2.0	Local transmission	0.0													
Bulgaria	220.0	19.0	3.0	0.0	Local transmission	0.0													
Lithuania	209.0	30.0	2.0	1.0	Local transmission	0.0													
Slovakia	204.0	13.0	0.0	0.0	Local transmission	0.0													
Latvia	197.0	17.0	0.0	0.0	Local transmission	0.0													
Andorra	188.0	24.0	1.0	0.0	Local transmission	0.0													
San Marino	187.0	0.0	21.0	1.0	Local transmission	1.0													
Bosnia and Herzegovina	164.0	33.0	2.0	1.0	Local transmission	0.0													
North Macedonia	148.0	12.0	2.0	0.0	Local transmission	0.0													
Albania	146.0	23.0	5.0	1.0	Local transmission	0.0													
Republic of Moldova	125.0	16.0	1.0	0.0	Local transmission	0.0													
Cyprus	124.0	8.0	3.0	3.0	Local transmission	0.0													
Malta	120.0	13.0	0.0	0.0	Local transmission	0.0													
Ukraine	113.0	29.0	4.0	1.0	Local transmission	0.0													
Azerbaijan	87.0	15.0	1.0	0.0	Local transmission	0.0													
Belarus	81.0	0.0	0.0	0.0	Local transmission	1.0													
Kazakhstan	79.0	16.0	0.0	0.0	Imported cases only	0.0													
Georgia	73.0	6.0	0.0	0.0	Local transmission	0.0													
Uzbekistan	50.0	4.0	0.0	0.0	Local transmission	0.0													
Liechtenstein	47.0	1.0	0.0	0.0	Imported cases only	0.0													
Kyrgyzstan	42.0	26.0	0.0	0.0	Local transmission	0.0													
Montenegro	29.0	7.0	0.0	0.0	Imported cases only	0.0													
Monaco	23.0	0.0	0.0	0.0	Local transmission	2.0													
Holy See	1.0	0.0	0.0	0.0	Under investigation	18.0													
Territories**	 	 	 	 	 	 													
Faroe Islands	122.0	4.0	0.0	0.0	Local transmission	0.0													
Kosovo[1]	63.0	2.0	1.0	0.0	Local transmission	0.0													
Guernsey	23.0	3.0	0.0	0.0	Local transmission	0.0													
Isle of Man	23.0	10.0	0.0	0.0	Imported cases only	0.0													
Jersey	16.0	0.0	0.0	0.0	Local transmission	1.0													
Gibraltar	15.0	0.0	0.0	0.0	Local transmission	2.0													
Greenland	4.0	0.0	0.0	0.0	Under investigation	1.0													
South-East Asia Region	 	 	 	 	 	 													
Thailand	934.0	107.0	4.0	0.0	Local transmission	0.0													
Indonesia	686.0	107.0	55.0	6.0	Local transmission	0.0													
India	562.0	128.0	9.0	0.0	Local transmission	0.0													
Sri Lanka	102.0	5.0	0.0	0.0	Local transmission	0.0													
