Reporting Country/ Territory/Area†	Total confirmed ‡ cases	Total confirmed new cases	Total deaths	Total new deaths	Transmission classification§	Days since last reported case	Egypt	456	54	21	1	Local transmission	0	Cabo Verde	3	0.1	0.2	Imported cases only	4
Western Pacific Region	 	 	 	 	 	 													
China	81961.0	113.0	3293.0	6.0	Local transmission	0.0													
Republic of Korea	9241.0	104.0	131.0	5.0	Local transmission	0.0													
Australia	2799.0	547.0	11.0	3.0	Local transmission	0.0													
Malaysia	1796.0	172.0	19.0	3.0	Local transmission	0.0													
Japan	1291.0	98.0	45.0	2.0	Local transmission	0.0													
Philippines	636.0	84.0	38.0	3.0	Local transmission	0.0													
Singapore	631.0	73.0	2.0	0.0	Local transmission	0.0													
New Zealand	262.0	73.0	0.0	0.0	Local transmission	0.0													
Viet Nam	141.0	7.0	0.0	0.0	Local transmission	0.0													
Brunei Darussalam	109.0	5.0	0.0	0.0	Local transmission	0.0													
Cambodia	96.0	5.0	0.0	0.0	Local transmission	0.0													
Mongolia	10.0	0.0	0.0	0.0	Imported cases only	4.0													
Fiji	5.0	1.0	0.0	0.0	Local transmission	0.0													
Lao People's Democratic Republic	3.0	1.0	0.0	0.0	Under investigation	0.0													
Papua New Guinea	1.0	0.0	0.0	0.0	Imported cases only	5.0													
Territories**	 	 	 	 	 	 													
Guam	37.0	5.0	1.0	0.0	Local transmission	0.0													
French Polynesia	25.0	0.0	0.0	0.0	Local transmission	1.0													
New Caledonia	14.0	4.0	0.0	0.0	Local transmission	0.0													
European Region	 	 	 	 	 	 													
Italy	74386.0	5210.0	7505.0	685.0	Local transmission	0.0													
Spain	47610.0	7937.0	3434.0	738.0	Local transmission	0.0													
Germany	36508.0	4954.0	198.0	49.0	Local transmission	0.0													
France	24920.0	2895.0	1331.0	231.0	Local transmission	0.0													
Switzerland	9714.0	925.0	103.0	17.0	Local transmission	0.0													
The United Kingdom	9533.0	1452.0	463.0	41.0	Local transmission	0.0													
Netherlands	6412.0	852.0	356.0	80.0	Local transmission	0.0													
Austria	5888.0	606.0	34.0	4.0	Local transmission	0.0													
Belgium	4937.0	668.0	178.0	56.0	Local transmission	0.0													
Portugal	2995.0	633.0	43.0	10.0	Local transmission	0.0													
Norway	2916.0	350.0	12.0	2.0	Local transmission	0.0													
Sweden	2510.0	238.0	42.0	6.0	Local transmission	0.0													
Turkey	2433.0	561.0	59.0	15.0	Local transmission	0.0													
Israel	2369.0	199.0	5.0	0.0	Local transmission	0.0													
Denmark	1724.0	133.0	34.0	2.0	Local transmission	0.0													
Czechia	1654.0	260.0	6.0	3.0	Local transmission	0.0													
Ireland	1564.0	235.0	9.0	2.0	Local transmission	0.0													
Luxembourg	1333.0	234.0	8.0	0.0	Local transmission	0.0													
Poland	1051.0	150.0	14.0	4.0	Local transmission	0.0													
Romania	906.0	144.0	13.0	2.0	Local transmission	0.0													
Finland	880.0	88.0	3.0	2.0	Local transmission	0.0													
Russian Federation	840.0	182.0	2.0	2.0	Local transmission	0.0													
Greece	821.0	78.0	22.0	2.0	Local transmission	0.0													
Iceland	737.0	89.0	2.0	0.0	Local transmission	0.0													
Slovenia	528.0	48.0	4.0	1.0	Local transmission	0.0													
Croatia	418.0	36.0	1.0	0.0	Local transmission	0.0													
Estonia	404.0	35.0	1.0	1.0	Local transmission	0.0													
Serbia	384.0	81.0	4.0	1.0	Local transmission	0.0													
Armenia	290.0	25.0	0.0	0.0	Local transmission	0.0													
Lithuania	274.0	65.0	4.0	2.0	Local transmission	0.0													
Hungary	261.0	35.0	10.0	0.0	Local transmission	0.0													
Bulgaria	242.0	22.0	3.0	0.0	Local transmission	0.0													
Latvia	221.0	24.0	0.0	0.0	Local transmission	0.0													
Slovakia	216.0	12.0	0.0	0.0	Local transmission	0.0													
Andorra	213.0	25.0	3.0	2.0	Local transmission	0.0													
San Marino	208.0	21.0	21.0	0.0	Local transmission	0.0													
North Macedonia	177.0	29.0	2.0	0.0	Local transmission	0.0													
Albania	174.0	28.0	5.0	0.0	Local transmission	0.0													
Bosnia and Herzegovina	173.0	9.0	3.0	1.0	Local transmission	0.0													
Ukraine	156.0	43.0	5.0	1.0	Local transmission	0.0													
Republic of Moldova	149.0	24.0	1.0	0.0	Local transmission	0.0													
Cyprus	132.0	8.0	3.0	0.0	Local transmission	0.0													
Malta	129.0	9.0	0.0	0.0	Local transmission	0.0													
Kazakhstan	97.0	18.0	0.0	0.0	Imported cases only	0.0													
Azerbaijan	93.0	6.0	2.0	1.0	Local transmission	0.0													
Belarus	86.0	5.0	0.0	0.0	Local transmission	0.0													
Georgia	77.0	4.0	0.0	0.0	Local transmission	0.0													
Uzbekistan	65.0	15.0	0.0	0.0	Local transmission	0.0													
Montenegro	52.0	23.0	1.0	1.0	Imported cases only	0.0													
Liechtenstein	51.0	4.0	0.0	0.0	Imported cases only	0.0													
Kyrgyzstan	44.0	2.0	0.0	0.0	Local transmission	0.0													
Monaco	23.0	0.0	0.0	0.0	Local transmission	3.0													
Holy See	4.0	3.0	0.0	0.0	Under investigation	0.0													
Territories**	 	 	 	 	 	 													
Faroe Islands	132.0	10.0	0.0	0.0	Local transmission	0.0													
Kosovo[1]	71.0	8.0	1.0	0.0	Local transmission	0.0													
Guernsey	30.0	7.0	0.0	0.0	Local transmission	0.0													
Gibraltar	26.0	11.0	0.0	0.0	Local transmission	0.0													
Isle of Man	23.0	0.0	0.0	0.0	Imported cases only	1.0													
Jersey	18.0	2.0	0.0	0.0	Local transmission	0.0													
Greenland	5.0	1.0	0.0	0.0	Under investigation	0.0													
South-East Asia Region	 	 	 	 	 	 													
Thailand	934.0	0.0	4.0	0.0	Local transmission	1.0													
Indonesia	790.0	104.0	58.0	3.0	Local transmission	0.0													
India	649.0	87.0	13.0	4.0	Local transmission	0.0													
Sri Lanka	102.0	0.0	0.0	0.0	Local transmission	1.0													
Bangladesh	39.0	0.0	4.0	0.0	Local transmission	1.0													
Maldives	13.0	0.0	0.0	0.0	Local transmission	10.0													
Myanmar	3.0	0.0	0.0	0.0	Imported cases only	1.0													
Nepal	3.0	1.0	0.0	0.0	Imported cases only	0.0													
Bhutan	2.0	0.0	0.0	0.0	Imported cases only	6.0													
Timor-Leste	1.0	0.0	0.0	0.0	Imported cases only	5.0													
Eastern Mediterranean Region	 	 	 	 	 	 													
Iran (Islamic Republic of)	27017.0	2206.0	2077.0	143.0	Local transmission	0.0													
Pakistan	1057.0	66.0	8.0	1.0	Local transmission	0.0													
Saudi Arabia	900.0	133.0	2.0	1.0	Local transmission	0.0													
Qatar	537.0	11.0	0.0	0.0	Local transmission	0.0													
							Bahrain	419.0	27.0	4.0	1.0	Local transmission	0.0						
							Iraq	346.0	30.0	29.0	2.0	Local transmission	0.0						
							Lebanon	333.0	29.0	4.0	0.0	Local transmission	0.0						
							United Arab Emirates	333.0	85.0	2.0	0.0	Local transmission	0.0						
							Morocco	225.0	55.0	6.0	1.0	Local transmission	0.0						
							Kuwait	208.0	13.0	0.0	0.0	Local transmission	0.0						
							Tunisia	173.0	59.0	5.0	2.0	Local transmission	0.0						
							Jordan	172.0	19.0	0.0	0.0	Local transmission	0.0						
							Oman	99.0	0.0	0.0	0.0	Local transmission	1.0						
							Afghanistan	80.0	6.0	2.0	1.0	Local transmission	0.0						
							Djibouti	12.0	9.0	0.0	0.0	Local transmission	0.0						
							Syrian Arab Republic	5.0	4.0	0.0	0.0	Imported cases only	0.0						
							Sudan	3.0	0.0	1.0	0.0	Imported cases only	1.0						
							Somalia	2.0	1.0	0.0	0.0	Imported cases only	0.0						
							Libya	1.0	0.0	0.0	0.0	Imported cases only	1.0						
							Territories**	 	 	 	 	 	 						
							occupied Palestinian territory	64.0	4.0	1.0	1.0	Local transmission	0.0						
							Region of the Americas	 	 	 	 	 	 						
							United States of America	63570.0	11656.0	884.0	211.0	Local transmission	0.0						
							Canada	3409.0	1670.0	35.0	10.0	Local transmission	0.0						
							Brazil	2433.0	232.0	57.0	11.0	Local transmission	0.0						
							Ecuador	1211.0	162.0	29.0	2.0	Local transmission	0.0						
							Chile	1142.0	220.0	3.0	1.0	Local transmission	0.0						
							Panama	558.0	213.0	8.0	2.0	Local transmission	0.0						
							Peru	480.0	64.0	9.0	4.0	Local transmission	0.0						
							Mexico	478.0	108.0	5.0	1.0	Local transmission	0.0						
							Colombia	470.0	164.0	4.0	1.0	Local transmission	0.0						
							Dominican Republic	392.0	80.0	10.0	4.0	Local transmission	0.0						
							Argentina	387.0	86.0	6.0	2.0	Local transmission	0.0						
