Unnamed: 0	Announcement posted on the WHO Event Information Site (EIS)	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	TOTAL new reports	Reporting Country/ Territory/Area†	Total confirmed ‡ cases	Total confirmed new cases	Total deaths	Total new deaths	Transmission classification§	Days since last reported case	Egypt	495	39	24	3	Local transmission	0	Chad	5	2	0.1	Imported cases only	0.2
WHO Region	6 Feb	12 Feb	21 Feb	28 Feb	5 Mar	12 Mar	19 Mar	26 Mar	 																				
AFR	-	1	-	-	-	-	-	22 (#) 1 update	23.0																				
AMR	10	2	-	-	1* 5* updates	1	11 12 updates	6 17 updates	31.0																				
EMR	-	1	-	1* 1* update	1*	-	1 1 update	1	5.0																				
EUR	2	1	2	5 (3*) 1* update	2*	5 3 updates	18 19 updates	6 20 updates	41.0																				
SEAR	1	-	-	-	-	-	6	4 8 updates	11.0																				
WPR	9	3	2	1* 6* updates	- 8* updates	updates 3	2 4 updates	8 12 updates	25.0																				
TOTAL	22	8	4	7	4	6	38	47	136.0																				
the UN and for recovery. 3/26/2020 3/24/2020 on the	 	 	 	 	 	 	 	 	 																				
 	 	 	 	 	 	 	 	 	 																				
										Western Pacific Region	 	 	 	 	 	 													
										China	82078.0	117.0	3298.0	5.0	Local transmission	0.0													
										Republic of Korea	9332.0	91.0	139.0	8.0	Local transmission	0.0													
										Australia	2985.0	186.0	13.0	2.0	Local transmission	0.0													
										Malaysia	2031.0	235.0	23.0	4.0	Local transmission	0.0													
										Japan	1387.0	96.0	46.0	1.0	Local transmission	0.0													
										Philippines	707.0	71.0	45.0	7.0	Local transmission	0.0													
										Singapore	683.0	52.0	2.0	0.0	Local transmission	0.0													
										New Zealand	338.0	76.0	0.0	0.0	Local transmission	0.0													
										Viet Nam	153.0	12.0	0.0	0.0	Local transmission	0.0													
										Brunei Darussalam	114.0	5.0	0.0	0.0	Local transmission	0.0													
										Cambodia	98.0	2.0	0.0	0.0	Local transmission	0.0													
										Mongolia	11.0	1.0	0.0	0.0	Imported cases only	0.0													
										Lao People's Democratic Republic	6.0	3.0	0.0	0.0	Under investigation	0.0													
										Fiji	5.0	0.0	0.0	0.0	Local transmission	1.0													
										Papua New Guinea	1.0	0.0	0.0	0.0	Imported cases only	6.0													
										Territories**	 	 	 	 	 	 													
										Guam	45.0	8.0	1.0	0.0	Local transmission	0.0													
										French Polynesia	30.0	5.0	0.0	0.0	Local transmission	0.0													
										New Caledonia	14.0	0.0	0.0	0.0	Local transmission	1.0													
										European Region	 	 	 	 	 	 													
										Italy	80539.0	6153.0	8165.0	660.0	Local transmission	0.0													
										Spain	56188.0	8578.0	4089.0	655.0	Local transmission	0.0													
										Germany	42288.0	5780.0	253.0	55.0	Local transmission	0.0													
										France	28786.0	3866.0	1695.0	364.0	Local transmission	0.0													
										The United Kingdom	11662.0	2129.0	578.0	115.0	Local transmission	0.0													
										Switzerland	10714.0	1000.0	161.0	58.0	Local transmission	0.0													
										Netherlands	7431.0	1019.0	434.0	78.0	Local transmission	0.0													
										Austria	7029.0	1141.0	52.0	18.0	Local transmission	0.0													
										Belgium	6235.0	1298.0	220.0	42.0	Local transmission	0.0													
										Turkey	3629.0	1196.0	75.0	16.0	Local transmission	0.0													
										Portugal	3544.0	549.0	60.0	17.0	Local transmission	0.0													
										Norway	3156.0	240.0	14.0	2.0	Local transmission	0.0													
										Israel	3035.0	666.0	10.0	5.0	Local transmission	0.0													
										Sweden	2806.0	296.0	66.0	24.0	Local transmission	0.0													
										Czechia	2062.0	408.0	9.0	3.0	Local transmission	0.0													
										Denmark	1877.0	153.0	41.0	7.0	Local transmission	0.0													
										Ireland	1819.0	255.0	19.0	10.0	Local transmission	0.0													
										Luxembourg	1453.0	120.0	9.0	1.0	Local transmission	0.0													
										Poland	1221.0	170.0	16.0	2.0	Local transmission	0.0													
										Russian Federation	1036.0	196.0	3.0	1.0	Local transmission	0.0													
										Romania	1029.0	123.0	17.0	4.0	Local transmission	0.0													
										Finland	958.0	78.0	4.0	1.0	Local transmission	0.0													
										Greece	892.0	71.0	26.0	4.0	Local transmission	0.0													
										Iceland	802.0	65.0	2.0	0.0	Local transmission	0.0													
										Slovenia	577.0	49.0	5.0	1.0	Local transmission	0.0													
										Estonia	538.0	134.0	1.0	0.0	Local transmission	0.0													
										Croatia	495.0	77.0	2.0	1.0	Local transmission	0.0													
										Serbia	457.0	73.0	7.0	3.0	Local transmission	0.0													
										Armenia	329.0	39.0	1.0	1.0	Local transmission	0.0													
										Hungary	300.0	39.0	10.0	0.0	Local transmission	0.0													
										Lithuania	299.0	25.0	4.0	0.0	Local transmission	0.0													
										Bulgaria	264.0	22.0	3.0	0.0	Local transmission	0.0													
										Latvia	244.0	23.0	0.0	0.0	Local transmission	0.0													
										Andorra	231.0	18.0	3.0	0.0	Local transmission	0.0													
										Slovakia	226.0	10.0	0.0	0.0	Local transmission	0.0													
										San Marino	218.0	10.0	21.0	0.0	Local transmission	0.0													
										Ukraine	218.0	62.0	5.0	0.0	Local transmission	0.0													
										Bosnia and Herzegovina	213.0	40.0	3.0	0.0	Local transmission	0.0													
										North Macedonia	201.0	24.0	3.0	1.0	Local transmission	0.0													
										Albania	186.0	12.0	8.0	3.0	Local transmission	0.0													
										Republic of Moldova	177.0	28.0	2.0	1.0	Local transmission	0.0													
										Cyprus	146.0	14.0	3.0	0.0	Local transmission	0.0													
										Malta	134.0	5.0	0.0	0.0	Local transmission	0.0													
										Kazakhstan	125.0	28.0	0.0	0.0	Imported cases only	0.0													
										Azerbaijan	122.0	29.0	3.0	1.0	Local transmission	0.0													
										Belarus	86.0	0.0	0.0	0.0	Local transmission	1.0													
										Uzbekistan	83.0	18.0	0.0	0.0	Local transmission	0.0													
										Georgia	81.0	4.0	0.0	0.0	Local transmission	0.0													
										Montenegro	67.0	15.0	1.0	0.0	Local transmission	0.0													
										Kyrgyzstan	58.0	14.0	0.0	0.0	Local transmission	0.0													
										Liechtenstein	56.0	5.0	0.0	0.0	Imported cases only	0.0													
										Monaco	19.0	0.0	0.0	0.0	Local transmission	4.0													
										Holy See	4.0	0.0	0.0	0.0	Under investigation	1.0													
										Territories**	 	 	 	 	 	 													
										Faroe Islands	140.0	8.0	0.0	0.0	Local transmission	0.0													
										Kosovo[1]	79.0	8.0	1.0	0.0	Local transmission	0.0													
										Gibraltar	35.0	9.0	0.0	0.0	Local transmission	0.0													
										Guernsey	34.0	4.0	0.0	0.0	Local transmission	0.0													
