Reporting Country/ Territory/Area†	Total confirmed ‡ cases	Total confirmed new cases	Total deaths	Total new deaths	Transmission classification§	Days since last reported case	Egypt	536	41	30	6	Local transmission	0	Benin	0.1	0.2	Imported cases only	1
Western Pacific Region	 	 	 	 	 	 												
China	82213.0	135.0	3301.0	3.0	Local transmission	0.0												
Republic of Korea	9478.0	146.0	144.0	5.0	Local transmission	0.0												
Australia	3635.0	650.0	14.0	1.0	Local transmission	0.0												
Malaysia	2161.0	130.0	26.0	3.0	Local transmission	0.0												
Japan	1499.0	112.0	49.0	3.0	Local transmission	0.0												
Philippines	803.0	96.0	54.0	9.0	Local transmission	0.0												
Singapore	732.0	49.0	2.0	0.0	Local transmission	0.0												
New Zealand	416.0	78.0	0.0	0.0	Local transmission	0.0												
Viet Nam	169.0	16.0	0.0	0.0	Local transmission	0.0												
Brunei Darussalam	115.0	1.0	1.0	1.0	Local transmission	0.0												
Cambodia	104.0	6.0	0.0	0.0	Local transmission	0.0												
Mongolia	12.0	1.0	0.0	0.0	Imported cases only	0.0												
Lao People's Democratic Republic	6.0	0.0	0.0	0.0	Local transmission	1.0												
Fiji	5.0	0.0	0.0	0.0	Local transmission	2.0												
Papua New Guinea	1.0	0.0	0.0	0.0	Imported cases only	7.0												
Territories**	 	 	 	 	 	 												
Guam	51.0	6.0	1.0	0.0	Local transmission	0.0												
French Polynesia	30.0	0.0	0.0	0.0	Local transmission	1.0												
New Caledonia	15.0	1.0	0.0	0.0	Local transmission	0.0												
European Region	 	 	 	 	 	 												
Italy	86498.0	5959.0	9136.0	971.0	Local transmission	0.0												
Spain	64059.0	7871.0	4858.0	769.0	Local transmission	0.0												
Germany	48582.0	6294.0	325.0	72.0	Local transmission	0.0												
France	32542.0	3756.0	1992.0	297.0	Local transmission	0.0												
The United Kingdom	14547.0	2885.0	759.0	181.0	Local transmission	0.0												
Switzerland	12104.0	1390.0	197.0	36.0	Local transmission	0.0												
Netherlands	8603.0	1172.0	546.0	112.0	Local transmission	0.0												
Austria	7697.0	668.0	68.0	16.0	Local transmission	0.0												
Belgium	7284.0	1049.0	289.0	69.0	Local transmission	0.0												
Turkey	5698.0	2069.0	92.0	17.0	Local transmission	0.0												
Portugal	4268.0	724.0	76.0	16.0	Local transmission	0.0												
Norway	3581.0	425.0	16.0	2.0	Local transmission	0.0												
Israel	3460.0	425.0	12.0	2.0	Local transmission	0.0												
Sweden	3046.0	240.0	92.0	26.0	Local transmission	0.0												
Czechia	2279.0	217.0	9.0	0.0	Local transmission	0.0												
Ireland	2121.0	302.0	22.0	3.0	Local transmission	0.0												
Denmark	2046.0	169.0	52.0	11.0	Local transmission	0.0												
Luxembourg	1605.0	152.0	15.0	6.0	Local transmission	0.0												
Poland	1389.0	168.0	16.0	0.0	Local transmission	0.0												
Romania	1292.0	263.0	24.0	7.0	Local transmission	0.0												
Russian Federation	1264.0	228.0	4.0	1.0	Local transmission	0.0												
Finland	1025.0	67.0	7.0	3.0	Local transmission	0.0												
Greece	966.0	74.0	28.0	2.0	Local transmission	0.0												
Iceland	890.0	88.0	2.0	0.0	Local transmission	0.0												
Slovenia	632.0	55.0	9.0	4.0	Local transmission	0.0												
Croatia	586.0	91.0	3.0	1.0	Local transmission	0.0												
Estonia	575.0	37.0	1.0	0.0	Local transmission	0.0												
Serbia	528.0	71.0	7.0	0.0	Local transmission	0.0												
Armenia	372.0	43.0	1.0	0.0	Local transmission	0.0												
Lithuania	358.0	59.0	5.0	1.0	Local transmission	0.0												
Hungary	343.0	43.0	11.0	1.0	Local transmission	0.0												
Ukraine	311.0	93.0	8.0	3.0	Local transmission	0.0												
Slovakia	295.0	69.0	0.0	0.0	Local transmission	0.0												
Bulgaria	293.0	29.0	3.0	0.0	Local transmission	0.0												
Andorra	289.0	58.0	3.0	0.0	Local transmission	0.0												
Latvia	280.0	36.0	0.0	0.0	Local transmission	0.0												
Bosnia and Herzegovina	233.0	20.0	4.0	1.0	Local transmission	0.0												
San Marino	228.0	10.0	21.0	0.0	Local transmission	0.0												
North Macedonia	219.0	18.0	3.0	0.0	Local transmission	0.0												
Kazakhstan	204.0	79.0	1.0	1.0	Imported cases only	0.0												
Republic of Moldova	199.0	22.0	2.0	0.0	Local transmission	0.0												
Albania	197.0	11.0	9.0	1.0	Local transmission	0.0												
Cyprus	162.0	16.0	5.0	2.0	Local transmission	0.0												
Azerbaijan	147.0	25.0	3.0	0.0	Local transmission	0.0												
Malta	139.0	5.0	0.0	0.0	Local transmission	0.0												
Uzbekistan	104.0	21.0	1.0	1.0	Local transmission	0.0												
Belarus	94.0	8.0	0.0	0.0	Local transmission	0.0												
Georgia	85.0	4.0	0.0	0.0	Local transmission	0.0												
Montenegro	70.0	3.0	1.0	0.0	Local transmission	0.0												
Liechtenstein	60.0	4.0	0.0	0.0	Imported cases only	0.0												
Kyrgyzstan	58.0	0.0	0.0	0.0	Local transmission	1.0												
Monaco	19.0	0.0	0.0	0.0	Local transmission	5.0												
Holy See	4.0	0.0	0.0	0.0	Under investigation	2.0												
Territories**	 	 	 	 	 	 												
Faroe Islands	144.0	4.0	0.0	0.0	Local transmission	0.0												
Kosovo[1]	88.0	9.0	1.0	0.0	Local transmission	0.0												
Gibraltar	55.0	20.0	0.0	0.0	Local transmission	0.0												
Jersey	52.0	20.0	1.0	0.0	Local transmission	0.0												
Guernsey	36.0	2.0	0.0	0.0	Local transmission	0.0												
