Reporting Country/ Territory/Area†	Total confirm ed‡ cases	Total confirmed new cases	Total deaths	Total new deaths	Transmission classification§	Days since last reported case	Iran (Islamic Republic of)	35408	3076	2517	139	Local transmission	0	Guinea	8	0.1	0.2	Imported cases only	1
Western Pacific Region	 	 	 	 	 	 													
China	82341.0	128.0	3306.0	5.0	Local transmission	0.0													
Republic of Korea	9583.0	105.0	152.0	8.0	Local transmission	0.0													
Australia	3966.0	331.0	16.0	2.0	Local transmission	0.0													
Malaysia	2320.0	159.0	27.0	1.0	Local transmission	0.0													
Japan	1693.0	194.0	52.0	3.0	Local transmission	0.0													
Philippines	1075.0	272.0	68.0	14.0	Local transmission	0.0													
Singapore	802.0	70.0	2.0	0.0	Local transmission	0.0													
New Zealand	476.0	60.0	1.0	1.0	Local transmission	0.0													
Viet Nam	179.0	10.0	0.0	0.0	Local transmission	0.0													
Brunei Darussalam	120.0	5.0	1.0	0.0	Local transmission	0.0													
Cambodia	102.0	0.0	0.0	0.0	Local transmission	1.0													
Mongolia	12.0	0.0	0.0	0.0	Imported cases only	1.0													
Lao People's Democratic Republic	6.0	0.0	0.0	0.0	Local transmission	2.0													
Fiji	5.0	0.0	0.0	0.0	Local transmission	3.0													
Papua New Guinea	1.0	0.0	0.0	0.0	Imported cases only	8.0													
Territories**	 	 	 	 	 	 													
Guam	56.0	5.0	1.0	0.0	Local transmission	0.0													
French Polynesia	34.0	4.0	0.0	0.0	Local transmission	0.0													
New Caledonia	15.0	0.0	0.0	0.0	Local transmission	1.0													
Northern Mariana Islands (Commonwealth of the)	2.0	2.0	0.0	0.0	Under investigation	0.0													
European Region	 	 	 	 	 	 													
Italy	92472.0	5974.0	10023.0	887.0	Local transmission	0.0													
Spain	72248.0	8189.0	5690.0	832.0	Local transmission	0.0													
Germany	52547.0	3965.0	389.0	64.0	Local transmission	0.0													
France	37145.0	4603.0	2311.0	319.0	Local transmission	0.0													
The United Kingdom	17093.0	2546.0	1019.0	260.0	Local transmission	0.0													
Switzerland	13152.0	1048.0	235.0	38.0	Local transmission	0.0													
Netherlands	9762.0	1159.0	639.0	93.0	Local transmission	0.0													
Belgium	9134.0	1850.0	353.0	64.0	Local transmission	0.0													
Austria	8291.0	594.0	68.0	0.0	Local transmission	0.0													
Turkey	7402.0	1704.0	108.0	16.0	Local transmission	0.0													
Portugal	5170.0	902.0	100.0	24.0	Local transmission	0.0													
Israel	3865.0	405.0	15.0	3.0	Local transmission	0.0													
Norway	3845.0	264.0	20.0	4.0	Local transmission	0.0													
Sweden	3447.0	401.0	102.0	10.0	Local transmission	0.0													
Czechia	2663.0	384.0	11.0	2.0	Local transmission	0.0													
Ireland	2415.0	294.0	36.0	14.0	Local transmission	0.0													
Denmark	2201.0	155.0	65.0	13.0	Local transmission	0.0													
Luxembourg	1831.0	226.0	18.0	3.0	Local transmission	0.0													
Poland	1638.0	249.0	18.0	2.0	Local transmission	0.0													
Russian Federation	1534.0	270.0	8.0	4.0	Local transmission	0.0													
Romania	1452.0	160.0	29.0	5.0	Local transmission	0.0													
Finland	1218.0	193.0	9.0	2.0	Local transmission	0.0													
Greece	1061.0	95.0	32.0	4.0	Local transmission	0.0													
Iceland	963.0	73.0	2.0	0.0	Local transmission	0.0													
Slovenia	691.0	59.0	9.0	0.0	Local transmission	0.0													
Serbia	659.0	131.0	10.0	3.0	Local transmission	0.0													
Croatia	657.0	71.0	5.0	2.0	Local transmission	0.0													
Estonia	640.0	65.0	1.0	0.0	Local transmission	0.0													
Armenia	424.0	52.0	3.0	2.0	Local transmission	0.0													
Ukraine	418.0	107.0	9.0	1.0	Local transmission	0.0													
Hungary	408.0	65.0	13.0	2.0	Local transmission	0.0													
Lithuania	394.0	36.0	7.0	2.0	Local transmission	0.0													
Bulgaria	331.0	38.0	7.0	4.0	Local transmission	0.0													
Andorra	321.0	32.0	4.0	1.0	Local transmission	0.0													
Latvia	305.0	25.0	0.0	0.0	Local transmission	0.0													
Slovakia	295.0	0.0	0.0	0.0	Local transmission	1.0													
Bosnia and Herzegovina	269.0	36.0	6.0	2.0	Local transmission	0.0													
Kazakhstan	265.0	61.0	1.0	0.0	Under investigation	0.0													
North Macedonia	241.0	22.0	4.0	1.0	Local transmission	0.0													
Republic of Moldova	231.0	32.0	2.0	0.0	Local transmission	0.0													
San Marino	228.0	0.0	22.0	1.0	Local transmission	1.0													
Albania	212.0	15.0	10.0	1.0	Local transmission	0.0													
Cyprus	179.0	17.0	5.0	0.0	Local transmission	0.0													
Azerbaijan	164.0	17.0	4.0	1.0	Local transmission	0.0													
Malta	139.0	0.0	0.0	0.0	Local transmission	1.0													
Uzbekistan	133.0	29.0	2.0	1.0	Local transmission	0.0													
Belarus	94.0	0.0	0.0	0.0	Local transmission	1.0													
Georgia	90.0	5.0	0.0	0.0	Local transmission	0.0													
Kyrgyzstan	84.0	26.0	0.0	0.0	Local transmission	0.0													
Montenegro	82.0	12.0	1.0	0.0	Local transmission	0.0													
Liechtenstein	61.0	1.0	0.0	0.0	Under investigation	0.0													
Monaco	19.0	0.0	0.0	0.0	Local transmission	6.0													
Holy See	4.0	0.0	0.0	0.0	Under investigation	3.0													
Territories**	 	 	 	 	 	 													
Faroe Islands	155.0	11.0	0.0	0.0	Local transmission	0.0													
Kosovo[1]	91.0	3.0	1.0	0.0	Local transmission	0.0													
Jersey	61.0	9.0	1.0	0.0	Local transmission	0.0													
Gibraltar	56.0	1.0	0.0	0.0	Local transmission	0.0													
Guernsey	39.0	3.0	0.0	0.0	Local transmission	0.0													
Isle of Man	32.0	3.0	0.0	0.0	Local transmission	0.0													
Greenland	10.0	1.0	0.0	0.0	Under investigation	0.0													
South-East Asia Region	 	 	 	 	 	 													
Thailand	1388.0	252.0	7.0	2.0	Local transmission	0.0													
Indonesia	1155.0	109.0	102.0	15.0	Local transmission	0.0													
India	979.0	255.0	25.0	8.0	Local transmission	0.0													
Sri Lanka	106.0	0.0	0.0	0.0	Local transmission	2.0													
Bangladesh	48.0	0.0	5.0	0.0	Local transmission	2.0													
Maldives	16.0	3.0	0.0	0.0	Local transmission	0.0													
Myanmar	8.0	3.0	0.0	0.0	Local transmission	0.0													
Nepal	5.0	2.0	0.0	0.0	Imported cases only	0.0													
Bhutan	3.0	0.0	0.0	0.0	Imported cases only	2.0													
Timor-Leste	1.0	0.0	0.0	0.0	Under investigation	8.0													
