Reporting Country/ Territory/Area†	Total confirmed ‡ cases	Unnamed: 2	Total confirmed new cases	Total deaths	Total new deaths	Transmission classification§	Days since last reported case	Eastern Mediterranean Region	Unnamed: 1	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Tanzania
Western Pacific Region	 	 	 	 	 	 	 							
China	 	82447.0	106.0	3310.0	4.0	Local transmission	0.0							
Republic of Korea	 	9661.0	78.0	158.0	6.0	Local transmission	0.0							
Australia	 	3966.0	0.0	16.0	0.0	Local transmission	1.0							
Malaysia	 	2470.0	150.0	34.0	7.0	Local transmission	0.0							
Japan	 	1866.0	173.0	54.0	2.0	Local transmission	0.0							
Philippines	 	1418.0	343.0	71.0	3.0	Local transmission	0.0							
Singapore	 	844.0	42.0	3.0	1.0	Local transmission	0.0							
New Zealand	 	552.0	76.0	1.0	0.0	Local transmission	0.0							
Viet Nam	 	188.0	9.0	0.0	0.0	Local transmission	0.0							
Brunei Darussalam	 	126.0	6.0	1.0	0.0	Local transmission	0.0							
Cambodia	 	103.0	1.0	0.0	0.0	Local transmission	0.0							
Mongolia	 	12.0	0.0	0.0	0.0	Imported cases only	2.0							
Lao People's Democratic Republic	 	8.0	2.0	0.0	0.0	Local transmission	0.0							
Fiji	 	5.0	0.0	0.0	0.0	Local transmission	4.0							
Papua New Guinea	 	1.0	0.0	0.0	0.0	Imported cases only	9.0							
Territories**	 	 	 	 	 	 	 							
Guam	 	56.0	0.0	1.0	0.0	Local transmission	1.0							
French Polynesia	 	35.0	1.0	0.0	0.0	Local transmission	0.0							
New Caledonia	 	15.0	0.0	0.0	0.0	Local transmission	2.0							
Northern Mariana Islands (Commonwealth of the)	 	2.0	0.0	0.0	0.0	Under investigation	1.0							
European Region	 	 	 	 	 	 	 							
Italy	 	97689.0	5217.0	10781.0	758.0	Local transmission	0.0							
Spain	 	78797.0	6549.0	6528.0	838.0	Local transmission	0.0							
Germany	 	57298.0	4751.0	455.0	66.0	Local transmission	0.0							
France	 	39642.0	2497.0	2602.0	291.0	Local transmission	0.0							
The United Kingdom	 	19526.0	2433.0	1228.0	209.0	Local transmission	0.0							
Switzerland	 	14274.0	1122.0	257.0	22.0	Local transmission	0.0							
Netherlands	 	10866.0	1104.0	771.0	132.0	Local transmission	0.0							
Belgium	 	10836.0	1702.0	431.0	78.0	Local transmission	0.0							
Turkey	 	9271.0	1869.0	131.0	23.0	Local transmission	0.0							
Austria	 	8813.0	522.0	86.0	18.0	Local transmission	0.0							
Portugal	 	5962.0	792.0	119.0	19.0	Local transmission	0.0							
Israel	 	4247.0	382.0	15.0	0.0	Local transmission	0.0							
Norway	 	4102.0	257.0	22.0	2.0	Local transmission	0.0							
Sweden	 	3700.0	253.0	110.0	8.0	Local transmission	0.0							
Czechia	 	2829.0	166.0	16.0	5.0	Local transmission	0.0							
Ireland	 	2615.0	200.0	46.0	10.0	Local transmission	0.0							
Denmark	 	2395.0	194.0	72.0	7.0	Local transmission	0.0							
Luxembourg	 	1950.0	119.0	21.0	3.0	Local transmission	0.0							
Poland	 	1862.0	224.0	22.0	4.0	Local transmission	0.0							
Romania	1760.0	308.0	40.0	11.0	Local transmission	0.0	 							
Russian Federation	1534.0	0.0	10.0	2.0	Local transmission	1.0	 							
Finland	1218.0	0.0	11.0	2.0	Local transmission	1.0	 							
Greece	1156.0	95.0	38.0	6.0	Local transmission	0.0	 							
Iceland	1020.0	57.0	2.0	0.0	Local transmission	0.0	 							
Serbia	741.0	82.0	13.0	3.0	Local transmission	0.0	 							
Slovenia	730.0	39.0	11.0	2.0	Local transmission	0.0	 							
Croatia	713.0	56.0	6.0	1.0	Local transmission	0.0	 							
Estonia	679.0	39.0	3.0	2.0	Local transmission	0.0	 							
Lithuania	484.0	90.0	7.0	0.0	Local transmission	0.0	 							
Armenia	482.0	58.0	3.0	0.0	Local transmission	0.0	 							
Ukraine	480.0	62.0	11.0	2.0	Local transmission	0.0	 							
Hungary	447.0	39.0	15.0	2.0	Local transmission	0.0	 							
Latvia	376.0	71.0	0.0	0.0	Local transmission	0.0	 							
Bulgaria	346.0	15.0	8.0	1.0	Local transmission	0.0	 							
Andorra	341.0	20.0	6.0	2.0	Local transmission	0.0	 							
Slovakia	336.0	41.0	0.0	0.0	Local transmission	0.0	 							
Bosnia and Herzegovina	325.0	56.0	6.0	0.0	Local transmission	0.0	 							
Kazakhstan	294.0	29.0	1.0	0.0	Under investigation	0.0	 							
Republic of Moldova	263.0	32.0	2.0	0.0	Local transmission	0.0	 							
North Macedonia	259.0	18.0	6.0	2.0	Local transmission	0.0	 							
San Marino	229.0	1.0	24.0	2.0	Local transmission	0.0	 							
Albania	223.0	11.0	10.0	0.0	Local transmission	0.0	 							
Cyprus	214.0	35.0	6.0	1.0	Local transmission	0.0	 							
Azerbaijan	190.0	26.0	4.0	0.0	Local transmission	0.0	 							
