Reporting Country/ Territory/Area†	Total confirmed ‡ cases	Unnamed: 2	Total confirmed new cases	Total deaths	Total new deaths	Transmission classification§	Days since last reported case	Eastern Mediterranean Region	Unnamed: 1	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Guinea	16	0	0.1	0.2	Local transmission	1
Western Pacific Region	 	 	 	 	 	 	 													
China	 	82545.0	98.0	3314.0	4.0	Local transmission	0.0													
Republic of Korea	 	9786.0	125.0	162.0	4.0	Local transmission	0.0													
Australia	 	4359.0	393.0	18.0	2.0	Local transmission	0.0													
Malaysia	 	2626.0	156.0	37.0	3.0	Local transmission	0.0													
Japan	 	1953.0	87.0	56.0	2.0	Local transmission	0.0													
Philippines	 	1546.0	128.0	78.0	7.0	Local transmission	0.0													
Singapore	 	879.0	35.0	3.0	0.0	Local transmission	0.0													
New Zealand	 	600.0	48.0	1.0	0.0	Local transmission	0.0													
Viet Nam	 	203.0	15.0	0.0	0.0	Local transmission	0.0													
Brunei Darussalam	 	127.0	1.0	1.0	0.0	Local transmission	0.0													
Cambodia	 	107.0	4.0	0.0	0.0	Local transmission	0.0													
Mongolia	 	12.0	0.0	0.0	0.0	Imported cases only	3.0													
Lao People's Democratic Republic	 	8.0	0.0	0.0	0.0	Local transmission	1.0													
Fiji	 	5.0	0.0	0.0	0.0	Local transmission	5.0													
Papua New Guinea	 	1.0	0.0	0.0	0.0	Imported cases only	10.0													
Territories**	 	 	 	 	 	 	 													
Guam	 	58.0	2.0	1.0	0.0	Local transmission	0.0													
French Polynesia	 	36.0	1.0	0.0	0.0	Local transmission	0.0													
New Caledonia	 	15.0	0.0	0.0	0.0	Local transmission	3.0													
Northern Mariana Islands (Commonwealth of the)	 	2.0	0.0	0.0	0.0	Under investigation	2.0													
European Region	 	 	 	 	 	 	 													
Italy	 	101739.0	4050.0	11591.0	810.0	Local transmission	0.0													
Spain	 	85195.0	6398.0	7340.0	812.0	Local transmission	0.0													
Germany	 	61913.0	4615.0	583.0	128.0	Local transmission	0.0													
France	 	43977.0	4335.0	3017.0	415.0	Local transmission	0.0													
The United Kingdom	 	22145.0	2619.0	1408.0	180.0	Local transmission	0.0													
Switzerland	 	15412.0	1138.0	295.0	38.0	Local transmission	0.0													
Belgium	 	11899.0	1063.0	513.0	82.0	Local transmission	0.0													
Netherlands	 	11750.0	884.0	864.0	93.0	Local transmission	0.0													
Turkey	 	10827.0	1556.0	168.0	37.0	Local transmission	0.0													
Austria	 	9618.0	805.0	108.0	22.0	Local transmission	0.0													
Portugal	 	6408.0	446.0	140.0	21.0	Local transmission	0.0													
Israel	 	4831.0	584.0	17.0	2.0	Local transmission	0.0													
Norway	 	4226.0	124.0	26.0	4.0	Local transmission	0.0													
Sweden	 	4028.0	328.0	146.0	36.0	Local transmission	0.0													
Czechia	 	3002.0	173.0	24.0	8.0	Local transmission	0.0													
Ireland	 	2910.0	295.0	54.0	8.0	Local transmission	0.0													
Denmark	 	2577.0	182.0	77.0	5.0	Local transmission	0.0													
Poland	 	2055.0	193.0	31.0	9.0	Local transmission	0.0													
Luxembourg	 	1988.0	38.0	22.0	1.0	Local transmission	0.0													
Romania	1952.0	192.0	44.0	4.0	Local transmission	0.0	 													
Russian Federation	1837.0	303.0	9.0	0.0	Local transmission	0.0	 													
