Reporting Country/ Territory/Area†	Total confirmed ‡ cases	Unnamed: 2	Total confirmed new cases	Total deaths	Total new deaths	Transmission classification§	Days since last reported case	Sri Lanka	143	0	2	0.1	Local transmission	1	Cameroon	139	6
Western Pacific Region	 	 	 	 	 	 	 										
China	 	82724.0	93.0	3327.0	6.0	Local transmission	0.0										
Republic of Korea	 	9976.0	89.0	169.0	4.0	Local transmission	0.0										
Australia	 	4976.0	269.0	21.0	1.0	Local transmission	0.0										
Malaysia	 	2908.0	142.0	45.0	2.0	Local transmission	0.0										
Japan	 	2384.0	206.0	57.0	0.0	Local transmission	0.0										
Philippines	 	2311.0	227.0	96.0	8.0	Local transmission	0.0										
Singapore	 	1000.0	74.0	3.0	0.0	Local transmission	0.0										
New Zealand	 	723.0	76.0	1.0	0.0	Local transmission	0.0										
Viet Nam	 	218.0	11.0	0.0	0.0	Local transmission	0.0										
Brunei Darussalam	 	131.0	2.0	1.0	0.0	Local transmission	0.0										
Cambodia	 	109.0	0.0	0.0	0.0	Local transmission	1.0										
Mongolia	 	14.0	2.0	0.0	0.0	Imported cases only	0.0										
Lao People's Democratic Republic	 	10.0	1.0	0.0	0.0	Local transmission	0.0										
Fiji	 	5.0	0.0	0.0	0.0	Local transmission	7.0										
Papua New Guinea	 	1.0	0.0	0.0	0.0	Imported cases only	12.0										
Territories**	 	 	 	 	 	 	 										
Guam	 	77.0	8.0	3.0	1.0	Local transmission	0.0										
French Polynesia	 	37.0	0.0	0.0	0.0	Local transmission	1.0										
New Caledonia	 	16.0	0.0	0.0	0.0	Local transmission	1.0										
Northern Mariana Islands (Commonwealth of the)	 	6.0	4.0	0.0	0.0	Local transmission	0.0										
European Region	 	 	 	 	 	 	 										
Italy	 	110574.0	4782.0	13157.0	727.0	Local transmission	0.0										
Spain	 	102136.0	7719.0	9053.0	864.0	Local transmission	0.0										
Germany	 	73522.0	6156.0	872.0	140.0	Local transmission	0.0										
France	 	56261.0	4784.0	4019.0	505.0	Local transmission	0.0										
The United Kingdom	 	29478.0	4324.0	2532.0	743.0	Local transmission	0.0										
Switzerland	 	17070.0	962.0	378.0	5.0	Local transmission	0.0										
Turkey	 	15679.0	2148.0	277.0	63.0	Local transmission	0.0										
Belgium	 	13964.0	1189.0	828.0	123.0	Local transmission	0.0										
Netherlands	 	13614.0	1019.0	1173.0	134.0	Local transmission	0.0										
Austria	 	10711.0	529.0	146.0	18.0	Local transmission	0.0										
Portugal	 	8251.0	808.0	187.0	27.0	Local transmission	0.0										
Israel	 	5591.0	462.0	21.0	0.0	Local transmission	0.0										
Sweden	 	4947.0	512.0	239.0	59.0	Local transmission	0.0										
Norway	 	4665.0	218.0	32.0	4.0	Local transmission	0.0										
Czechia	 	3589.0	281.0	39.0	8.0	Local transmission	0.0										
Ireland	 	3447.0	212.0	85.0	14.0	Local transmission	0.0										
Denmark	3107.0	247.0	104.0	14.0	Local transmission	0.0	 										
Russian Federation	2777.0	440.0	24.0	7.0	Local transmission	0.0	 										
Poland	2554.0	243.0	43.0	10.0	Local transmission	0.0	 										
Romania	2460.0	215.0	85.0	16.0	Local transmission	0.0	 										
Luxembourg	2319.0	141.0	29.0	6.0	Local transmission	0.0	 										
Finland	1446.0	62.0	17.0	0.0	Local transmission	0.0	 										
Greece	1375.0	61.0	50.0	1.0	Local transmission	0.0	 										
Iceland	1220.0	85.0	2.0	0.0	Local transmission	0.0	 										
Serbia	1060.0	160.0	13.0	0.0	Local transmission	0.0	 										
Croatia	963.0	96.0	6.0	0.0	Local transmission	0.0	 										
Slovenia	841.0	27.0	15.0	2.0	Local transmission	0.0	 										
Ukraine	804.0	135.0	20.0	3.0	Local transmission	0.0	 										
Estonia	779.0	34.0	5.0	1.0	Local transmission	0.0	 										
Lithuania	581.0	48.0	8.0	1.0	Local transmission	0.0	 										
Armenia	571.0	39.0	3.0	0.0	Local transmission	0.0	 										
Hungary	525.0	33.0	20.0	4.0	Local transmission	0.0	 										
Bosnia and Herzegovina	464.0	51.0	13.0	1.0	Local transmission	0.0	 										
Latvia	446.0	48.0	0.0	0.0	Local transmission	0.0	 										
Republic of Moldova	423.0	70.0	5.0	2.0	Local transmission	0.0	 										
Bulgaria	422.0	23.0	10.0	2.0	Local transmission	0.0	 										
Slovakia	400.0	37.0	0.0	0.0	Local transmission	0.0	 										
Andorra	396.0	20.0	13.0	1.0	Local transmission	0.0	 										
Kazakhstan	386.0	38.0	3.0	1.0	Local transmission	0.0	 										
Azerbaijan	359.0	61.0	5.0	0.0	Local transmission	0.0	 										
North Macedonia	354.0	25.0	11.0	2.0	Local transmission	0.0	 										
Cyprus	320.0	58.0	9.0	1.0	Local transmission	0.0	 										
Albania	277.0	34.0	15.0	2.0	Local transmission	0.0	 										
San Marino	236.0	0.0	28.0	2.0	Local transmission	1.0	 										
Belarus	192.0	40.0	2.0	2.0	Local transmission	0.0	 										
Uzbekistan	190.0	17.0	2.0	0.0	Local transmission	0.0	 										
Malta	188.0	21.0	0.0	0.0	Local transmission	0.0	 										
Georgia	121.0	6.0	0.0	0.0	Local transmission	0.0	 										
Montenegro	120.0	15.0	2.0	0.0	Local transmission	0.0	 										
Kyrgyzstan	115.0	4.0	0.0	0.0	Local transmission	0.0	 										
Liechtenstein	72.0	4.0	0.0	0.0	Under investigation	0.0	 										
Monaco	37.0	0.0	0.0	0.0	Local transmission	1.0	 										
Holy See	6.0	0.0	0.0	0.0	Under investigation	3.0	 										
Territories**	 	 	 	 	 	 	 										
Faroe Islands	173.0	4.0	0.0	0.0	Local transmission	0.0	 										
Kosovo[1]	125.0	13.0	1.0	0.0	Local transmission	0.0	 										
Gibraltar	69.0	0.0	0.0	0.0	Local transmission	2.0	 										
Jersey	81.0	18.0	2.0	0.0	Local transmission	0.0	 										
Guernsey	78.0	18.0	1.0	0.0	Local transmission	0.0	 										
Isle of Man	65.0	13.0	0.0	0.0	Local transmission	0.0	 										
Greenland	10.0	0.0	0.0	0.0	Under investigation	4.0	 										
South-East Asia Region	 	 	 	 	 	 	 										
Thailand	1771.0	0.0	12.0	0.0	Local transmission	1.0	 										
Indonesia	1677.0	149.0	157.0	21.0	Local transmission	0.0	 										
India	1636.0	0.0	38.0	0.0	Local transmission	1.0	 										
								Bangladesh	54.0	0.0	6.0	0.0	Local transmission	1.0			
								Maldives	18.0	0.0	0.0	0.0	Local transmission	1.0			
								Myanmar	15.0	0.0	1.0	0.0	Local transmission	1.0			
								Nepal	5.0	0.0	0.0	0.0	Imported cases only	4.0			
								Bhutan	4.0	0.0	0.0	0.0	Imported cases only	3.0			
								Timor-Leste	1.0	0.0	0.0	0.0	Under investigation	12.0			
								Eastern Mediterranean Region	 	 	 	 	 	 			
								Iran (Islamic Republic of)	47593.0	2987.0	3036.0	138.0	Local transmission	0.0			
								Pakistan	2291.0	252.0	31.0	5.0	Local transmission	0.0			
								Saudi Arabia	1720.0	157.0	16.0	6.0	Local transmission	0.0			
								Qatar	835.0	54.0	2.0	0.0	Local transmission	0.0			
								United Arab Emirates	814.0	150.0	8.0	2.0	Local transmission	0.0			
								Egypt	779.0	69.0	52.0	6.0	Local transmission	0.0			
								Iraq	728.0	34.0	52.0	2.0	Local transmission	0.0			
								Morocco	676.0	38.0	39.0	3.0	Local transmission	0.0			
								Bahrain	569.0	2.0	4.0	0.0	Local transmission	0.0			
								Lebanon	479.0	16.0	12.0	0.0	Local transmission	0.0			
								Tunisia	423.0	29.0	12.0	2.0	Local transmission	0.0			
								Kuwait	317.0	28.0	0.0	0.0	Local transmission	0.0			
								Jordan	278.0	4.0	5.0	0.0	Local transmission	0.0			
								Afghanistan	235.0	43.0	4.0	0.0	Local transmission	0.0			
								Oman	231.0	21.0	1.0	0.0	Local transmission	0.0			
								Djibouti	34.0	3.0	0.0	0.0	Local transmission	0.0			
