Reporting Country/ Territory/Area†	Total confirmed ‡ cases	Unnamed: 2	Total confirmed new cases	Total deaths	Total new deaths	Transmission classification§	Days since last reported case	Thailand	1978	103	19	4	Local transmission	0	Ghana	204	5	0.1	1
Western Pacific Region	 	 	 	 	 	 	 												
China	 	82875.0	73.0	3335.0	4.0	Local transmission	0.0												
Republic of Korea	 	10156.0	94.0	177.0	3.0	Local transmission	0.0												
Australia	 	5454.0	230.0	28.0	5.0	Local transmission	0.0												
Malaysia	 	3333.0	217.0	53.0	3.0	Local transmission	0.0												
Philippines	 	3018.0	385.0	136.0	29.0	Local transmission	0.0												
Japan	 	2920.0	303.0	69.0	4.0	Local transmission	0.0												
Singapore	 	1114.0	65.0	5.0	1.0	Local transmission	0.0												
New Zealand	 	824.0	50.0	1.0	0.0	Local transmission	0.0												
Viet Nam	 	239.0	6.0	0.0	0.0	Local transmission	0.0												
Brunei Darussalam	 	134.0	1.0	1.0	0.0	Local transmission	0.0												
Cambodia	 	114.0	4.0	0.0	0.0	Local transmission	0.0												
Mongolia	 	14.0	0.0	0.0	0.0	Imported cases only	2.0												
Lao People’s Democratic Republic	 	10.0	0.0	0.0	0.0	Local transmission	2.0												
Fiji	 	7.0	0.0	0.0	0.0	Local transmission	1.0												
Papua New Guinea	 	1.0	0.0	0.0	0.0	Imported cases only	14.0												
Territories**	 	 	 	 	 	 	 												
Guam	 	84.0	2.0	3.0	0.0	Local transmission	0.0												
French Polynesia	 	39.0	2.0	0.0	0.0	Local transmission	0.0												
New Caledonia	 	18.0	0.0	0.0	0.0	Local transmission	1.0												
Northern Mariana Islands (Commonwealth of the)	 	8.0	0.0	1.0	0.0	Local transmission	1.0												
European Region	 	 	 	 	 	 	 												
Italy	 	119827.0	4585.0	14681.0	764.0	Local transmission	0.0												
Spain	 	117710.0	7472.0	10935.0	932.0	Local transmission	0.0												
Germany	 	85778.0	6082.0	1158.0	141.0	Local transmission	0.0												
France	 	63536.0	5209.0	6493.0	2003.0	Local transmission	0.0												
The United Kingdom	 	38172.0	4450.0	3605.0	684.0	Local transmission	0.0												
Turkey	 	20921.0	2786.0	425.0	69.0	Local transmission	0.0												
Switzerland	 	19706.0	862.0	607.0	71.0	Local transmission	0.0												
Belgium	 	16770.0	1422.0	1143.0	132.0	Local transmission	0.0												
Netherlands	 	15723.0	1026.0	1487.0	148.0	Local transmission	0.0												
Austria	 	11525.0	396.0	168.0	10.0	Local transmission	0.0												
Portugal	 	9886.0	852.0	246.0	37.0	Local transmission	0.0												
Israel	 	7030.0	819.0	36.0	7.0	Local transmission	0.0												
Sweden	 	6078.0	612.0	333.0	51.0	Local transmission	0.0												
Norway	 	5208.0	273.0	44.0	2.0	Local transmission	0.0												
Ireland	 	4273.0	424.0	120.0	22.0	Local transmission	0.0												
Czechia	 	4190.0	332.0	53.0	9.0	Local transmission	0.0												
Russian Federation	4149.0	601.0	34.0	4.0	Local transmission	0.0	 												
Denmark	3757.0	371.0	139.0	16.0	Local transmission	0.0	 												
Poland	3383.0	437.0	71.0	14.0	Local transmission	0.0	 												
Romania	3183.0	445.0	133.0	39.0	Local transmission	0.0	 												
Luxembourg	2612.0	125.0	31.0	1.0	Local transmission	0.0	 												
Finland	1615.0	97.0	20.0	1.0	Local transmission	0.0	 												
Greece	1613.0	99.0	59.0	6.0	Local transmission	0.0	 												
Serbia	1476.0	305.0	39.0	26.0	Local transmission	0.0	 												
Iceland	1364.0	45.0	4.0	0.0	Local transmission	0.0	 												
Ukraine	1096.0	109.0	28.0	5.0	Local transmission	0.0	 												
Croatia	1079.0	68.0	8.0	1.0	Local transmission	0.0	 												
Estonia	961.0	103.0	12.0	1.0	Local transmission	0.0	 												
Slovenia	934.0	37.0	20.0	4.0	Local transmission	0.0	 												
Lithuania	771.0	122.0	9.0	0.0	Local transmission	0.0	 												
Armenia	736.0	96.0	7.0	3.0	Local transmission	0.0	 												
Hungary	678.0	93.0	32.0	11.0	Local transmission	0.0	 												
Republic of Moldova	591.0	0.0	9.0	1.0	Local transmission	1.0	 												
Bosnia and Herzegovina	586.0	65.0	18.0	2.0	Local transmission	0.0	 												
Latvia	493.0	35.0	1.0	1.0	Local transmission	0.0	 												
Bulgaria	485.0	28.0	14.0	4.0	Local transmission	0.0	 												
Kazakhstan	460.0	25.0	3.0	0.0	Local transmission	0.0	 												
Slovakia	450.0	24.0	0.0	0.0	Local transmission	0.0	 												
Azerbaijan	443.0	43.0	5.0	0.0	Local transmission	0.0	 												
Andorra	442.0	13.0	16.0	1.0	Local transmission	0.0	 												
North Macedonia	430.0	46.0	12.0	1.0	Local transmission	0.0	 												
Cyprus	396.0	40.0	11.0	2.0	Local transmission	0.0	 												
Albania	333.0	56.0	17.0	1.0	Local transmission	0.0	 												
Belarus	254.0	0.0	4.0	0.0	Local transmission	1.0	 												
San Marino	252.0	7.0	32.0	2.0	Local transmission	0.0	 												
Uzbekistan	241.0	20.0	2.0	0.0	Local transmission	0.0	 												
Malta	202.0	7.0	0.0	0.0	Local transmission	0.0	 												
Montenegro	160.0	20.0	2.0	0.0	Local transmission	0.0	 												
Georgia	157.0	9.0	0.0	0.0	Local transmission	0.0	 												
Kyrgyzstan	144.0	14.0	1.0	0.0	Local transmission	0.0	 												
Liechtenstein	76.0	1.0	0.0	0.0	Under investigation	0.0	 												
Monaco	37.0	0.0	0.0	0.0	Local transmission	3.0	 												
Holy See	7.0	0.0	0.0	0.0	Under investigation	1.0	 												
Territories**	 	 	 	 	 	 	 												
Faroe Islands	179.0	2.0	0.0	0.0	Local transmission	0.0	 												
Kosovo[1]	132.0	6.0	1.0	0.0	Local transmission	0.0	 												
Jersey	118.0	37.0	2.0	0.0	Local transmission	0.0	 												
Guernsey	114.0	23.0	2.0	1.0	Local transmission	0.0	 												
Isle of Man	114.0	43.0	1.0	0.0	Local transmission	0.0	 												
Gibraltar	95.0	14.0	1.0	1.0	Local transmission	0.0	 												
Greenland	10.0	0.0	0.0	0.0	Under investigation	6.0	 												
South-East Asia Region	 	 	 	 	 	 	 												
India	2301.0	336.0	56.0	6.0	Local transmission	0.0	 												
Indonesia	1986.0	196.0	181.0	11.0	Local transmission	0.0	 												
								Sri Lanka	151.0	3.0	4.0	1.0	Local transmission	0.0					
								Bangladesh	61.0	5.0	6.0	0.0	Local transmission	0.0					
								Myanmar	20.0	4.0	1.0	0.0	Local transmission	0.0					
								Maldives	19.0	0.0	0.0	0.0	Local transmission	1.0					
								Nepal	6.0	0.0	0.0	0.0	Imported cases only	1.0					
								Bhutan	5.0	0.0	0.0	0.0	Imported cases only	1.0					
								Timor-Leste	1.0	0.0	0.0	0.0	Imported cases only	14.0					
								Eastern Mediterranean Region	 	 	 	 	 	 					
								Iran (Islamic Republic of)	53183.0	2715.0	3294.0	134.0	Local transmission	0.0					
								Pakistan	2450.0	0.0	35.0	0.0	Local transmission	1.0					
								Saudi Arabia	2039.0	154.0	25.0	4.0	Local transmission	0.0					
								United Arab Emirates	1264.0	240.0	9.0	1.0	Local transmission	0.0					
								Qatar	1075.0	126.0	3.0	0.0	Local transmission	0.0					
								Egypt	985.0	120.0	66.0	8.0	Local transmission	0.0					
								Morocco	844.0	109.0	50.0	3.0	Local transmission	0.0					
								Iraq	820.0	48.0	54.0	0.0	Local transmission	0.0					
								Bahrain	673.0	30.0	4.0	0.0	Local transmission	0.0					
								Lebanon	508.0	0.0	17.0	0.0	Local transmission	1.0					
								Tunisia	495.0	40.0	18.0	4.0	Local transmission	0.0					
								Kuwait	479.0	62.0	1.0	1.0	Local transmission	1.0					
								Jordan	310.0	11.0	5.0	0.0	Local transmission	0.0					
								Oman	277.0	25.0	1.0	0.0	Local transmission	0.0					
								Afghanistan	270.0	1.0	5.0	0.0	Local transmission	0.0					
								Djibouti	50.0	9.0	0.0	0.0	Local transmission	0.0					
								Libya	17.0	7.0	1.0	0.0	Local transmission	0.0					
								Syrian Arab Republic	16.0	0.0	2.0	0.0	Imported cases only	1.0					
								Sudan	10.0	2.0	2.0	0.0	Local transmission	0.0					
