Reporting Country/ Territory/Area†	Total confirmed ‡ cases	Unnamed: 2	Total confirmed new cases	Total deaths	Total new deaths	Transmission classification§	Days since last reported case	Thailand	2067	89	20	1	Local transmission	0	Burkina Faso	302	41	15	0.1
Western Pacific Region	 	 	 	 	 	 	 												
China	 	82930.0	55.0	3338.0	3.0	Local transmission	0.0												
Republic of Korea	 	10237.0	81.0	183.0	6.0	Local transmission	0.0												
Australia	 	5635.0	181.0	34.0	6.0	Local transmission	0.0												
Malaysia	 	3483.0	150.0	57.0	4.0	Local transmission	0.0												
Japan	 	3271.0	351.0	70.0	1.0	Local transmission	0.0												
Philippines	 	3094.0	76.0	144.0	8.0	Local transmission	0.0												
Singapore	 	1189.0	75.0	5.0	0.0	Local transmission	0.0												
New Zealand	 	872.0	48.0	1.0	0.0	Local transmission	0.0												
Viet Nam	 	240.0	1.0	0.0	0.0	Local transmission	0.0												
Brunei Darussalam	 	135.0	1.0	1.0	0.0	Local transmission	0.0												
Cambodia	 	114.0	0.0	0.0	0.0	Local transmission	1.0												
Mongolia	 	14.0	0.0	0.0	0.0	Imported cases only	3.0												
Fiji	 	12.0	5.0	0.0	0.0	Local transmission	0.0												
Lao People's Democratic Republic	 	10.0	0.0	0.0	0.0	Local transmission	3.0												
Papua New Guinea	 	1.0	0.0	0.0	0.0	Imported cases only	15.0												
Territories**	 	 	 	 	 	 	 												
Guam	 	93.0	9.0	4.0	1.0	Local transmission	0.0												
French Polynesia	 	40.0	1.0	0.0	0.0	Local transmission	0.0												
New Caledonia	 	18.0	0.0	0.0	0.0	Local transmission	2.0												
Northern Mariana Islands (Commonwealth of the)	 	8.0	0.0	1.0	0.0	Local transmission	2.0												
European Region	 	 	 	 	 	 	 												
Spain	 	124736.0	7026.0	11744.0	809.0	Local transmission	0.0												
Italy	 	124632.0	4805.0	15362.0	681.0	Local transmission	0.0												
Germany	 	91714.0	5936.0	1342.0	184.0	Local transmission	0.0												
France	 	67757.0	4221.0	7546.0	1053.0	Local transmission	0.0												
The United Kingdom	 	41907.0	3735.0	4313.0	708.0	Local transmission	0.0												
Turkey	 	23934.0	3013.0	501.0	76.0	Local transmission	0.0												
Switzerland	 	20489.0	783.0	666.0	59.0	Local transmission	0.0												
Belgium	 	18431.0	1661.0	1283.0	140.0	Local transmission	0.0												
Netherlands	 	16627.0	904.0	1651.0	164.0	Local transmission	0.0												
Austria	 	11766.0	241.0	186.0	18.0	Local transmission	0.0												
Portugal	 	10524.0	638.0	266.0	20.0	Local transmission	0.0												
Israel	 	7589.0	559.0	42.0	6.0	Local transmission	0.0												
Sweden	 	6443.0	365.0	373.0	40.0	Local transmission	0.0												
Norway	 	5510.0	302.0	50.0	6.0	Local transmission	0.0												
Russian Federation	 	4731.0	582.0	43.0	9.0	Local transmission	0.0												
Ireland	 	4604.0	331.0	137.0	17.0	Local transmission	0.0												
Czechia	4472.0	282.0	59.0	6.0	Local transmission	0.0	 												
Denmark	4077.0	320.0	161.0	22.0	Local transmission	0.0	 												
Poland	3627.0	244.0	79.0	8.0	Local transmission	0.0	 												
Romania	3613.0	430.0	141.0	8.0	Local transmission	0.0	 												
Luxembourg	2729.0	117.0	31.0	0.0	Local transmission	0.0	 												
Finland	1882.0	267.0	25.0	5.0	Local transmission	0.0	 												
Greece	1673.0	60.0	68.0	9.0	Local transmission	0.0	 												
Serbia	1624.0	148.0	39.0	0.0	Local transmission	0.0	 												
Iceland	1417.0	53.0	4.0	0.0	Local transmission	0.0	 												
Ukraine	1251.0	155.0	32.0	4.0	Local transmission	0.0	 												
Croatia	1126.0	47.0	12.0	4.0	Local transmission	0.0	 												
Estonia	1018.0	57.0	13.0	1.0	Local transmission	0.0	 												
Slovenia	977.0	43.0	22.0	2.0	Local transmission	0.0	 												
Lithuania	771.0	0.0	9.0	0.0	Local transmission	1.0	 												
Republic of Moldova	752.0	161.0	12.0	3.0	Local transmission	0.0	 												
Armenia	746.0	10.0	7.0	0.0	Local transmission	0.0	 												
Hungary	733.0	55.0	34.0	2.0	Local transmission	0.0	 												
Bosnia and Herzegovina	632.0	46.0	21.0	3.0	Local transmission	0.0	 												
Kazakhstan	531.0	71.0	5.0	2.0	Local transmission	0.0	 												
Azerbaijan	512.0	69.0	5.0	0.0	Local transmission	0.0	 												
Latvia	509.0	16.0	1.0	0.0	Local transmission	0.0	 												
Bulgaria	503.0	18.0	17.0	3.0	Local transmission	0.0	 												
North Macedonia	483.0	53.0	17.0	5.0	Local transmission	0.0	 												
Slovakia	471.0	21.0	0.0	0.0	Local transmission	0.0	 												
Andorra	466.0	24.0	17.0	1.0	Local transmission	0.0	 												
Belarus	440.0	186.0	4.0	0.0	Local transmission	0.0	 												
Cyprus	426.0	30.0	11.0	0.0	Local transmission	0.0	 												
Albania	333.0	0.0	18.0	1.0	Local transmission	1.0	 												
Uzbekistan	298.0	57.0	2.0	0.0	Local transmission	0.0	 												
San Marino	259.0	7.0	32.0	0.0	Local transmission	0.0	 												
Malta	213.0	11.0	0.0	0.0	Local transmission	0.0	 												
Montenegro	197.0	37.0	2.0	0.0	Local transmission	0.0	 												
Georgia	170.0	13.0	1.0	1.0	Local transmission	0.0	 												
Kyrgyzstan	147.0	3.0	1.0	0.0	Local transmission	0.0	 												
Liechtenstein	77.0	1.0	1.0	1.0	Under investigation	0.0	 												
Monaco	37.0	0.0	0.0	0.0	Local transmission	4.0	 												
Holy See	7.0	0.0	0.0	0.0	Under investigation	2.0	 												
Territories**	 	 	 	 	 	 	 												
Faroe Islands	181.0	2.0	0.0	0.0	Local transmission	0.0	 												
Kosovo[1]	140.0	8.0	1.0	0.0	Local transmission	0.0	 												
Guernsey	136.0	22.0	2.0	0.0	Local transmission	0.0	 												
Isle of Man	126.0	12.0	1.0	0.0	Local transmission	0.0	 												
Jersey	123.0	5.0	3.0	1.0	Local transmission	0.0	 												
Gibraltar	98.0	3.0	1.0	0.0	Local transmission	0.0	 												
Greenland	10.0	0.0	0.0	0.0	Under investigation	7.0	 												
South-East Asia Region	 	 	 	 	 	 	 												
India	3374.0	1073.0	77.0	21.0	Local transmission	0.0	 												
Indonesia	2092.0	106.0	191.0	10.0	Local transmission	0.0	 												
								Sri Lanka	159.0	8.0	5.0	1.0	Local transmission	0.0					
								Bangladesh	70.0	9.0	8.0	2.0	Local transmission	0.0					
								Myanmar	20.0	0.0	1.0	0.0	Local transmission	1.0					
								Maldives	19.0	0.0	0.0	0.0	Local transmission	2.0					
								Nepal	9.0	3.0	0.0	0.0	Local transmission	0.0					
								Bhutan	5.0	0.0	0.0	0.0	Imported cases only	2.0					
								Timor-Leste	1.0	0.0	0.0	0.0	Imported cases only	15.0					
								Eastern Mediterranean Region	 	 	 	 	 	 					
								Iran (Islamic Republic of)	55743.0	2560.0	3452.0	158.0	Local transmission	0.0					
								Pakistan	2880.0	430.0	45.0	10.0	Local transmission	0.0					
								Saudi Arabia	2370.0	331.0	29.0	4.0	Local transmission	0.0					
								United Arab Emirates	1505.0	241.0	10.0	1.0	Local transmission	0.0					
								Qatar	1325.0	250.0	3.0	0.0	Local transmission	0.0					
								Egypt	1070.0	85.0	71.0	5.0	Local transmission	0.0					
								Morocco	960.0	116.0	66.0	16.0	Local transmission	0.0					
								Iraq	878.0	58.0	56.0	2.0	Local transmission	0.0					
								Bahrain	688.0	15.0	4.0	0.0	Local transmission	0.0					
								Kuwait	556.0	77.0	1.0	0.0	Local transmission	0.0					
								Tunisia	553.0	58.0	19.0	1.0	Local transmission	0.0					
								Lebanon	527.0	19.0	18.0	1.0	Local transmission	0.0					
								Jordan	323.0	13.0	5.0	0.0	Local transmission	0.0					
								Afghanistan	299.0	29.0	7.0	2.0	Local transmission	0.0					
								Oman	298.0	21.0	2.0	1.0	Local transmission	0.0					
								Djibouti	51.0	1.0	0.0	0.0	Local transmission	0.0					
								Libya	17.0	0.0	1.0	0.0	Local transmission	1.0					
								Syrian Arab Republic	16.0	0.0	2.0	0.0	Local transmission	2.0					
								Sudan	10.0	0.0	2.0	0.0	Local transmission	1.0					
								Somalia	7.0	0.0	0.0	0.0	Local transmission	1.0					
								Territories**	 	 	 	 	 	 					
								occupied Palestinian territory	217.0	24.0	1.0	0.0	Local transmission	0.0					
								Region of the Americas	 	 	 	 	 	 					
								United States of America	273808.0	32105.0	7020.0	1166.0	Local transmission	0.0					
								Canada	12938.0	1206.0	214.0	62.0	Local transmission	0.0					
								Brazil	9056.0	1146.0	359.0	60.0	Local transmission	0.0					
								Chile	4161.0	424.0	27.0	5.0	Local transmission	0.0					
								Ecuador	3465.0	302.0	172.0	52.0	Local transmission	0.0					
								Mexico	1688.0	178.0	60.0	10.0	Local transmission	0.0					
								Panama	1673.0	198.0	41.0	4.0	Local transmission	0.0					
								Peru	1595.0	181.0	61.0	10.0	Local transmission	0.0					
								Dominican Republic	1488.0	0.0	68.0	0.0	Local transmission	1.0					
								Argentina	1353.0	88.0	42.0	5.0	Local transmission	0.0					
								Colombia	1267.0	106.0	25.0	6.0	Local transmission	0.0					
								Costa Rica	416.0	20.0	2.0	0.0	Local transmission	0.0					
								Uruguay	386.0	17.0	4.0	0.0	Local transmission	0.0					
								Cuba	288.0	19.0	6.0	0.0	Local transmission	0.0					
								Honduras	264.0	42.0	15.0	0.0	Local transmission	0.0					
								Venezuela (Bolivarian Republic of)	144.0	0.0	3.0	0.0	Local transmission	2.0					
								Bolivia (Plurinational State of)	139.0	7.0	10.0	1.0	Local transmission	0.0					
								Trinidad and Tobago	100.0	3.0	6.0	0.0	Local transmission	0.0					
								Paraguay	96.0	4.0	3.0	0.0	Local transmission	0.0					
								El Salvador	56.0	10.0	3.0	1.0	Local transmission	0.0					
								Jamaica	53.0	6.0	3.0	0.0	Local transmission	0.0					
								Barbados	51.0	6.0	0.0	0.0	Local transmission	0.0					
								Guatemala	50.0	0.0	1.0	0.0	Local transmission	1.0					
								Bahamas	24.0	0.0	3.0	0.0	Local transmission	1.0					
								Guyana	23.0	4.0	4.0	0.0	Local transmission	0.0					
								Haiti	18.0	0.0	0.0	0.0	Imported cases only	1.0					
								Saint Lucia	13.0	0.0	0.0	0.0	Local transmission	3.0					
								Grenada	12.0	2.0	0.0	0.0	Local transmission	0.0					
								Dominica	11.0	0.0	0.0	0.0	Local transmission	9.0					
								Suriname	10.0	0.0	0.0	0.0	Local transmission	1.0					
								Saint Kitts and Nevis	9.0	1.0	0.0	0.0	Imported cases only	0.0					
								Antigua and Barbuda	7.0	0.0	0.0	0.0	Imported cases only	8.0					
								Nicaragua	5.0	0.0	1.0	0.0	Imported cases only	3.0					
								Belize	4.0	1.0	0.0	0.0	Local transmission	0.0					
								Saint Vincent and the Grenadines	3.0	0.0	0.0	0.0	Imported cases only	1.0					
								Territories**	 	 	 	 	 	 					
								Puerto Rico	452.0	74.0	18.0	3.0	Local transmission	0.0					
								Martinique	145.0	7.0	3.0	0.0	Local transmission	0.0					
								Guadeloupe	130.0	0.0	7.0	0.0	Local transmission	1.0					
								Aruba	64.0	2.0	0.0	0.0	Local transmission	0.0					
								French Guiana	62.0	5.0	0.0	0.0	Local transmission	0.0					
								United States Virgin Islands	40.0	3.0	0.0	0.0	Local transmission	0.0					
								Bermuda	35.0	0.0	0.0	0.0	Local transmission	1.0					
								Cayman Islands	28.0	0.0	1.0	0.0	Local transmission	1.0					
								Saint Martin	24.0	2.0	2.0	0.0	Under investigation	0.0					
								Sint Maarten	23.0	0.0	2.0	0.0	Imported cases only	1.0					
								Curaçao	11.0	0.0	1.0	0.0	Imported cases only	5.0					
								Montserrat	6.0	1.0	0.0	0.0	Imported cases only	0.0					
								Saint Barthélemy	6.0	0.0	0.0	0.0	Under investigation	5.0					
								Turks and Caicos Islands	5.0	0.0	0.0	0.0	Local transmission	5.0					
								Anguilla	3.0	0.0	0.0	0.0	Local transmission	1.0					
								British Virgin Islands	3.0	0.0	0.0	0.0	Imported cases only	4.0					
								Bonaire, Sint Eustatius and Saba	2.0	0.0	0.0	0.0	Imported cases only	1.0					
								Falkland Islands (Malvinas)	1.0	1.0	0.0	0.0	Under investigation	0.0					
								African Region	 	 	 	 	 	 					
								South Africa	1585.0	80.0	9.0	2.0	Local transmission	0.0					
								Algeria	1251.0	265.0	130.0	47.0	Local transmission	0.0					
								Cameroon	555.0	309.0	9.0	2.0	Local transmission	0.0					
													Local transmission	1.0	Côte d’Ivoire	245	42	2	0.0
													Local transmission	1.0	Senegal	219	12	2	0.0
													Local transmission	2.0	Nigeria	210	20	4	0.0
													Local transmission	0.0	Ghana	205	1	5	0.0
													Local transmission	0.0	Mauritius	196	10	7	0.0
													Local transmission	3.0	Democratic Republic of the Congo	148	14	16	0.0
													Local transmission	3.0	Niger	144	46	8	0.0
													Local transmission	0.0	Kenya	122	0	4	1.0
													Local transmission	0.0	Guinea	111	59	0	0.0
													Local transmission	0.0	Rwanda	102	13	0	0.0
													Local transmission	0.0	Madagascar	70	5	0	0.0
													Local transmission	0.0	Uganda	48	3	0	0.0
													Local transmission	2.0	Congo	45	4	5	0.0
													Local transmission	1.0	Togo	40	1	3	0.0
													Local transmission	1.0	Mali	39	3	4	0.0
													Local transmission	0.0	Zambia	39	0	1	2.0
													Local transmission	0.0	Ethiopia	38	3	0	0.0
													Imported cases only	0.0	Gabon	21	0	1	1.0
													Local transmission	0.0	Eritrea	20	0	0	2.0
													Local transmission	0.0	United Republic of Tanzania	20	0	1	3.0
													Imported cases only	0.0	Guinea-Bissau	18	3	0	0.0
													Local transmission	0.0	Equatorial Guinea	16	1	0	0.0
													Local transmission	0.0	Namibia	14	1	0	0.0
													Imported cases only	0.0	Benin	13	0	0	3.0
													Imported cases only	0.0	Angola	10	0	2	1.0
													Local transmission	1.0	Liberia	10	3	1	0.0
													Local transmission	0.0	Mozambique	10	0	0	3.0
													Imported cases only	0.0	Seychelles	10	0	0	3.0
													Local transmission	0.0	Central African Republic	9	1	0	0.0
													Imported cases only	0.0	Eswatini	9	0	0	8.0
													Local transmission	0.0	Zimbabwe	9	0	1	1.0
													Imported cases only	0.0	Chad	7	0	0	4.0
													Imported cases only	0.0	Mauritania	6	0	1	1.0
													Imported cases only	0.0	Cabo Verde	5	0	1	8.0
													Imported cases only	0.0	Botswana	4	0	1	2.0
													Imported cases only	0.0	Gambia	4	0	1	2.0
													Imported cases only	0.0	Sierra Leone	4	2	0	0.0
													Local transmission	0.0	Burundi	3	0	0	1.0
													Local transmission	0.0	Malawi	3	0	0	2.0
													 	 	Territories**	 	 	 	 
													Local transmission	0.0	Réunion	334	13	0	0.0
													Local transmission	0.0	Mayotte	147	19	2	0.0
													 	5798.0	Subtotal for all regions	1 133046	82 061	62 773	 
													Local transmission	0.0	International conveyance (Diamond	712	0	11	20.0
													 	 	Princess)	 	 	 	 
													 	5798.0	Grand total	1 133758	82 061	62 784	 
